panel,form,n,gross,cad,win,leg,side,margin,spread5,resolved,verdict4b
U56,EWELIG,0,1.0,M,FULL,H1,PASS,0.2574478999803035,0.044409367869001626,True,True
U56,EWELIG,0,1.0,M,FULL,H2,PASS,0.3141639328951966,0.10589775219235387,True,True
U56,EWELIG,0,1.0,M,FULL,DD,PASS,1.425087822871468,5.868613724056491,False,True
U56,EWELIG,0,1.0,M,FULL,CAGR,PASS,1.301719766941134,0.25787613483963057,True,True
U56,EWELIG,0,1.0,M,IS,H1,PASS,0.09389197855068021,0.07779323602466048,True,True
U56,EWELIG,0,1.0,M,IS,H2,PASS,0.29056852687444534,0.0783229360743678,True,True
U56,EWELIG,0,1.0,M,IS,DD,PASS,2.141064773826598,0.8024875098139646,True,True
U56,EWELIG,0,1.0,M,IS,CAGR,PASS,0.31950682006745695,0.6132810679871703,False,True
U56,EWELIG,0,1.0,M,OOS,H1,PASS,0.34957422108322145,0.23053510767269403,True,True
U56,EWELIG,0,1.0,M,OOS,H2,PASS,0.3482480122168258,0.13593785228034494,True,True
U56,EWELIG,0,1.0,M,OOS,DD,PASS,1.4250878228714459,5.868613724056438,False,True
U56,EWELIG,0,1.0,M,OOS,CAGR,PASS,2.1174503755193945,0.4253888732864688,True,True
U56,EWELIG,0,1.0,W,FULL,H1,PASS,0.2711361202069845,0.08367434184037537,True,True
U56,EWELIG,0,1.0,W,FULL,H2,PASS,0.35349968553163924,0.057522486127312256,True,True
U56,EWELIG,0,1.0,W,FULL,DD,PASS,4.31936611668759,2.3984116624902185,True,True
U56,EWELIG,0,1.0,W,FULL,CAGR,PASS,0.934775072276417,0.5352130628835532,True,True
U56,EWELIG,0,1.0,W,IS,H1,PASS,0.07916047394074233,0.13608538620545285,False,False
U56,EWELIG,0,1.0,W,IS,H2,PASS,0.28968223421581585,0.057320408535632694,True,False
U56,EWELIG,0,1.0,W,IS,DD,PASS,2.78525981562944,2.9132735707598236,False,False
U56,EWELIG,0,1.0,W,IS,CAGR,FAIL,-0.3081187831503948,0.875171618547844,False,False
U56,EWELIG,0,1.0,W,OOS,H1,PASS,0.4387857182315754,0.08207161038430089,True,True
U56,EWELIG,0,1.0,W,OOS,H2,PASS,0.35673068663352303,0.05844312355887071,True,True
U56,EWELIG,0,1.0,W,OOS,DD,PASS,4.319366116687556,2.3984116624902203,True,True
U56,EWELIG,0,1.0,W,OOS,CAGR,PASS,1.9692723990341192,0.578278667927389,True,True
