panel,kind,q,k,draw,Ebar,Emed,breadth,Ebar_IS,breadth_IS,selectivity20
U56,named,0.0,55.0,,36.14209401709402,40.0,0.6571289821289822,34.41860465116279,0.6257928118393236,0.5533713677613882
B136,named,0.0,135.0,,89.35828877005348,98.0,0.6619132501485443,86.76279069767442,0.6426873385012919,0.22381807301017353
BSTK100,named,0.0,100.0,,66.17433155080214,72.0,0.6617433155080215,64.56511627906977,0.6456511627906977,0.3022319913370937
ETF36,named,0.0,35.0,,23.183957219251337,26.0,0.6623987776928953,22.197674418604652,0.6342192691029901,0.8626654979932648
SMALL439,named,1.0,439.0,,141.5265060240964,149.0,0.3223838406015863,134.43076923076924,0.30622043104958824,0.14131628457353979
MIX q=0.00 k=40 d0,mix,0.0,40.0,0.0,26.398795180722892,28.0,0.6599698795180723,27.076923076923077,0.676923076923077,0.7576103327095979
MIX q=0.00 k=40 d1,mix,0.0,40.0,1.0,27.26144578313253,29.0,0.6815361445783132,27.932307692307692,0.6983076923076923,0.7336368055862466
MIX q=0.00 k=40 d2,mix,0.0,40.0,2.0,27.60843373493976,29.0,0.6902108433734939,28.48,0.712,0.7244163211869954
MIX q=0.00 k=60 d0,mix,0.0,60.0,0.0,42.58795180722892,45.0,0.7097991967871485,43.60923076923077,0.7268205128205127,0.4696163856512391
MIX q=0.00 k=60 d1,mix,0.0,60.0,1.0,41.26626506024096,44.0,0.6877710843373495,41.473846153846154,0.6912307692307692,0.48465738226621125
MIX q=0.00 k=60 d2,mix,0.0,60.0,2.0,39.67831325301205,42.0,0.6613052208835342,40.276923076923076,0.6712820512820512,0.5040536847538942
MIX q=0.00 k=80 d0,mix,0.0,80.0,0.0,54.144578313253014,57.0,0.6768072289156627,54.606153846153845,0.682576923076923,0.36938139741878057
MIX q=0.00 k=80 d1,mix,0.0,80.0,1.0,54.357831325301206,58.0,0.6794728915662652,55.581538461538464,0.6947692307692308,0.3679322649998892
MIX q=0.00 k=80 d2,mix,0.0,80.0,2.0,55.01686746987952,58.0,0.687710843373494,56.043076923076924,0.7005384615384616,0.3635248773651016
MIX q=0.00 k=100 d0,mix,0.0,100.0,0.0,68.41204819277108,73.0,0.6841204819277108,69.76,0.6976000000000001,0.29234616603853336
MIX q=0.25 k=40 d0,mix,0.25,40.0,0.0,22.82168674698795,24.0,0.5705421686746988,22.726153846153846,0.5681538461538461,0.8763594129447788
MIX q=0.25 k=40 d1,mix,0.25,40.0,1.0,24.780722891566263,26.0,0.6195180722891566,25.424615384615386,0.6356153846153846,0.8070789576040451
MIX q=0.25 k=40 d2,mix,0.25,40.0,2.0,24.516867469879518,26.0,0.6129216867469879,24.790769230769232,0.6197692307692308,0.815764902452209
MIX q=0.25 k=60 d0,mix,0.25,60.0,0.0,35.39879518072289,37.0,0.5899799196787149,36.28923076923077,0.6048205128205129,0.5649909805656717
MIX q=0.25 k=60 d1,mix,0.25,60.0,1.0,36.23373493975904,38.0,0.6038955823293173,35.886153846153846,0.5981025641025641,0.551971802886214
MIX q=0.25 k=60 d2,mix,0.25,60.0,2.0,34.94457831325301,37.0,0.5824096385542168,35.16,0.5860000000000001,0.5723348503654668
MIX q=0.25 k=80 d0,mix,0.25,80.0,0.0,45.68072289156626,49.0,0.5710090361445783,45.864615384615384,0.5733076923076924,0.4378214427007781
MIX q=0.25 k=80 d1,mix,0.25,80.0,1.0,48.473493975903615,51.0,0.6059186746987951,49.20923076923077,0.6151153846153846,0.41259662466134767
MIX q=0.25 k=80 d2,mix,0.25,80.0,2.0,45.209638554216866,48.0,0.5651204819277108,45.003076923076925,0.5625384615384615,0.4423835412002985
MIX q=0.25 k=100 d0,mix,0.25,100.0,0.0,59.40963855421687,62.0,0.5940963855421687,60.76615384615385,0.6076615384615385,0.3366457108091665
MIX q=0.25 k=100 d1,mix,0.25,100.0,1.0,60.49277108433735,65.0,0.6049277108433735,61.13230769230769,0.611323076923077,0.33061801669023483
MIX q=0.25 k=100 d2,mix,0.25,100.0,2.0,57.03132530120482,60.0,0.5703132530120482,56.48,0.5648,0.350684468480649
MIX q=0.50 k=40 d0,mix,0.5,40.0,0.0,19.66987951807229,20.0,0.49174698795180727,19.067692307692308,0.47669230769230775,1.016783045448977
MIX q=0.50 k=40 d1,mix,0.5,40.0,1.0,21.44457831325301,23.0,0.5361144578313253,21.51076923076923,0.5377692307692308,0.9326366649811788
MIX q=0.50 k=40 d2,mix,0.5,40.0,2.0,19.773493975903616,21.0,0.49433734939759033,19.676923076923078,0.4919230769230769,1.011455032902754
MIX q=0.50 k=60 d0,mix,0.5,60.0,0.0,31.73975903614458,34.0,0.528995983935743,32.72923076923077,0.5454871794871795,0.6301245065290009
MIX q=0.50 k=60 d1,mix,0.5,60.0,1.0,29.680722891566266,32.0,0.4946787148594378,30.22153846153846,0.5036923076923077,0.6738380353156078
MIX q=0.50 k=60 d2,mix,0.5,60.0,2.0,31.149397590361446,33.0,0.5191566265060241,31.264615384615386,0.5210769230769231,0.6420669915680359
MIX q=0.50 k=80 d0,mix,0.5,80.0,0.0,39.66867469879518,42.0,0.49585843373493976,39.4,0.4925,0.5041761579347
MIX q=0.50 k=80 d1,mix,0.5,80.0,1.0,39.95180722891566,42.0,0.49939759036144576,39.42769230769231,0.4928461538461539,0.5006031363088058
MIX q=0.50 k=80 d2,mix,0.5,80.0,2.0,39.189156626506026,41.0,0.48986445783132526,38.79076923076923,0.4848846153846154,0.5103452516371014
MIX q=0.50 k=100 d0,mix,0.5,100.0,0.0,53.112048192771084,56.0,0.5311204819277109,52.32923076923077,0.5232923076923077,0.37656239366649275
MIX q=0.50 k=100 d1,mix,0.5,100.0,1.0,47.95180722891566,50.0,0.4795180722891566,46.84,0.4684,0.4170854271356784
MIX q=0.50 k=100 d2,mix,0.5,100.0,2.0,49.13614457831325,51.0,0.49136144578313257,48.24923076923077,0.4824923076923077,0.40703234190716725
MIX q=0.75 k=40 d0,mix,0.75,40.0,0.0,17.481927710843372,18.0,0.43704819277108437,16.75076923076923,0.41876923076923084,1.144038594073053
MIX q=0.75 k=40 d1,mix,0.75,40.0,1.0,16.20843373493976,17.0,0.40521084337349395,15.144615384615385,0.37861538461538463,1.2339255184717162
MIX q=0.75 k=40 d2,mix,0.75,40.0,2.0,17.050602409638554,17.0,0.4262650602409639,17.372307692307693,0.43430769230769234,1.1729790842283776
MIX q=0.75 k=60 d0,mix,0.75,60.0,0.0,25.54698795180723,27.0,0.4257831325301205,24.97230769230769,0.4162051282051282,0.7828711563855877
MIX q=0.75 k=60 d1,mix,0.75,60.0,1.0,25.180722891566266,26.0,0.4196787148594378,25.796923076923076,0.429948717948718,0.7942583732057417
MIX q=0.75 k=60 d2,mix,0.75,60.0,2.0,23.539759036144577,24.0,0.39232931726907627,22.178461538461537,0.36964102564102563,0.8496263691268298
MIX q=0.75 k=80 d0,mix,0.75,80.0,0.0,32.55060240963856,34.0,0.4068825301204819,33.01846153846154,0.4127307692307692,0.6144279527704778
MIX q=0.75 k=80 d1,mix,0.75,80.0,1.0,33.028915662650604,35.0,0.41286144578313255,32.26461538461538,0.40330769230769226,0.605530021157073
MIX q=0.75 k=80 d2,mix,0.75,80.0,2.0,32.38433734939759,33.0,0.40480421686746987,32.72923076923077,0.40911538461538455,0.6175824993489342
MIX q=0.75 k=100 d0,mix,0.75,100.0,0.0,40.566265060240966,42.0,0.40566265060240964,39.05538461538462,0.39055384615384614,0.493020493020493
MIX q=0.75 k=100 d1,mix,0.75,100.0,1.0,40.78915662650602,43.0,0.4078915662650602,41.38153846153846,0.41381538461538453,0.4903263919657363
MIX q=0.75 k=100 d2,mix,0.75,100.0,2.0,40.33734939759036,42.0,0.40337349397590355,38.535384615384615,0.38535384615384616,0.49581839904420555
MIX q=1.00 k=40 d0,mix,1.0,40.0,0.0,10.867469879518072,10.5,0.27168674698795187,8.910769230769231,0.22276923076923077,1.8403547671840355
MIX q=1.00 k=40 d1,mix,1.0,40.0,1.0,13.337349397590362,14.0,0.33343373493975903,12.436923076923076,0.31092307692307697,1.4995483288166214
MIX q=1.00 k=40 d2,mix,1.0,40.0,2.0,14.1,14.5,0.35250000000000004,14.418461538461539,0.3604615384615385,1.4184397163120568
MIX q=1.00 k=60 d0,mix,1.0,60.0,0.0,16.50602409638554,17.0,0.2751004016064257,15.68923076923077,0.2614871794871794,1.2116788321167884
MIX q=1.00 k=60 d1,mix,1.0,60.0,1.0,18.357831325301206,19.0,0.30596385542168675,16.676923076923078,0.277948717948718,1.0894533044562578
MIX q=1.00 k=60 d2,mix,1.0,60.0,2.0,20.26987951807229,21.0,0.3378313253012048,18.181538461538462,0.303025641025641,0.9866856871136471
MIX q=1.00 k=80 d0,mix,1.0,80.0,0.0,28.363855421686747,29.0,0.3545481927710843,28.40923076923077,0.3551153846153846,0.7051227593237618
MIX q=1.00 k=80 d1,mix,1.0,80.0,1.0,27.76144578313253,29.0,0.34701807228915665,27.71076923076923,0.3463846153846154,0.720423574342505
MIX q=1.00 k=80 d2,mix,1.0,80.0,2.0,26.27590361445783,27.0,0.32844879518072284,24.532307692307693,0.3066538461538461,0.7611536521619515
MIX q=1.00 k=100 d0,mix,1.0,100.0,0.0,33.92409638554217,35.0,0.3392409638554217,33.59076923076923,0.3359076923076923,0.5895514436907341
MIX q=1.00 k=100 d1,mix,1.0,100.0,1.0,32.39518072289157,33.0,0.32395180722891564,29.24923076923077,0.2924923076923077,0.6173757810175543
