panel,book,gross,dSharpe,dHalf_max,gt_2dp_bin,gt_vintage
B136,v1rules,,0.023922426806630925,0.05440937585843053,True,True
B136,v2band,0.5,0.0020166858586760927,0.0021781819594912655,False,False
B136,v2band,0.75,0.0020147865650825825,0.002181635020275019,False,False
B136,v2band,1.0,0.0020136816064342256,0.0021859275512075005,False,False
SMALL439,v1rules,,0.03806645114783169,0.12188853128257493,True,True
SMALL439,v2band,0.5,0.0014487487015700795,0.0016326771761203673,False,False
SMALL439,v2band,0.75,0.001448898435110646,0.0016287776113441677,False,False
SMALL439,v2band,1.0,0.0014482775525177516,0.0016239931732994206,False,False
U56,v1rules,,0.00220125838052343,0.01609489688577903,True,True
U56,v2band,0.5,0.007108060972043528,0.008765217722301877,True,True
U56,v2band,0.75,0.007104975877248343,0.008755208799146041,True,True
U56,v2band,1.0,0.007104249570539345,0.008747283464177746,True,True
