panel,anchor,ladder,rung,selector,knob,setting,CAGR,Sharpe,MaxDD,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,A_H1,A_H2,A_DD,L_H1,L_H2,L_OOS,L_DD,L_CAGR,O_S,O_DD,O_CAGR,pass4a,pass4b_full,pass4b_oos,pass4b_both
U56,A,N,5,RUNG_BOOK,-,-,0.1789829066444839,0.9892280896266107,-0.25853595033656995,1.194420469731575,0.8351361958727229,0.18764666887742631,1.11639187060135,-0.24238280544386492,0.17190400059573552,0.9058981168458846,-0.2585359503365696,False,False,False,True,True,True,False,True,True,False,True,False,False,False,False
U56,A,N,8,RUNG_BOOK,-,-,0.1683689324762978,1.0544262367884665,-0.21430274152844875,1.1455069567873546,0.9871185386104259,0.1506137119439266,1.024434058572595,-0.2021497613694364,0.18317850790899004,1.0798472835800628,-0.21430274152844841,False,False,False,True,True,True,False,True,True,False,True,False,False,False,False
U56,A,N,10,RUNG_BOOK,-,-,0.17143120060429773,1.1135597692032535,-0.20771055519190806,1.245798315005761,1.0068036991486549,0.16412623481870003,1.1406215688885986,-0.18868682738359055,0.17747418066673992,1.0972097659739142,-0.20771055519190773,True,False,False,True,True,True,False,True,True,False,True,False,False,False,False
U56,A,N,12,RUNG_BOOK,-,-,0.17693915159214124,1.168608442098493,-0.20169232195329845,1.2740797987310666,1.0883991477644515,0.162793152807843,1.1661175520793465,-0.16104858578491654,0.1887037168821093,1.1748310386526934,-0.20169232195329867,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True
U56,A,N,15,RUNG_BOOK,-,-,0.1701535773900349,1.1633508157313661,-0.20974138929433583,1.2511753057282837,1.1084992977101584,0.14691867859777452,1.1330679382781015,-0.1447822746368369,0.18961763408172527,1.1926140470718092,-0.20974138929433594,True,False,False,True,True,True,False,True,True,False,True,False,False,False,False
U56,A,N,20,RUNG_BOOK,-,-,0.15618726699090724,1.1423044406701397,-0.19127563591226426,1.2049096419872931,1.1009159382357854,0.1391140719342452,1.1118991984993762,-0.13952247957155728,0.17042230856703666,1.1687759914997473,-0.19127563591226404,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True
U56,A,N,25,RUNG_BOOK,-,-,0.1493093737695912,1.1311643518123795,-0.21158706611988398,1.2030110621069383,1.0861779957864177,0.13051174374446495,1.095297332581041,-0.14867686216977583,0.16500524595615063,1.1624191329308646,-0.2115870661198842,False,False,False,True,True,True,False,True,True,False,True,False,False,False,False
U56,A,N,30,RUNG_BOOK,-,-,0.1403470413197334,1.1026142003542359,-0.22068527693735596,1.1596786509063075,1.070917800074016,0.12162371954786155,1.0639166748907118,-0.1532485485257712,0.15598178428711607,1.1360671010454455,-0.22068527693735573,False,False,False,True,True,True,False,True,True,False,True,False,False,False,False
U56,A,N,40,RUNG_BOOK,-,-,0.134779599898325,1.128319973583018,-0.22984198631406594,1.2712689585975043,1.0285379281339,0.12806179457657096,1.1761934023688503,-0.12581409077906602,0.14033524612049586,1.1010141536542355,-0.22984198631406594,True,False,False,True,True,True,False,True,True,False,True,False,False,False,False
U56,A,H,21,RUNG_BOOK,-,-,0.14366167985566558,1.1161284641319222,-0.20241628648552024,1.2103415611599029,1.0507552505315503,0.1310796196055557,1.1218472896351326,-0.11825916304387041,0.15411578085439204,1.1182105678400176,-0.20241628648552012,False,False,False,True,True,True,False,True,True,False,True,False,False,False,False
