corpus,transform,rung,target,held_out,n_test,rmse_fit,rmse_mean,slope
pooled45,level,10,y_IS,B136,15,0.01046714144170941,0.0104071639492856,-2.0893614885699874e-05
pooled45,level,10,y_IS,SMALL439,11,0.01600432874790809,0.007379882726935895,0.0008635784915462933
pooled45,level,10,y_IS,SMALL484,4,0.03583646139072127,0.035657777250884794,-4.706978500378219e-05
pooled45,level,10,y_IS,U56,15,0.017168610595151266,0.016128568757266575,0.0004568437648966363
pooled45,level,10,y_OOS,B136,15,0.09365460548370419,0.09957213819034347,0.0032991793954184794
pooled45,level,10,y_OOS,SMALL439,11,0.10708656830954784,0.11115673499789604,0.0055317672235996014
pooled45,level,10,y_OOS,SMALL484,4,0.13074783239360233,0.14179540938988935,0.0037721167895104196
pooled45,level,10,y_OOS,U56,15,0.0843242308743117,0.0917051337919065,0.004507988770024246
pooled45,level,20,y_IS,B136,15,0.02879244297126819,0.031256738574305776,0.0009396776303413353
pooled45,level,20,y_IS,SMALL439,11,0.045343901130959825,0.041991311589562985,0.002150157761496057
pooled45,level,20,y_IS,SMALL484,4,0.06693162656094208,0.06964698055876112,0.001257795191581476
pooled45,level,20,y_IS,U56,15,0.03985053664248273,0.03531946690417403,0.0022520739269499238
pooled45,level,20,y_OOS,B136,15,0.06983136968223451,0.06881975742359274,0.0020150408538572584
pooled45,level,20,y_OOS,SMALL439,11,0.12508016367494862,0.12603480431597364,0.0019834638801396586
pooled45,level,20,y_OOS,SMALL484,4,0.147898927668813,0.1504724049579031,0.0009393119401114135
pooled45,level,20,y_OOS,U56,15,0.11031207246245359,0.11165732996466757,0.0009556696497066221
pooled45,level,25,y_IS,B136,15,0.03788374961752851,0.04190278545821364,0.0015696750701921752
pooled45,level,25,y_IS,SMALL439,11,0.06343211575624724,0.0628720911110539,0.002791165756873842
pooled45,level,25,y_IS,SMALL484,4,0.08310591500342465,0.08652327205415343,0.0020762351012957167
pooled45,level,25,y_IS,U56,15,0.05169058546704437,0.04528557682474667,0.003313703843115833
pooled45,level,25,y_OOS,B136,15,0.05296957921358885,0.05305997116858265,0.002305272027886048
pooled45,level,25,y_OOS,SMALL439,11,0.14292336522346263,0.14234195599216962,0.0031902785250640265
pooled45,level,25,y_OOS,SMALL484,4,0.15526856110986348,0.1590193211802199,0.00164128407117563
pooled45,level,25,y_OOS,U56,15,0.11700685405474293,0.11945189039316954,0.001299614030981238
pooled45,level,30,y_IS,B136,15,0.046999314410425055,0.05254044506238194,0.002197452784080522
pooled45,level,30,y_IS,SMALL439,11,0.08250851611802709,0.08425668856263993,0.0034304722951457784
pooled45,level,30,y_IS,SMALL484,4,0.09966568049555037,0.10342228918642783,0.002891835006278521
pooled45,level,30,y_IS,U56,15,0.06357321587590183,0.05534757288921952,0.0043724446245242445
pooled45,level,30,y_OOS,B136,15,0.07963601286215874,0.08150111488938548,0.0020210485727842065
pooled45,level,30,y_OOS,SMALL439,11,0.16181331580463207,0.1644929683658358,0.0016219793889281633
pooled45,level,30,y_OOS,SMALL484,4,0.16326187477847554,0.16367883535427188,0.00243703009370175
pooled45,level,30,y_OOS,U56,15,0.10233121668842042,0.09901941307445968,0.0034288038576636634
pooled45,log,10,y_IS,B136,15,0.010447604782064752,0.0104071639492856,-0.0002688402167216658
pooled45,log,10,y_IS,SMALL439,11,0.01423064626619267,0.007379882726935895,0.014371823135918955
pooled45,log,10,y_IS,SMALL484,4,0.03575527492666864,0.035657777250884794,-0.0005132921607204407
pooled45,log,10,y_IS,U56,15,0.01747722753247501,0.016128568757266575,0.010123406330052534
pooled45,log,10,y_OOS,B136,15,0.09286717233034146,0.09957213819034347,0.07204053072392473
pooled45,log,10,y_OOS,SMALL439,11,0.10314856223700293,0.11115673499789604,0.09990112378666863
pooled45,log,10,y_OOS,SMALL484,4,0.1302126084208638,0.14179540938988935,0.08135613128862063
pooled45,log,10,y_OOS,U56,15,0.08681228386939625,0.0917051337919065,0.10828873316044588
pooled45,log,20,y_IS,B136,15,0.028937172645419642,0.031256738574305776,0.017123162521824154
pooled45,log,20,y_IS,SMALL439,11,0.04445195752197778,0.041991311589562985,0.036821698662344304
pooled45,log,20,y_IS,SMALL484,4,0.06708485707706845,0.06964698055876112,0.022867513602057733
pooled45,log,20,y_IS,U56,15,0.04052645331979793,0.03531946690417403,0.04467863582112608
pooled45,log,20,y_OOS,B136,15,0.07161942679552148,0.06881975742359274,0.04759409609451775
pooled45,log,20,y_OOS,SMALL439,11,0.12457016169098481,0.12603480431597364,0.03258169059179881
pooled45,log,20,y_OOS,SMALL484,4,0.14768379510171967,0.1504724049579031,0.020403352664785795
pooled45,log,20,y_OOS,U56,15,0.11019186228592304,0.11165732996466757,0.01752491175637771
pooled45,log,25,y_IS,B136,15,0.03817748984957072,0.04190278545821364,0.028538827601027276
pooled45,log,25,y_IS,SMALL439,11,0.06313568374389965,0.0628720911110539,0.04798615328231346
pooled45,log,25,y_IS,SMALL484,4,0.08323819225625029,0.08652327205415343,0.037333822427212865
pooled45,log,25,y_IS,U56,15,0.0524782367846586,0.04528557682474667,0.06470129719601433
pooled45,log,25,y_OOS,B136,15,0.05476628851964635,0.05305997116858265,0.0528619797254063
pooled45,log,25,y_OOS,SMALL439,11,0.1415792608194613,0.14234195599216962,0.05340388863532545
