panel,arm,cost,window,n_rungs,smin,smax,spread
U56,CAND20,0.0,ISH1_HALF,150,0.8221043267884365,0.8301639190035102,0.008059592215073685
U56,CAND20,0.0,IS,150,1.07260034254803,1.0743373958725657,0.0017370533245357755
U56,CAND20,0.0,FULL,150,1.151015635223446,1.1513189808807318,0.0003033456572858473
U56,CAND20,10.0,ISH1_HALF,150,0.725774247308172,0.7320223768797135,0.0062481295715415275
U56,CAND20,10.0,IS,150,0.9755712143629995,0.9765570614243728,0.0009858470613732795
U56,CAND20,10.0,FULL,150,1.0576348865467429,1.0598521232850704,0.0022172367383275216
U56,CAND20,25.0,ISH1_HALF,150,0.5808560783926878,0.5853445480056773,0.004488469612989432
U56,CAND20,25.0,IS,150,0.8270350682153101,0.8309224873772674,0.0038874191619572285
U56,CAND20,25.0,FULL,150,0.9172019819026913,0.9223011437644243,0.0050991618617329815
U56,EWELIG,0.0,ISH1_HALF,150,0.9106725469582767,0.9166853863080374,0.0060128393497607124
U56,EWELIG,0.0,IS,150,1.0519080788351682,1.0541159975198264,0.0022079186846581944
U56,EWELIG,0.0,FULL,150,1.1262645400196754,1.1296569240538137,0.0033923840341383293
U56,EWELIG,10.0,ISH1_HALF,150,0.8286996608478924,0.830672629456875,0.0019729686089826615
U56,EWELIG,10.0,IS,150,0.9684193994818755,0.9703547547104411,0.0019353552285655828
U56,EWELIG,10.0,FULL,150,1.0441593677125998,1.0451992610341552,0.0010398933215554074
U56,EWELIG,25.0,ISH1_HALF,150,0.7012922619493077,0.7054168337917318,0.004124571842424096
U56,EWELIG,25.0,IS,150,0.8395996640216274,0.8477810353497758,0.008181371328148335
U56,EWELIG,25.0,FULL,150,0.9155705662392243,0.9232544381898248,0.007683871950600496
U56,CAND20_NG,0.0,ISH1_HALF,150,0.9894257112851207,0.994455549299289,0.005029838014168342
U56,CAND20_NG,0.0,IS,150,1.2533325430287585,1.253938730575957,0.0006061875471985445
U56,CAND20_NG,0.0,FULL,150,1.2208009111951865,1.2216188213368655,0.0008179101416789791
U56,CAND20_NG,10.0,ISH1_HALF,150,0.9090588277972435,0.9132356852905055,0.004176857493262021
U56,CAND20_NG,10.0,IS,150,1.170131767472273,1.1714117447181096,0.0012799772458365055
U56,CAND20_NG,10.0,FULL,150,1.1462938585610023,1.1485642360503212,0.002270377489318909
U56,CAND20_NG,25.0,ISH1_HALF,150,0.788221452291599,0.7925870836560205,0.004365631364421474
U56,CAND20_NG,25.0,IS,150,1.0441143264497508,1.0477019636491518,0.003587637199401028
U56,CAND20_NG,25.0,FULL,150,1.034290808700971,1.0388923899591402,0.0046015812581692295
U56,EWALL,0.0,ISH1_HALF,150,1.0393774487198735,1.0506012244569543,0.011223775737080777
U56,EWALL,0.0,IS,150,1.1126060060391298,1.1215562599901763,0.008950253951046427
U56,EWALL,0.0,FULL,150,1.1255103694088422,1.1277540089023876,0.0022436394935454462
U56,EWALL,10.0,ISH1_HALF,150,1.0312014177402442,1.043552873416439,0.012351455676194778
U56,EWALL,10.0,IS,150,1.1039924753376371,1.1139538047091115,0.009961329371474426
U56,EWALL,10.0,FULL,150,1.1169307124535144,1.1203160165339867,0.003385304080472329
U56,EWALL,25.0,ISH1_HALF,150,1.0189365900788325,1.0329799581890997,0.014043368110267185
U56,EWALL,25.0,IS,150,1.0910712080596974,1.102549462872748,0.011478254813050537
U56,EWALL,25.0,FULL,150,1.104059287308563,1.1096948780369464,0.005635590728383377
B136,CAND20,0.0,ISH1_HALF,150,1.0616288489692414,1.0659482394428177,0.004319390473576323
