Nfloor,G,in_scope,independent,files,independent_files,extensible
50,2,2,1,2,1,2
50,5,2,1,2,1,2
50,10,2,1,2,1,2
50,20,2,1,2,1,2
75,2,2,1,2,1,2
75,5,2,1,2,1,2
75,10,2,1,2,1,2
75,20,2,1,2,1,2
100,2,2,1,2,1,2
100,5,2,1,2,1,2
100,10,2,1,2,1,2
100,20,2,1,2,1,2
150,2,5,4,3,2,2
150,5,2,1,2,1,2
150,10,2,1,2,1,2
150,20,2,1,2,1,2
