,cvol,mrho,beta,tpers,plevel
AAPL,0.2813908804803613,0.25767182651788073,1.1173318723952312,0.9819729594391587,1.6094876898532853
ABBV,0.2635835212857055,0.1582913833938902,0.6430771722944645,0.9604938271604938,1.8342299028516775
ABT,0.21901811479618016,0.2128278195914184,0.7271791658984618,0.9774661992989484,1.722675046958056
ACN,0.2608906975114815,0.2753101580559869,1.0074604823962818,0.9667000500751126,2.131506387600275
ADBE,0.32618056166310466,0.24332652625725704,1.1920619132297623,0.9754631947921882,2.3437039317832116
ADI,0.3033844136088208,0.30144816537101854,1.276450624995652,0.9694541812719079,1.8876173003357362
ADP,0.22065551521370216,0.2841625874988726,0.9010070464054745,0.9789684526790186,2.0087066034453085
AMAT,0.38821240697251597,0.2743029644352611,1.5444383518219205,0.9757135703555333,1.603739630242614
AMD,0.5687631141649028,0.2125869123762272,1.7400352043993954,0.9737105658487731,1.1510632533537501
AMGN,0.24540686746272994,0.19691200965840197,0.7404168307511493,0.9544316474712068,2.150372617933512
AMZN,0.3295524504108034,0.2322078486692481,1.1674160659114414,0.971957936905358,1.8878984880968723
ANET,0.4574789782885384,0.1953353312149206,1.3974747878775509,0.9743144741409233,1.2347702951609165
AVGO,0.3838941753326576,0.2447061237979882,1.3988281875351372,0.9596895343014522,1.2907022432878543
AXP,0.2906475328516663,0.3200768623477057,1.2207493507947247,0.9689534301452178,1.936564005135266
BA,0.3582741904265283,0.2780686577753667,1.292703419418868,0.9646970455683526,2.215597912098372
BAC,0.3285289838772904,0.3101940908107038,1.3357974892860338,0.9697045568352529,1.331427296520743
BKNG,0.3301936257413775,0.25829069314614983,1.1341795256693752,0.9654481722583876,1.8407958988470938
BLK,0.2757241018284219,0.3348977574962084,1.2701715564333789,0.9687030545818728,2.557645528531863
BRK-B,0.19250559433374584,0.3049039408979914,0.8465388153874766,0.9669504256384577,2.281601443825655
BSX,0.289228404695582,0.22922798892922946,0.942010793773714,0.9524286429644466,1.4694538137671267
C,0.3369402930636149,0.3252483927389397,1.4275493722128025,0.9739609414121182,1.6218510955443124
CAT,0.29869727434795335,0.29475963162095264,1.1737557889768107,0.9749624436654982,2.032779879191245
CB,0.21917151800336174,0.23925797673982704,0.7557219394847128,0.971957936905358,2.0691869251519095
