stat,h,cells_scored,mean_window_cells,R2_LOO,R2_LOO_dialFE
SHARE,0.05,560,73.97857142857143,0.11179844848488385,0.11145173253218643
SHARE,0.075,560,117.1,0.11213538596431816,0.1082137774936982
SHARE,0.1,560,139.48214285714286,0.12649150897677452,0.12762189055489337
ENT,0.05,560,70.38214285714285,0.1089159270630019,0.1124066686513635
ENT,0.075,560,98.81428571428572,0.08034935816530087,0.07268979073435733
ENT,0.1,560,135.56428571428572,0.06891025664230832,0.059880172901883966
ENTn,0.05,560,63.27142857142857,0.08732409385924111,0.07970455521478226
ENTn,0.075,560,86.83214285714286,0.08768642958653716,0.07608328043065771
ENTn,0.1,560,120.25357142857143,0.08661486456994005,0.07745452648375506
ENT_MM,0.05,560,63.92857142857143,0.07414932670724739,0.07847134275816814
ENT_MM,0.075,560,90.57857142857142,0.08311081548511567,0.08875948670221578
ENT_MM,0.1,560,125.67142857142858,0.07540342769932928,0.078661839666197
DIST,0.05,560,112.70357142857142,0.056785579063420855,0.048319615221270484
DIST,0.075,560,151.29642857142858,0.062450904906423466,0.04226180239747612
DIST,0.1,560,197.43928571428572,0.025631074629772987,0.015106410670894466
DISTn,0.05,560,77.40714285714286,0.044124401939575786,0.00567391716855814
DISTn,0.075,560,108.97857142857143,0.039380281864927036,0.018787727254465425
DISTn,0.1,560,140.87857142857143,0.018219326348509868,-0.004808948745534725
