support,stat,label,form,kind,pair_type,n_panels,k_min,k_max,k_span,uncond_rho_breadth,uncond_rho_Ebar,uncond_rho_k,withinq_rho_Ebar,withinq_signlevels,need_q,withinE_rho_breadth,withinE_signlevels,need_b,partial_Ebar_given_breadth,partial_breadth_given_Ebar,beta_logbreadth,beta_logk,R2,beta_reading,is_nelig,is_breadth,verdict,s3_signature,stat_mean,stat_sd
"laneB q in [0,1] k<=100",LV_CAGR,LV CAGR of CAND-20                  [level],LEVEL,plain,,58,40.0,100.0,2.5,0.8914146851641086,0.4938632378725891,0.023863686802882107,0.2593939393939394,4/5,4,0.7665734265734268,5/5,4,0.18191087340089354,0.8586954163840224,0.8973124793183115,0.08565112976514336,0.8019214729803865,breadth,False,True,breadth,True,0.08508256275553422,0.02860660705844932
"laneB q in [0,1] k<=100",LV_ARET,LV ann. arithmetic mean CAND-20     [level],LEVEL,plain,,58,40.0,100.0,2.5,0.8900612138177121,0.5354517210618599,0.07254433684551244,0.3926340326340327,4/5,4,0.760979020979021,5/5,4,0.2859644002513737,0.8558676037545868,0.8993205978967057,0.13447005550880725,0.8102054239776783,breadth,True,True,JOINT,True,0.08861581510195708,0.027082646535109882
"laneB q in [0,1] k<=100",LV_DD,LV |MaxDD| of CAND-20              [level],LEVEL,plain,,58,40.0,100.0,2.5,-0.5414808206958074,0.043710972346119537,0.3695852745729984,0.5297902097902099,5/5,4,-0.4703496503496504,5/5,4,0.4043096766053421,-0.6384413630886345,-0.5184902000444366,0.3338829028796113,0.4041507033787858,mixed,True,True,JOINT,False,0.21529900777063896,0.036472668363774864
"laneB q in [0,1] k<=100",LV_VOL,LV ann. vol of CAND-20             [level],LEVEL,plain,,58,40.0,100.0,2.5,0.25946660924667014,0.8920914208373067,0.8673862299044911,0.9062004662004662,5/5,4,-0.21272727272727274,3/5,4,0.9040702800330627,-0.4069514399322269,0.3207140365750154,0.8894700643532548,0.8547286693402063,mixed,True,False,n_elig,False,0.12012183238965184,0.011155711657075953
"laneB q in [0,1] k<=100",RA_SHARPE,RA Sharpe of CAND-20               [ratio],RATIO,plain,,58,40.0,100.0,2.5,0.8615767941185519,0.28604386477590826,-0.18916182095546896,-0.22825174825174827,4/5,4,0.7530069930069931,5/5,4,-0.2706054405923533,0.8601759932768849,0.8525939751191509,-0.13045361971919192,0.759252028024265,breadth,False,True,breadth,True,0.7339298312023532,0.20704851760947604
"laneB q in [0,1] k<=100",RA_SORTINO,RA Sortino of CAND-20              [ratio],RATIO,plain,,58,40.0,100.0,2.5,0.8389369097788306,0.2498692669722231,-0.21464607770102348,-0.23571095571095574,4/5,4,0.7356643356643358,5/5,4,-0.30552282193895186,0.8447364833237827,0.8280830695714438,-0.1576256566008624,0.7285431803608591,breadth,False,True,breadth,True,0.9839216540847449,0.2536902309852762
"laneB q in [0,1] k<=100",RA_CALMAR,RA Calmar of CAND-20               [ratio],RATIO,plain,,58,40.0,100.0,2.5,0.8768341074779292,0.3742655879910179,-0.09815569711598246,0.003170163170163165,3/5,4,0.761818181818182,5/5,4,-0.09452150166835747,0.8564959823341498,0.874220359464531,-0.03795833906976645,0.7702720558628745,breadth,False,True,breadth,True,0.4156607546739325,0.16838224950794897
"laneB q in [0,1] k<=100",RA_VOLREL,RA vol(CAND-20)/vol(EWall)         [ratio],RATIO,plain,,58,40.0,100.0,2.5,0.5262850287612661,0.9524439386016181,0.7461294671351195,0.9337062937062939,5/5,4,0.2537062937062937,3/5,4,0.9391115724623673,0.2838963203151704,0.5804142783128918,0.7860958277311342,0.8919926062175216,mixed,True,False,n_elig,False,0.9808893179734618,0.12822187112262312
"laneB q in [0,1] k<=100",RL_SHARPE_CAGR,RV Sharpe vs CAGR    == S3 [271/269C] [ratio x level],RATIO,reversal,ratio x level,58,40.0,100.0,2.5,0.6233379123876683,0.23166911511615748,-0.10678941200980806,-0.050605639021179115,3/5,4,0.5600364109888375,5/5,4,-0.09122450917960094,0.5993739344112319,0.6189191580947417,-0.06417166951715753,0.3926486307989344,breadth,False,True,breadth,True,0.47413793103448276,0.2711640565295094
"laneB q in [0,1] k<=100",RL_CALMAR_CAGR,RV Calmar vs CAGR                     [ratio x level],RATIO,reversal,ratio x level,58,40.0,100.0,2.5,0.24398536586955444,-0.10287604780686503,-0.2574872047783038,-0.38068305236587074,5/5,4,0.19200394140806404,4/5,4,-0.25525441043603186,0.33376729332270255,0.2273331189816185,-0.24183342480058562,0.1177349667828641,mixed,True,False,n_elig,False,0.37931034482758624,0.2546126198893066
"laneB q in [0,1] k<=100",RL_SORTINO_CAGR,RV Sortino vs CAGR                    [ratio x level],RATIO,reversal,ratio x level,58,40.0,100.0,2.5,0.558152798101597,0.20960547438282764,-0.09258066061295259,-0.03843705334039185,3/5,4,0.44500391297605385,5/5,4,-0.07402258223678809,0.5327690990836718,0.5544065501558277,-0.05440514886515986,0.3144804318780112,breadth,False,True,breadth,True,0.4258620689655172,0.2632858128303718
"laneB q in [0,1] k<=100",RL_SHARPE_ARET,RV Sharpe vs ann. arith. mean         [ratio x level],RATIO,reversal,ratio x level,58,40.0,100.0,2.5,0.6264806647601396,0.29143314683120286,-0.04655659505207102,0.027122859488967227,3/5,4,0.5307204925572393,5/5,4,-0.006679747797296206,0.5797582170596199,0.6262441732741044,-0.003434464213081626,0.39248976293451443,breadth,False,True,breadth,True,0.556896551724138,0.28414974367401086
"laneB q in [0,1] k<=100",RR_SHARPE_SORTINO,RV Sharpe vs Sortino                  [ratio x ratio],RATIO,reversal,ratio x ratio,58,40.0,100.0,2.5,0.25443336984422427,0.056576854057882715,-0.10387145425435287,-0.08615893573894252,3/5,4,0.26136447382345945,5/5,4,-0.07467491719033033,0.25877616154108585,0.24845901551909885,-0.08676298022364672,0.07222846151797457,mixed,False,False,NULL,False,0.05172413793103448,0.08000302474620596
"laneB q in [0,1] k<=100",RR_SHARPE_CALMAR,RV Sharpe vs Calmar                   [ratio x ratio],RATIO,reversal,ratio x ratio,58,40.0,100.0,2.5,0.5194265938910666,0.24377831873829442,-0.042090223087377095,0.055922243148068616,2/5,4,0.47479978271099926,4/5,4,-0.002202481152901175,0.47293975384165904,0.5189891026139469,-0.0063534977939144165,0.2698441619768749,breadth,False,True,breadth,True,0.18448275862068964,0.20502607804856388
"laneB q in [0,1] k<=100",LL_CAGR_ARET,RV CAGR vs ann. arith. mean           [level x level],LEVEL,reversal,level x level,58,40.0,100.0,2.5,0.11286883169690709,0.14289472613568707,0.07477016725773668,0.057547318550362034,3/5,4,0.03421664644535551,3/5,4,0.10227637845375226,0.05198901534928746,0.11857962264643945,0.08293536259338993,0.01958503440385262,flat,False,False,NULL,False,0.08275862068965517,0.11103647422622191
"laneB q in [0,1] k<=100",LL_CAGR_NEGDD,RV CAGR vs -|MaxDD|                   [level x level],LEVEL,reversal,level x level,58,40.0,100.0,2.5,0.31952312537495214,-0.15177581050034122,-0.37684079103001605,-0.3391356292599,4/5,4,0.4508025766086862,5/5,4,-0.3625282346043244,0.44912638736426586,0.2949731022747402,-0.3565294344488083,0.22860556164354384,mixed,True,True,JOINT,False,0.6189655172413794,0.27174349137719583
"laneB q in [0,1] k<=100",S1_rho_n_OOS,"S1 rho(n, OOS Sharpe)        [209/199]",parent,parent,,58,40.0,100.0,2.5,0.6575811712020052,0.474386645586263,0.16345544756129074,0.21031854090474958,4/5,4,0.4751183593867056,5/5,4,0.24649983784964097,0.5586521201431576,0.6720228172996904,0.20972981958917944,0.4761910328022996,mixed,False,True,breadth,False,0.6206896551724137,0.4811384965616066
"laneB q in [0,1] k<=100",S2_overlap,S2 INV-vs-NONE top20 overlap [153],parent,parent,,58,40.0,100.0,2.5,-0.2732474084099788,-0.9596419453074535,-0.919371571594924,-0.9564568764568765,5/5,4,0.4636363636363637,4/5,4,-0.9796477218396722,0.7270459891340469,-0.3381571658705028,-0.942656510877588,0.9590521670890937,mixed,True,True,JOINT,False,0.8291279086757448,0.08259392103441639
"laneB q in [0,1] k<=100",S3_reversal,S3 Sharpe-vs-CAGR reversal   [271/269C],parent,parent,,58,40.0,100.0,2.5,0.6233379123876683,0.23166911511615748,-0.10678941200980806,-0.050605639021179115,3/5,4,0.5600364109888375,5/5,4,-0.09122450917960094,0.5993739344112319,0.6189191580947417,-0.06417166951715753,0.3926486307989344,breadth,False,True,breadth,True,0.47413793103448276,0.2711640565295094
