pop,cls,level_valued,form,bar,n_near,n_dist,pass_near,pass_near_share,falsepass_dist,falsepass_share,recovered,newly_caught,dist_recovered
NEAR,TURNOVER,True,ABS,1e-12,454,0,442,0.973568281938326,0,,0,0,0
NEAR,TURNOVER,True,REL,1e-12,454,0,442,0.973568281938326,0,,0,0,0
NEAR,TURNOVER,True,HYBRID,1e-12,454,0,442,0.973568281938326,0,,0,0,0
NEAR,TURNOVER,True,ABS,1e-10,454,0,442,0.973568281938326,0,,0,0,0
NEAR,TURNOVER,True,REL,1e-10,454,0,442,0.973568281938326,0,,0,0,0
NEAR,TURNOVER,True,HYBRID,1e-10,454,0,442,0.973568281938326,0,,0,0,0
NEAR,TURNOVER,True,ABS,1e-08,454,0,442,0.973568281938326,0,,0,0,0
NEAR,TURNOVER,True,REL,1e-08,454,0,442,0.973568281938326,0,,0,0,0
NEAR,TURNOVER,True,HYBRID,1e-08,454,0,442,0.973568281938326,0,,0,0,0
NEAR,TURNOVER,True,ABS,1e-06,454,0,444,0.9779735682819384,0,,2,0,0
NEAR,TURNOVER,True,REL,1e-06,454,0,446,0.9823788546255506,0,,2,0,0
NEAR,TURNOVER,True,HYBRID,1e-06,454,0,446,0.9823788546255506,0,,2,0,0
NEAR,TURNOVER,True,ABS,0.0001,454,0,446,0.9823788546255506,0,,0,0,0
NEAR,TURNOVER,True,REL,0.0001,454,0,446,0.9823788546255506,0,,0,0,0
NEAR,TURNOVER,True,HYBRID,0.0001,454,0,446,0.9823788546255506,0,,0,0,0
NEAR,TURNOVER,True,ABS,0.01,454,0,453,0.9977973568281938,0,,1,0,0
NEAR,TURNOVER,True,REL,0.01,454,0,454,1.0,0,,1,0,0
NEAR,TURNOVER,True,HYBRID,0.01,454,0,454,1.0,0,,1,0,0
NEAR,GROSS,True,ABS,1e-12,95,0,95,1.0,0,,0,0,0
NEAR,GROSS,True,REL,1e-12,95,0,95,1.0,0,,0,0,0
NEAR,GROSS,True,HYBRID,1e-12,95,0,95,1.0,0,,0,0,0
NEAR,GROSS,True,ABS,1e-10,95,0,95,1.0,0,,0,0,0
NEAR,GROSS,True,REL,1e-10,95,0,95,1.0,0,,0,0,0
NEAR,GROSS,True,HYBRID,1e-10,95,0,95,1.0,0,,0,0,0
NEAR,GROSS,True,ABS,1e-08,95,0,95,1.0,0,,0,0,0
NEAR,GROSS,True,REL,1e-08,95,0,95,1.0,0,,0,0,0
NEAR,GROSS,True,HYBRID,1e-08,95,0,95,1.0,0,,0,0,0
NEAR,GROSS,True,ABS,1e-06,95,0,95,1.0,0,,0,0,0
NEAR,GROSS,True,REL,1e-06,95,0,95,1.0,0,,0,0,0
NEAR,GROSS,True,HYBRID,1e-06,95,0,95,1.0,0,,0,0,0
