statistic,total_degree,zero_share,gini,mass@0.02,k@0.02,mass@0.05,k@0.05,mass@0.10,k@0.10,mass@0.20,k@0.20,mass@0.25,k@0.25
NAMED,1828.0,0.34497816593886466,0.7348109148009772,0.33150984682713347,14,0.4655361050328228,34,0.5962800875273523,69,0.7527352297592997,137,0.8063457330415755,172
ECHOED,215622.0,0.018922852983988356,0.2897379028319236,0.0354694789956498,14,0.08368812087820353,34,0.16484403261262764,69,0.3146942334270158,137,0.3882025025275714,172
SUM,217450.0,0.008733624454148471,0.28684059612492696,0.03535985283973327,14,0.08342147620142562,34,0.16430903656012877,69,0.31360312715566796,137,0.3867785697861577,172
MAXLEG,215787.0,0.008733624454148471,0.2889304509799877,0.03544235750995194,14,0.08362412934977548,34,0.16471798579154445,69,0.314453604712054,137,0.3879056662356861,172
CTRL,1297.0,0.01455604075691412,0.2329729675132064,0.03315343099460293,14,0.07941403238242097,34,0.16037008481110254,69,0.31765612952968386,137,0.39861218195836545,172
