panel,arm,dial,anchor_MaxDD,dMaxDD_bp,dSharpe,dCAGR_pp,dTurn,dNames,MaxDD,Sharpe
U56,NT,5.0,-0.18308348697878107,84.40505479771043,0.023567158671077948,0.21156149990475548,-3.775486956029048,0.0,-0.17464298149901003,1.0871063829380787
U56,NT,10.0,-0.18308348697878107,82.84058939685757,0.024837672094442764,0.19066869922235163,-4.870106507491391,0.0,-0.17479942803909532,1.0883768963614435
U56,NT,20.0,-0.18308348697878107,108.66353213359714,0.048052962740917415,0.07932596036916983,-5.731439197741528,0.0,-0.17221713376542136,1.1115921870079182
U56,NT,40.0,-0.18308348697878107,303.6185392569346,0.06340590561134896,-0.057211372776455605,-5.927085546965151,0.0,-0.1527216330530876,1.1269451298783497
U56,MAB,0.03,-0.18308348697878107,-1.1102230246251565e-12,0.0264688418809349,0.3163424299712503,-0.9092401078841661,-0.01847262897048907,-0.18308348697878118,1.0900080661479357
U56,MAB,0.06,-0.18308348697878107,-22.665989415496803,0.01544001545348861,0.4101824214904459,-1.4597104044078417,-0.20004505519261073,-0.18535008592033075,1.0789792397204894
U56,MAB,0.12,-0.18308348697878107,-41.55603285235454,0.06619451878260785,1.094226036135315,-2.3046318459552495,0.12187429601261712,-0.18723909026401653,1.1297337430496086
B136,NT,5.0,-0.2005204833110832,-2.30940412316305,0.03639855800781566,0.6300115638280035,-4.7910246938066265,0.0,-0.2007514237233995,0.97958345776935
B136,NT,10.0,-0.2005204833110832,10.679963949505877,0.033161448332449384,0.6515224145681398,-6.69893653719385,0.0,-0.1994524869161326,0.9763463480939837
B136,NT,20.0,-0.2005204833110832,-37.785810112757055,0.06539143814390413,1.2746127000959895,-8.109482446685913,0.0,-0.2042990643223589,1.0085763379054384
B136,NT,40.0,-0.2005204833110832,-100.51747105817243,0.03372125852375574,0.6127610024867503,-9.22266340843278,0.0,-0.21057223041690043,0.97690615828529
B136,MAB,0.03,-0.2005204833110832,3.3306690738754696e-12,0.005713395779977759,0.07459221718344455,-0.10018127828206858,0.005181347150259086,-0.20052048331108285,0.9488982955415121
B136,MAB,0.06,-0.2005204833110832,-47.127738516705705,-0.01361496701910514,-0.18738303125067635,-0.2267003249775179,-0.029961703086282654,-0.20523325716275376,0.9295699327424292
B136,MAB,0.12,-0.2005204833110832,2.220446049250313e-12,0.0283254653001348,0.482502491016934,-0.4739385247671013,-0.0950664564091035,-0.20052048331108296,0.9715103650616691
SMALL439,NT,5.0,-0.334794167175974,153.20207781977845,0.04112046611892495,0.7445060402940573,-4.855528456451275,0.0,-0.31947395939399614,0.4910362604648878
SMALL439,NT,10.0,-0.334794167175974,-56.80711113516534,0.040812863402730604,0.7453300117966188,-6.74736325344643,0.0,-0.3404748782894905,0.49072865774869345
SMALL439,NT,20.0,-0.334794167175974,67.46127545411818,0.05504478241438493,0.9591576774093724,-8.486899907625368,0.0,-0.32804803963056217,0.5049605767603478
SMALL439,NT,40.0,-0.334794167175974,118.11761720492142,0.11037742701994369,1.8669674377797874,-10.232900431414118,0.0,-0.32298240545548185,0.5602932213659065
SMALL439,MAB,0.03,-0.334794167175974,-67.3256857257576,0.00117004824574507,0.042587241106240015,-0.04669592467872974,-0.0050838840874440905,-0.34152673574854975,0.4510858425917079
SMALL439,MAB,0.06,-0.334794167175974,-421.0176879739591,-0.019995302466968512,-0.2850843061607433,-0.09638892229221341,-0.01499745805795527,-0.3768959359733699,0.42992049187899434
SMALL439,MAB,0.12,-0.334794167175974,-139.92085094228779,-0.01410611289718211,-0.20850891910995095,-0.2175715538256,-0.023894255210979765,-0.34878625227020277,0.43580968144878074
ETF36,NT,5.0,-0.22153357165594434,28.55555106676122,0.0017218996971951617,-0.026753304654825172,-2.8434990470164605,0.0,-0.21867801654926822,0.6751745832081603
