site,panel,cost,null_mean,null_sd,null_min,null_max,real_mean,pct,draw0
S3,u56,0.0,0.06977339330643317,0.018274959477589545,0.03638898615819846,0.14308256504263847,0.0686828595096465,55.00000000000001,0.07382712156615868
S3,u56,1.0,0.07076111166489193,0.01830042367973357,0.03706841487649628,0.14292906713568063,0.07109789139201009,57.99999999999999,0.07384217494124724
S3,u56,2.0,0.07178646634368366,0.018330549836765065,0.03774809917057637,0.14277477618738735,0.07366237429138714,61.0,0.0738568515582162
S3,u56,5.0,0.0751903242951843,0.018338288240752343,0.04060318144824724,0.14230727902477053,0.0816922969705851,71.0,0.07581000169077438
S3,u56,10.0,0.08182603110132788,0.018240987145000113,0.04306640874278366,0.1420180677856673,0.09601488712581195,82.0,0.07944899593884756
S3,u56,15.0,0.08954220000283382,0.018097803270975717,0.044680615503721634,0.1472183101161206,0.11221891966163307,91.0,0.08661761975203426
S3,u56,20.0,0.0979992930072017,0.01806362315037343,0.04904907218839371,0.15275751911987934,0.1287136787572907,94.0,0.09566761760377848
S3,u56,25.0,0.10716325701754202,0.017952121909203936,0.05617495169070936,0.1591296092398891,0.14536704919780224,98.0,0.10471531284163589
S3,broad,0.0,0.041620586250659175,0.012335873995582865,0.017318117713935304,0.0814631571287101,0.039975318475186976,50.0,0.054396230923995405
S3,broad,1.0,0.04148174492654807,0.012404694040478175,0.01820880466924607,0.08140991651837919,0.04187552838818787,53.0,0.05379901236418654
S3,broad,2.0,0.04140187995144644,0.012494822429014651,0.019217346805009788,0.08135651411678804,0.04388112767362542,57.99999999999999,0.05320141282733908
S3,broad,5.0,0.04175177741557816,0.012729487729088646,0.017476665102586577,0.08119542058824751,0.05030658143419375,75.0,0.05333000703171785
S3,broad,10.0,0.04366793564981444,0.013296077436060792,0.017514491209142453,0.08092448409248072,0.06209319365335073,90.0,0.05450253591299686
S3,broad,15.0,0.04733648664214007,0.013978965707381021,0.023162688701555006,0.08065140441252498,0.07705457324727932,98.0,0.05745363693852882
S3,broad,20.0,0.05252432736761547,0.01458776841759912,0.026558805851293214,0.08439631813620067,0.09289150412354888,100.0,0.06195941657693687
S3,broad,25.0,0.05921309997761111,0.015102443949809904,0.030326839869128708,0.092411463057246,0.10905885337017042,100.0,0.06705860105966523
S3,small,0.0,0.08615051644855008,0.01885110877961795,0.04654173939489776,0.1328363981384559,0.08324794076554703,45.0,0.04912318215612997
S3,small,1.0,0.0871301310183785,0.018896626138310595,0.047627734999002254,0.13414039188979013,0.08411594212568836,45.0,0.05025835815070391
S3,small,2.0,0.08812239918490913,0.018948482532601243,0.048713450304063745,0.1354437504127425,0.08498716455028667,44.0,0.05139310533067458
S3,small,5.0,0.09119243766964294,0.019074883796813363,0.05272391206750598,0.1393496895542487,0.08815820333267976,45.0,0.054794508271451874
S3,small,10.0,0.09644322442395226,0.019371351604292472,0.05512703350969409,0.1458438547297301,0.09449051231680743,45.0,0.060452461193036426
S3,small,15.0,0.10187208793241734,0.019701555559645586,0.056354304829953815,0.1523148562541739,0.10086166783329191,49.0,0.06609374129412941
S3,small,20.0,0.10753482507799474,0.019909080139905604,0.059617880494098316,0.15875868718258015,0.10759543733610563,51.0,0.07266613668640175
S3,small,25.0,0.1133740694765177,0.02011185363975662,0.0642997613201156,0.1651713783262121,0.11666441298879417,60.0,0.0794387108968587
