pool,selector,IS_ungated,IS_donothing,IS_best_interior,IS_best_tau,IS_gate_dominates,OOS_ungated,OOS_donothing,OOS_interior,OOS_gate_dominates
P_ALL,K_Sharpe,-0.024143621233467177,0.0,-0.0038027010781733084,0.02,False,-0.05037499480074976,0.0,-0.011887413337403844,False
P_ALL,K_CAGR,0.010018472619379517,0.0,0.00474250366387431,-0.02,False,-0.002888143092071655,0.0,0.004453667245711307,True
P_S1,K_Sharpe,-0.004450006304831924,0.0,-0.00028459534913358636,0.02,False,-0.005217689884157672,0.0,-0.0031174942078864673,False
P_S1,K_CAGR,0.00395628487599768,0.0,0.0006947316547232642,-0.02,False,0.00288926520642988,0.0,0.00047354409148106665,False
