arm,cell,tau,q,k,draw,panel_vol,panel_dv,panel_roll,Ebar,breadth
DV,q0.00/UNM,,0.0,20,0,0.4382177791706809,2049569.105,0.00978610914117153,10.077017114914426,0.5038508557457213
DV,q0.00/UNM,,0.0,20,1,0.38821798911357197,5298892.466700001,0.009120506765982032,10.646699266503667,0.5323349633251834
DV,q0.00/UNM,,0.0,20,2,0.3894911426370306,3036189.3225,0.009780088718146797,11.035452322738386,0.5517726161369193
DV,q0.00/UNM,,0.0,20,3,0.34434455968885086,941858.73,0.011000306380239144,11.973105134474327,0.5986552567237163
DV,q0.00/UNM,,0.0,20,4,0.3673368619462363,3633119.165,0.011433552491642431,10.73960880195599,0.5369804400977995
DV,q0.00/UNM,,0.0,20,5,0.3670333697670991,2581565.965,0.008842696042566382,11.145476772616137,0.5572738386308068
DV,q0.00/UNM,,0.0,20,6,0.3948130309946497,1039177.2674999998,0.011852087176614921,10.32273838630807,0.5161369193154035
DV,q0.00/UNM,,0.0,20,7,0.4081399800936308,1068305.9224999999,0.014715692393828202,10.462102689486553,0.5231051344743276
DV,q0.00/UNM,,0.0,30,0,0.4063641156965247,2455713.12,0.01152872404033546,15.793398533007334,0.5264466177669112
DV,q0.00/UNM,,0.0,30,1,0.412190131767951,1042969.2749999999,0.015925437508874585,17.105134474327627,0.5701711491442543
DV,q0.00/UNM,,0.0,30,2,0.41320497732086087,2840403.2875,0.011260556092655423,15.710268948655257,0.5236756316218419
DV,q0.00/UNM,,0.0,30,3,0.3859719026520744,1017277.105,0.011693059619965075,16.822738386308068,0.5607579462102689
DV,q0.00/UNM,,0.0,30,4,0.41116779689272254,2049569.105,0.01389328664165832,15.601466992665037,0.5200488997555012
DV,q0.00/UNM,,0.0,30,5,0.3955339553148971,3843955.5,0.012232460044190643,15.099022004889976,0.5033007334963325
DV,q0.00/UNM,,0.0,30,6,0.40723737000698723,1153106.1665,0.01328101642675224,16.594132029339853,0.5531377343113284
DV,q0.00/UNM,,0.0,30,7,0.40715005507979013,2351714.97,0.015038197297591123,15.773838630806846,0.5257946210268949
DV,q0.00/UNM,,0.0,40,0,0.4014271465083093,2402899.82,0.01217212103759756,21.185819070904646,0.5296454767726162
DV,q0.00/UNM,,0.0,40,1,0.3905193899869436,1041172.0874999999,0.01334996181185627,22.237163814180928,0.5559290953545232
DV,q0.00/UNM,,0.0,40,2,0.37391904757154826,3309006.0825,0.011311580646298065,21.35452322738386,0.5338630806845965
DV,q0.00/UNM,,0.0,40,3,0.3829778343370789,2049569.105,0.011981986038573113,21.190709046454767,0.5297677261613691
