panel,ladder,stat,k,peak,peak_i,E_END,E_OUTER2,gap,spread,floor,resolved,decided,tie_n,tie_set,rho,monotone,spread_lt_floor,gap_lt_floor,null_end,null_outer2
U56,N,S_FULL,9,12,3,False,False,0.007068668245825416,0.18322104889544333,0.1761523806496179,True,False,8,"['8', '10', '12', '15', '20', '25', '30', '40']",0.35,False,False,True,0.2222222222222222,0.4444444444444444
U56,N,S_OOS,9,15,4,False,False,0.014730064937639176,0.2902903436047862,0.26405478158276907,True,False,8,"['8', '10', '12', '15', '20', '25', '30', '40']",0.43333333333333335,False,False,True,0.2222222222222222,0.4444444444444444
U56,N,CAGR,9,5,0,True,True,0.12264140835065618,4.3700319617852035,inf,False,False,9,"['5', '8', '10', '12', '15', '20', '25', '30', '40']",-0.8833333333333333,True,True,True,0.2222222222222222,0.4444444444444444
U56,N,DD,9,20,5,False,False,1.0416639841034687,6.726027403333877,5.684363419230408,True,False,8,"['8', '10', '12', '15', '20', '25', '30', '40']",-0.03333333333333333,False,False,True,0.2222222222222222,0.4444444444444444
U56,H,S_FULL,4,252,3,True,True,0.025078881717488066,0.06337993535645858,inf,False,False,4,"['21', '63', '126', '252']",0.8,True,True,True,0.5,1.0
U56,H,S_OOS,4,252,3,True,True,0.028770378742377645,0.08847533187304535,inf,False,False,4,"['21', '63', '126', '252']",0.8,True,True,True,0.5,1.0
U56,H,CAGR,4,252,3,True,True,0.3049987073677549,1.5304197924899796,1.5304197924899796,True,False,3,"['63', '126', '252']",1.0,True,False,True,0.5,1.0
U56,H,DD,4,126,2,False,True,1.1140575191411841,6.564551170891317,inf,False,False,4,"['21', '63', '126', '252']",0.0,False,True,True,0.5,1.0
U56,GROSS,S_FULL,10,0.75,9,True,True,0.0001556639667841253,0.0017882751492677151,0.0005352158233040694,True,False,4,"['0.6', '0.65', '0.7', '0.75']",1.0,True,False,True,0.2,0.4
U56,GROSS,S_OOS,10,0.75,9,True,True,0.00019477495026443137,0.0021154912506546886,inf,False,False,10,"['0.3', '0.35', '0.4', '0.45', '0.5', '0.55', '0.6', '0.65', '0.7', '0.75']",1.0,True,True,True,0.2,0.4
U56,GROSS,CAGR,10,0.75,9,True,True,1.0495280990911553,9.401691141620727,1.0380692471477992,True,True,1,['0.75'],1.0,True,False,False,0.2,0.4
U56,GROSS,DD,10,0.3,0,True,True,1.2859290693538092,11.137235203817976,1.1938432556992673,True,True,1,['0.3'],-1.0,True,False,False,0.2,0.4
U56,CADENCE,S_FULL,4,W,1,False,True,0.0008674369892938127,0.058865156398083096,inf,False,False,4,"['D', 'W', 'M', 'Q']",0.0,False,True,True,0.5,1.0
U56,CADENCE,S_OOS,4,Q,3,True,True,0.008308398644119697,0.09704441230057848,inf,False,False,4,"['D', 'W', 'M', 'Q']",0.4,False,True,True,0.5,1.0
U56,CADENCE,CAGR,4,W,1,False,True,0.16042241106593025,0.906597672704823,inf,False,False,4,"['D', 'W', 'M', 'Q']",-0.6,False,True,True,0.5,1.0
U56,CADENCE,DD,4,W,1,False,True,0.8170754711183754,4.003291955027809,inf,False,False,4,"['D', 'W', 'M', 'Q']",0.4,False,True,True,0.5,1.0
B136,N,S_FULL,9,30,7,False,True,0.0013056747034598803,0.12053112976248326,inf,False,False,9,"['5', '8', '10', '12', '15', '20', '25', '30', '40']",0.9333333333333333,True,True,True,0.2222222222222222,0.4444444444444444
B136,N,S_OOS,9,30,7,False,True,0.007302318218142201,0.3008648592605092,0.22338792431073118,True,False,7,"['10', '12', '15', '20', '25', '30', '40']",0.9333333333333333,True,False,True,0.2222222222222222,0.4444444444444444
B136,N,CAGR,9,5,0,True,True,0.8113364217981811,3.5944231255558456,inf,False,False,9,"['5', '8', '10', '12', '15', '20', '25', '30', '40']",-0.9666666666666667,True,True,True,0.2222222222222222,0.4444444444444444
B136,N,DD,9,15,4,False,False,0.543560127681598,8.464152973446904,6.509181522842699,True,False,8,"['8', '10', '12', '15', '20', '25', '30', '40']",0.03333333333333333,False,False,True,0.2222222222222222,0.4444444444444444
B136,H,S_FULL,4,21,0,True,True,0.002489675049586637,0.021394727541090397,inf,False,False,4,"['21', '63', '126', '252']",-0.8,True,True,True,0.5,1.0
B136,H,S_OOS,4,252,3,True,True,0.03755133008137168,0.05154960186986668,inf,False,False,4,"['21', '63', '126', '252']",0.8,True,True,True,0.5,1.0
B136,H,CAGR,4,63,1,False,True,0.564914333987776,0.9107027373571412,inf,False,False,4,"['21', '63', '126', '252']",0.0,False,True,True,0.5,1.0
B136,H,DD,4,126,2,False,True,2.7506960085619347,7.954516095049858,inf,False,False,4,"['21', '63', '126', '252']",0.6,False,True,True,0.5,1.0
B136,GROSS,S_FULL,10,0.75,9,True,True,0.00039966707365901577,0.003989077477571934,0.00039966707365901577,True,True,1,['0.75'],1.0,True,False,False,0.2,0.4
B136,GROSS,S_OOS,10,0.75,9,True,True,0.00046199462908180777,0.004535882691720783,0.00046199462908180777,True,True,1,['0.75'],1.0,True,False,False,0.2,0.4
B136,GROSS,CAGR,10,0.75,9,True,True,1.0724850854269423,9.652220143086685,1.0702988360427712,True,True,1,['0.75'],1.0,True,False,False,0.2,0.4
B136,GROSS,DD,10,0.3,0,True,True,1.39601645431493,12.06820564370834,1.2864280606593717,True,True,1,['0.3'],-1.0,True,False,False,0.2,0.4
B136,CADENCE,S_FULL,4,M,2,False,True,0.008627249572870754,0.07115495315410092,inf,False,False,4,"['D', 'W', 'M', 'Q']",-0.2,False,True,True,0.5,1.0
B136,CADENCE,S_OOS,4,M,2,False,True,0.055439762951079885,0.11325529524020728,inf,False,False,4,"['D', 'W', 'M', 'Q']",0.4,False,True,True,0.5,1.0
B136,CADENCE,CAGR,4,M,2,False,True,0.09001606372775939,1.8463253895186096,inf,False,False,4,"['D', 'W', 'M', 'Q']",-0.4,False,True,True,0.5,1.0
B136,CADENCE,DD,4,W,1,False,True,1.3764460187531853,7.623470897118423,inf,False,False,4,"['D', 'W', 'M', 'Q']",0.4,False,True,True,0.5,1.0
