rung,spread,rho_vs_c0,top,bottom,win_ABS,win_QEXP,win_QROLL
0.0,0.41666666666666663,1.0,QROLL,ABS,0.5740740740740741,0.6296296296296297,0.9907407407407407
1.0,0.41435185185185186,1.0,QROLL,ABS,0.5740740740740741,0.6296296296296297,0.9884259259259259
2.0,0.4097222222222222,1.0,QROLL,ABS,0.5740740740740741,0.6296296296296297,0.9837962962962963
3.0,0.42592592592592593,1.0,QROLL,ABS,0.5555555555555556,0.6296296296296297,0.9814814814814815
5.0,0.43981481481481477,1.0,QROLL,ABS,0.5370370370370371,0.6018518518518519,0.9768518518518519
7.5,0.4722222222222222,1.0,QROLL,ABS,0.5,0.5740740740740741,0.9722222222222222
10.0,0.48148148148148145,1.0,QROLL,ABS,0.48148148148148145,0.5740740740740741,0.9629629629629629
15.0,0.4722222222222222,1.0,QROLL,ABS,0.4444444444444444,0.5185185185185185,0.9166666666666666
20.0,0.4907407407407407,1.0,QROLL,ABS,0.39814814814814814,0.48148148148148145,0.8888888888888888
25.0,0.5462962962962963,1.0,QROLL,ABS,0.28703703703703703,0.46296296296296297,0.8333333333333334
30.0,0.5185185185185185,1.0,QROLL,ABS,0.2222222222222222,0.4444444444444444,0.7407407407407407
40.0,0.4490740740740741,1.0,QROLL,ABS,0.18518518518518517,0.42592592592592593,0.6342592592592593
50.0,0.36574074074074076,1.0,QROLL,ABS,0.1111111111111111,0.37037037037037035,0.47685185185185186
75.0,0.20370370370370372,1.0,QROLL,ABS,0.07407407407407407,0.2037037037037037,0.2777777777777778
100.0,0.1574074074074074,1.0,QROLL,ABS,0.05555555555555555,0.14814814814814814,0.21296296296296297
