panel,B,n,depth,CAGR,Sharpe,MaxDD,DD_margin,CAGR_margin,keep4b,fail
U56,0.25,3,0.5,0.20821898515136184,1.014794060217596,-0.20553448715105882,-0.003231075450669252,0.10162267024539562,False,"H1,DD"
U56,0.25,3,0.25,0.20278580856947315,0.9978115070844243,-0.2055344871510587,-0.003231075450669141,0.09618949366350693,False,"H1,DD"
U56,0.25,3,0.0,0.19716989356757786,0.9766294422434346,-0.20553448715105904,-0.003231075450669474,0.09057357866161164,False,"H1,DD"
U56,0.25,5,0.5,0.1551927334173573,0.9174135433715105,-0.19884065737035517,0.003462754330034401,0.04859641851139107,False,H1
U56,0.25,5,0.25,0.15002857186027985,0.8955283453251045,-0.2069332808151293,-0.004629869114739726,0.04343225695431363,False,"H1,DD"
U56,0.25,5,0.0,0.1447606861721853,0.8701571840274643,-0.23189727279896055,-0.029593861098570984,0.03816437126621908,False,"H1,DD"
U56,0.25,8,0.5,0.12987396572542864,0.8993436175168286,-0.20837214167665075,-0.006068729976261178,0.023277650819462425,False,"H1,DD"
U56,0.25,8,0.25,0.12576752585114392,0.8787215809901276,-0.22268101634537618,-0.020377604644986613,0.019171210945177708,False,"H1,DD"
U56,0.25,8,0.0,0.1215847076287433,0.8546498056917097,-0.23680212391659117,-0.0344987122162016,0.014988392722777077,False,"H1,DD"
U56,0.3,3,0.5,0.20947521693664828,1.0257681871464897,-0.20553448715105926,-0.003231075450669696,0.10287890203068206,False,DD
U56,0.3,3,0.25,0.2045679611583855,1.0124442543201302,-0.20553448715105915,-0.003231075450669585,0.09797164625241928,False,"H1,DD"
U56,0.3,3,0.0,0.19941068860136335,0.9935298901963887,-0.20553448715105915,-0.003231075450669585,0.09281437369539713,False,"H1,DD"
U56,0.3,5,0.5,0.15984579252989595,0.9478603076012064,-0.17811548619400874,0.024187925506380825,0.05324947762392973,False,H1
U56,0.3,5,0.25,0.15690195756879044,0.9392064020562921,-0.181280084384833,0.02102332731555656,0.050305642662824224,False,H1
U56,0.3,5,0.0,0.15378379734959657,0.9253956974800287,-0.18452999733592512,0.017773414364464446,0.04718748244363036,False,H1
U56,0.3,8,0.5,0.13353582826064025,0.927615359026597,-0.19060556479801027,0.011697846902379294,0.02693951335467404,False,H1
U56,0.3,8,0.25,0.13119469582955445,0.919465834482822,-0.19642457466565877,0.0058788370347307994,0.024598380923588237,False,H1
U56,0.3,8,0.0,0.1287334099600166,0.9064476452219269,-0.20231394713981343,-1.0535439423864368e-05,0.02213709505405037,False,"H1,DD"
U56,0.35,3,0.5,0.20615992343985967,1.0225170792566354,-0.20851160779159683,-0.006208196091207263,0.09956360853389346,False,DD
U56,0.35,3,0.25,0.19946040449648028,1.0041999809007256,-0.2055344871510586,-0.00323107545066903,0.09286408959051407,False,"H1,DD"
U56,0.35,3,0.0,0.19242526540558136,0.9778844980549866,-0.20889834377822825,-0.006594932077838678,0.08582895049961514,False,"H1,DD"
U56,0.35,5,0.5,0.15925436523085224,0.9553950703800667,-0.18037945072898576,0.02192396097140381,0.05265805032488602,False,H1
U56,0.35,5,0.25,0.15590171152774457,0.9473927337661321,-0.1852298487465247,0.017073562953864863,0.04930539662177835,False,H1
U56,0.35,5,0.0,0.15230097202347226,0.9317871145479392,-0.19097832736972842,0.01132508433066115,0.04570465711750604,False,H1
U56,0.35,8,0.5,0.13343968342169443,0.9391561679247528,-0.17032604736479062,0.031977364335598946,0.026843368515728216,False,H1
U56,0.35,8,0.25,0.13095759500028814,0.9333633508841278,-0.16627532429537573,0.03602808740501384,0.024361280094321924,False,H1
U56,0.35,8,0.0,0.12829434569253828,0.9199610692671404,-0.16259224483921209,0.03971116686117748,0.021698030786572065,False,H1
U56,0.4,3,0.5,0.19881367855940701,1.0010831285824082,-0.20851160779159672,-0.006208196091207152,0.0922173636534408,False,"H1,DD"
U56,0.4,3,0.25,0.18838490079485082,0.9686489959381943,-0.20990479187490363,-0.007601380174514061,0.0817885858888846,False,"H1,DD"
U56,0.4,3,0.0,0.1775900496728351,0.9261146709947501,-0.2282548021883446,-0.02595139048795503,0.07099373476686888,False,"H1,DD"
U56,0.4,5,0.5,0.15429630749901868,0.9395243572558566,-0.17174452711049049,0.030558884589899082,0.047699992593052465,False,H1
U56,0.4,5,0.25,0.14839148585900253,0.920267222225566,-0.17044481549995072,0.03185859620043885,0.04179517095303631,False,H1
U56,0.4,5,0.0,0.1421936356515463,0.8911610835886803,-0.18507129885802565,0.017232112842363922,0.035597320745580086,False,H1
U56,0.4,8,0.5,0.12924590853980256,0.9228290613003494,-0.16780257488340478,0.03450083681698479,0.02264959363383634,False,H1
U56,0.4,8,0.25,0.124614965495917,0.9056754651561417,-0.16937843865908098,0.03292497304130859,0.01801865058995078,False,H1
U56,0.4,8,0.0,0.1197705656938921,0.8787494700831685,-0.18300514339544594,0.019298268304943633,0.01317425078792589,False,H1
U56,0.5,3,0.5,0.19393352579990064,0.9932671504012741,-0.2137859778104707,-0.011482566110081138,0.08733721089393442,False,"H1,DD"
