ranking,seed,k,mean_jaccard_vs_MADIST
MADIST,0,20,1.0
MADIST,0,30,1.0
MADIST,0,40,1.0
MADIST,0,50,1.0
MADIST,0,ALL,1.0
ALPHA,0,20,0.44730938374062695
ALPHA,0,30,0.661745885211803
ALPHA,0,40,0.8886236854568949
ALPHA,0,50,0.998364242771865
ALPHA,0,ALL,1.0
REVMADIST,0,20,0.1957129089437036
REVMADIST,0,30,0.554558371109369
REVMADIST,0,40,0.878197922840376
REVMADIST,0,50,0.998364242771865
REVMADIST,0,ALL,1.0
RAND,0,20,0.4250400126026475
RAND,0,30,0.6608937406689973
RAND,0,40,0.8957535698680752
RAND,0,50,0.9985483539750316
RAND,0,ALL,1.0
RAND,1,20,0.4376664373219073
RAND,1,30,0.6631963568772811
RAND,1,40,0.8915872885180521
RAND,1,50,0.9985412727749099
RAND,1,ALL,1.0
RAND,2,20,0.4316702829192101
RAND,2,30,0.6645212007064728
RAND,2,40,0.8927809206020211
RAND,2,50,0.998364242771865
RAND,2,ALL,1.0
RAND,3,20,0.43320890238689186
RAND,3,30,0.6600723072385359
RAND,3,40,0.8935239836893998
RAND,3,50,0.998364242771865
RAND,3,ALL,1.0
RAND,4,20,0.4379466866677206
RAND,4,30,0.6645926694703488
RAND,4,40,0.8938848667584101
RAND,4,50,0.9985412727749099
RAND,4,ALL,1.0
RANDSTATIC,0,20,0.41372388549278893
RANDSTATIC,0,30,0.6486490002227219
RANDSTATIC,0,40,0.889373332925518
RANDSTATIC,0,50,0.9985483539750316
RANDSTATIC,0,ALL,1.0
RANDSTATIC,1,20,0.43158493722070673
RANDSTATIC,1,30,0.6370951323364893
RANDSTATIC,1,40,0.8862469084258928
RANDSTATIC,1,50,0.998364242771865
RANDSTATIC,1,ALL,1.0
RANDSTATIC,2,20,0.4734977568362217
RANDSTATIC,2,30,0.6693231706733361
RANDSTATIC,2,40,0.8918547972215609
RANDSTATIC,2,50,0.998364242771865
RANDSTATIC,2,ALL,1.0
RANDSTATIC,3,20,0.4074404865572862
RANDSTATIC,3,30,0.6814579232474853
RANDSTATIC,3,40,0.9030541233107353
RANDSTATIC,3,50,0.9985412727749099
RANDSTATIC,3,ALL,1.0
RANDSTATIC,4,20,0.4515987652890825
RANDSTATIC,4,30,0.6836502857843579
RANDSTATIC,4,40,0.9019845035481808
RANDSTATIC,4,50,0.9985483539750316
RANDSTATIC,4,ALL,1.0
