check,value,tol,ok
a cost identity 0bps->25bps,0.0,1e-12,True
b RULES v1 u56 @10bps Sharpe,0.6641804017269177,0.6642,True
c corpus-T u56 60 arms max|d - d_pub|,9.93129189996722e-17,1e-10,True
d corpus-O U56 DDCTL 252 rows max|d - d_pub|,4.3021142204224816e-16,1e-10,True
