book,family,panel,bps,native_gross,n_pass,g_lo,g_hi,width,contiguous,closes_below,closes_above,passes_all_rungs,native_pass4b
u56-v2band-gross100,SHELF,U56,10.0,0.7101775855752618,2,0.95,1.0,0.050000000000000044,True,CAGRFLOOR,OPEN(top),False,True
u56-v2band-gross100,SHELF,U56,25.0,0.7101775855752618,1,1.0,1.0,0.0,True,CAGRFLOOR,OPEN(top),False,True
u56-band008-gross100,SHELF,U56,10.0,0.6772210881971338,2,0.95,1.0,0.050000000000000044,True,CAGRFLOOR,OPEN(top),False,True
u56-band008-gross100,SHELF,U56,25.0,0.6772210881971338,1,1.0,1.0,0.0,True,CAGRFLOOR,OPEN(top),False,True
u56-top20-band-m20,SHELF,U56,10.0,0.7158929777177582,4,0.85,1.0,0.15000000000000002,True,CAGRFLOOR,OPEN(top),False,True
u56-top20-band-m20,SHELF,U56,25.0,0.7158929777177582,1,1.0,1.0,0.0,True,CAGRFLOOR,OPEN(top),False,True
u56-marsrespread-gross075,SHELF,U56,10.0,0.7500000000000001,2,0.95,1.0,0.050000000000000044,True,CAGRFLOOR,OPEN(top),False,True
u56-marsrespread-gross075,SHELF,U56,25.0,0.7500000000000001,0,,,,True,-,-,False,False
u56-quantile50-respread-M,SHELF,U56,10.0,0.7500000000000002,7,0.7,1.0,0.30000000000000004,True,CAGRFLOOR,OPEN(top),False,True
u56-quantile50-respread-M,SHELF,U56,25.0,0.7500000000000002,6,0.75,1.0,0.25,True,CAGRFLOOR,OPEN(top),False,True
b136-r620-gross065-W,SHELF,B136,10.0,0.6499999999999996,6,0.75,1.0,0.25,True,CAGRFLOOR,OPEN(top),False,True
b136-r620-gross065-W,SHELF,B136,25.0,0.6499999999999996,4,0.85,1.0,0.15000000000000002,True,CAGRFLOOR,OPEN(top),False,True
b136-qroll-q012-w1008-d050-g100,SHELF,B136,10.0,0.9525095656088225,6,0.75,1.0,0.25,True,CAGRFLOOR,OPEN(top),False,True
b136-qroll-q012-w1008-d050-g100,SHELF,B136,25.0,0.9525095656088225,4,0.85,1.0,0.15000000000000002,True,CAGRFLOOR,OPEN(top),False,True
u56-k8-qroll-q017-w1008-d100-g100,SHELF,U56,10.0,0.8766599144722036,5,0.8,1.0,0.19999999999999996,True,CAGRFLOOR,OPEN(top),False,True
u56-k8-qroll-q017-w1008-d100-g100,SHELF,U56,25.0,0.8766599144722036,4,0.85,1.0,0.15000000000000002,True,CAGRFLOOR,OPEN(top),False,True
U56:band003,PORTABLE,U56,10.0,0.7101775855752618,2,0.95,1.0,0.050000000000000044,True,CAGRFLOOR,OPEN(top),False,True
U56:band003,PORTABLE,U56,25.0,0.7101775855752618,1,1.0,1.0,0.0,True,CAGRFLOOR,OPEN(top),False,True
U56:band008,PORTABLE,U56,10.0,0.6772210881971338,2,0.95,1.0,0.050000000000000044,True,CAGRFLOOR,OPEN(top),False,True
U56:band008,PORTABLE,U56,25.0,0.6772210881971338,1,1.0,1.0,0.0,True,CAGRFLOOR,OPEN(top),False,True
U56:qroll-q012-w1008-d050,PORTABLE,U56,10.0,0.9523970290344362,6,0.75,1.0,0.25,True,CAGRFLOOR,OPEN(top),False,True
U56:qroll-q012-w1008-d050,PORTABLE,U56,25.0,0.9523970290344362,4,0.85,1.0,0.15000000000000002,True,CAGRFLOOR,OPEN(top),False,True
U56:r6top20,PORTABLE,U56,10.0,1.0000000000000002,3,0.55,0.65,0.09999999999999998,True,CAGRFLOOR,DDCAP,False,False
U56:r6top20,PORTABLE,U56,25.0,1.0000000000000002,2,0.6,0.65,0.050000000000000044,True,CAGRFLOOR,DDCAP,False,False
B136:band003,PORTABLE,B136,10.0,0.7095585465522978,1,1.0,1.0,0.0,True,CAGRFLOOR,OPEN(top),False,True
B136:band003,PORTABLE,B136,25.0,0.7095585465522978,0,,,,True,-,-,False,False
B136:band008,PORTABLE,B136,10.0,0.7053060200673299,2,0.95,1.0,0.050000000000000044,True,CAGRFLOOR,OPEN(top),False,True
B136:band008,PORTABLE,B136,25.0,0.7053060200673299,1,1.0,1.0,0.0,True,CAGRFLOOR,OPEN(top),False,True
B136:qroll-q012-w1008-d050,PORTABLE,B136,10.0,0.9525095656088225,6,0.75,1.0,0.25,True,CAGRFLOOR,OPEN(top),False,True
B136:qroll-q012-w1008-d050,PORTABLE,B136,25.0,0.9525095656088225,4,0.85,1.0,0.15000000000000002,True,CAGRFLOOR,OPEN(top),False,True
B136:r6top20,PORTABLE,B136,10.0,1.0000000000000002,4,0.5,0.65,0.15000000000000002,True,CAGRFLOOR,DDCAP,False,False
B136:r6top20,PORTABLE,B136,25.0,1.0000000000000002,3,0.55,0.65,0.09999999999999998,True,CAGRFLOOR,DDCAP,False,False
SMALL483:band003,PORTABLE,SMALL483,10.0,0.5470776737888108,0,,,,True,-,-,False,False
SMALL483:band003,PORTABLE,SMALL483,25.0,0.5470776737888108,0,,,,True,-,-,False,False
SMALL483:band008,PORTABLE,SMALL483,10.0,0.5564631015068554,0,,,,True,-,-,False,False
SMALL483:band008,PORTABLE,SMALL483,25.0,0.5564631015068554,0,,,,True,-,-,False,False
SMALL483:qroll-q012-w1008-d050,PORTABLE,SMALL483,10.0,0.9522600304723208,0,,,,True,-,-,False,False
SMALL483:qroll-q012-w1008-d050,PORTABLE,SMALL483,25.0,0.9522600304723208,0,,,,True,-,-,False,False
SMALL483:r6top20,PORTABLE,SMALL483,10.0,0.9999873031995938,0,,,,True,-,-,False,False
SMALL483:r6top20,PORTABLE,SMALL483,25.0,0.9999873031995938,0,,,,True,-,-,False,False
