book,set,panel,strip,rung,conv,half,margin0,margin1,d_margin,dBOOK,dCOMP,comparand_share,side,flips_leg,base_pass4b
u56-v2band-gross100,SHELF,U56,COVID_TIGHT,10.0,COUNT,H1,0.27585141166781046,0.26550942891144247,-0.010341982756367996,-0.017747349310488714,-0.007405366554120718,0.2944161812975542,BOOK,False,True
u56-v2band-gross100,SHELF,U56,COVID_TIGHT,10.0,COUNT,H2,0.3490112647486122,0.3259304617675145,-0.023080802981097714,0.25538003097185413,0.27846083395295185,0.5216176809397579,COMPARAND,False,True
u56-v2band-gross100,SHELF,U56,COVID_TIGHT,10.0,DATE,H1,0.27585141166781046,0.27585141166781046,0.0,0.0,0.0,,BOOK,False,True
u56-v2band-gross100,SHELF,U56,COVID_TIGHT,10.0,DATE,H2,0.3490112647486122,0.31708687918573886,-0.03192438556287336,0.23966579736307714,0.2715901829259505,0.531221527760737,COMPARAND,False,True
u56-v2band-gross100,SHELF,U56,COVID_TIGHT,25.0,COUNT,H1,0.2381884297452289,0.22794353369586118,-0.010244896049367735,-0.017650262603488454,-0.007405366554120718,0.2955569986903232,BOOK,False,True
u56-v2band-gross100,SHELF,U56,COVID_TIGHT,25.0,COUNT,H2,0.31180755673026417,0.28774325070550133,-0.024064306024762838,0.254396527928189,0.27846083395295185,0.5225804387311164,COMPARAND,False,True
u56-v2band-gross100,SHELF,U56,COVID_TIGHT,25.0,DATE,H1,0.2381884297452289,0.2381884297452289,0.0,0.0,0.0,,BOOK,False,True
u56-v2band-gross100,SHELF,U56,COVID_TIGHT,25.0,DATE,H2,0.31180755673026417,0.2789834800495621,-0.032824076680702086,0.2387661062452484,0.2715901829259505,0.5321580015541763,COMPARAND,False,True
u56-v2band-gross100,SHELF,U56,COVID_DD,10.0,COUNT,H1,0.27585141166781046,0.2503296941288047,-0.025521717539005784,-0.05519917587651513,-0.029677458337509344,0.3496540433339383,BOOK,False,True
u56-v2band-gross100,SHELF,U56,COVID_DD,10.0,COUNT,H2,0.3490112647486122,0.3315262704500679,-0.017484994298544332,0.1690008537837111,0.18648584808225543,0.5245930356983324,COMPARAND,False,True
u56-v2band-gross100,SHELF,U56,COVID_DD,10.0,DATE,H1,0.27585141166781046,0.27585141166781046,0.0,0.0,0.0,,BOOK,False,True
u56-v2band-gross100,SHELF,U56,COVID_DD,10.0,DATE,H2,0.3490112647486122,0.3108821930056538,-0.03812907174295843,0.11737878106109378,0.15550785280405222,0.5698624758620477,COMPARAND,False,True
u56-v2band-gross100,SHELF,U56,COVID_DD,25.0,COUNT,H1,0.2381884297452289,0.21270767245868472,-0.025480757286544198,-0.05515821562405354,-0.029677458337509344,0.3498228628554955,BOOK,False,True
u56-v2band-gross100,SHELF,U56,COVID_DD,25.0,COUNT,H2,0.31180755673026417,0.2933593015816429,-0.01844825514862125,0.16803759293363418,0.18648584808225543,0.5260183855484388,COMPARAND,False,True
u56-v2band-gross100,SHELF,U56,COVID_DD,25.0,DATE,H1,0.2381884297452289,0.2381884297452289,0.0,0.0,0.0,,BOOK,False,True
