rule,tol,registered_pinned,sweep_pairs,sweep_files
STRICT,0.0,4,31,9
STRICT,1e-12,4,31,9
STRICT,1e-09,4,31,9
STRICT,1e-06,4,31,9
STRICT,0.001,4,29,9
MAJORITY,0.0,4,31,9
MAJORITY,1e-12,4,31,9
MAJORITY,1e-09,4,31,9
MAJORITY,1e-06,4,31,9
MAJORITY,0.001,4,29,9
SDZERO,0.0,4,125,16
SDZERO,1e-12,4,126,16
SDZERO,1e-09,4,126,16
SDZERO,1e-06,4,119,16
SDZERO,0.001,5,134,17
