panel,form,n,chooser,gross,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,p4a_oos,fail4a,p4b_oos,fail4b,v2_OOS_CAGR,v2_OOS_Sharpe,v2_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD
B136,NOM,5,C1,1.0,0.9980342631080518,-0.2852537757636592,0.20173547230438293,0.7963224939174367,-0.3010259159920581,False,"H1,H2,DD",False,"H1,DD",0.07884939392053303,1.105887869727878,-0.12240985403190019,0.15331427255204866,0.8767278433896203,-0.3371595330739301
B136,NOM,5,C2,0.1,0.9916080174771512,-0.0313593717295344,0.021448891237619616,0.7710246299377042,-0.03406050414232764,False,"H1,H2",False,"H1,CAGR",0.07884939392053303,1.105887869727878,-0.12240985403190019,0.15331427255204866,0.8767278433896203,-0.3371595330739301
B136,NOM,10,C1,1.0,1.0495368927908062,-0.243386430050487,0.16556904692247199,0.7823511725650804,-0.2794875252234522,False,"H1,H2,DD",False,"H1,DD",0.07884939392053303,1.105887869727878,-0.12240985403190019,0.15331427255204866,0.8767278433896203,-0.3371595330739301
B136,NOM,10,C2,0.1,1.0433445821226148,-0.026168178184880708,0.017424184961869038,0.7656239819152666,-0.030321252372601304,False,"H1,H2",False,"H1,CAGR",0.07884939392053303,1.105887869727878,-0.12240985403190019,0.15331427255204866,0.8767278433896203,-0.3371595330739301
B136,NOM,15,C1,1.0,1.011385278130818,-0.20222389386042394,0.16731352369037844,0.8537399017596327,-0.2795920457799257,False,"H1,H2,DD",False,"H1,DD",0.07884939392053303,1.105887869727878,-0.12240985403190019,0.15331427255204866,0.8767278433896203,-0.3371595330739301
B136,NOM,15,C2,0.1,1.0035745750441378,-0.021524353327871726,0.01728414726326699,0.8439296041658882,-0.030400634399598503,False,"H1,H2",False,"H1,CAGR",0.07884939392053303,1.105887869727878,-0.12240985403190019,0.15331427255204866,0.8767278433896203,-0.3371595330739301
B136,NOM,20,C1,1.0,1.055072833326647,-0.18045024303175883,0.16327744641708497,0.8859088712872939,-0.261989351023341,False,"H1,H2,DD",False,"H1,DD",0.07884939392053303,1.105887869727878,-0.12240985403190019,0.15331427255204866,0.8767278433896203,-0.3371595330739301
B136,NOM,20,C2,0.1,1.0462330057295863,-0.018811014330470055,0.016710267042147287,0.8785166125613343,-0.02815816770789259,False,"H1,H2",False,"H1,CAGR",0.07884939392053303,1.105887869727878,-0.12240985403190019,0.15331427255204866,0.8767278433896203,-0.3371595330739301
B136,NOM,30,C1,1.0,1.0620010244726328,-0.16815666933276963,0.1517495346328639,0.8993876343736069,-0.2652931531660867,False,"H1,H2,DD",False,"H1,DD",0.07884939392053303,1.105887869727878,-0.12240985403190019,0.15331427255204866,0.8767278433896203,-0.3371595330739301
B136,NOM,30,C2,0.1,1.055862261448213,-0.01745716929075758,0.015492272324002965,0.8968211783965665,-0.02846603457595187,False,"H1,H2",False,"H1,CAGR",0.07884939392053303,1.105887869727878,-0.12240985403190019,0.15331427255204866,0.8767278433896203,-0.3371595330739301
