bar,published,ind_lo,ind_hi,ind_lo_open,ind_hi_open,ind_width,weak_lo,weak_hi,weak_lo_open,weak_hi_open,n_strict,n_strict_looser,n_strict_tighter,strict_lo,strict_hi,sole_victims,pareto_sole_victims,pub_interior
H1,1.0,0.9973877674,1.0453359294,False,False,0.04794816199999996,-2.42681632605,1.0453359294,True,False,0,0,0,,,1,0,True
H2,1.0,0.9829454374,1.0212765743999999,False,False,0.038331136999999904,-2.59409333055,1.0905495798,True,False,778,748,30,-2.59409333055,1.0905495798,2,1,True
OOS,1.0,-2.54302735995,1.0519722115999999,True,False,inf,-2.54302735995,1.1446909678,True,False,29,0,29,1.0522145885,1.1446909678,0,0,True
DD,0.6,0.5978999578,0.6012120607,False,False,0.003312102899999947,0.59689045305,0.6012120607,False,False,5,0,5,0.59689045305,0.59784879465,47,4,True
CAGR,0.7,0.69652905045,0.70197357175,False,False,0.005444521299999949,0.69652905045,0.70197357175,False,False,0,0,0,,,27,11,True
