panel,cost,chooser,chooser_Sharpe,RANDOM_Sharpe,RANDOM_minus_chooser,chooser_4b,RANDOM_4b,d_4b
U56,0.0,IS_SHARPE,1.2115244194360681,1.3057387972646866,0.09421437782861841,0.875,0.5053125,0.36968749999999995
U56,0.0,IS_LEGS,1.1953623901641497,1.3057387972646866,0.11037640710053687,1.0,0.5053125,0.49468749999999995
U56,0.0,IS_CAGR,1.3494331509319404,1.3057387972646866,-0.04369435366725383,1.0,0.5053125,0.49468749999999995
U56,10.0,IS_SHARPE,1.1556956251247201,1.2433170944240246,0.08762146929930448,1.0,0.44265625,0.55734375
U56,10.0,IS_LEGS,1.1556956251247201,1.2433170944240246,0.08762146929930448,1.0,0.44265625,0.55734375
U56,10.0,IS_CAGR,1.261756730745027,1.2433170944240246,-0.01843963632100243,0.9375,0.44265625,0.49484375
U56,25.0,IS_SHARPE,1.1203644643999953,1.1479177535055065,0.027553289105511247,1.0,0.3384375,0.6615625
U56,25.0,IS_LEGS,1.1161397656498537,1.1479177535055065,0.03177798785565278,1.0,0.3384375,0.6615625
U56,25.0,IS_CAGR,1.1393563791224368,1.1479177535055065,0.008561374383069698,0.9375,0.3384375,0.5990625
B136,0.0,IS_SHARPE,1.1216572085863084,1.1553522605791384,0.03369505199283007,0.6875,0.61234375,0.07515625000000004
B136,0.0,IS_LEGS,1.0657538959473802,1.1553522605791384,0.08959836463175819,0.5625,0.61234375,-0.049843749999999964
B136,0.0,IS_CAGR,1.2001396546093501,1.1553522605791384,-0.0447873940302117,1.0,0.61234375,0.38765625000000004
B136,10.0,IS_SHARPE,1.0480812684664886,1.0894023701799804,0.04132110171349179,0.5,0.5821875,-0.08218749999999997
B136,10.0,IS_LEGS,1.0480812684664886,1.0894023701799804,0.04132110171349179,0.5,0.5821875,-0.08218749999999997
B136,10.0,IS_CAGR,1.1179667931074377,1.0894023701799804,-0.02856442292745731,1.0,0.5821875,0.41781250000000003
B136,25.0,IS_SHARPE,1.0215590001525217,0.9879193607336916,-0.03363963941883008,0.3125,0.33515625,-0.02265624999999999
B136,25.0,IS_LEGS,1.0215590001525217,0.9879193607336916,-0.03363963941883008,0.3125,0.33515625,-0.02265624999999999
B136,25.0,IS_CAGR,0.994357500683381,0.9879193607336916,-0.006438139949689448,1.0,0.33515625,0.66484375
