universe,asset,year,contrib_pp,mean_w,asset_ret_pp
u56,TLT,2009,-3.906292385768258,0.13766068024961423,-18.271397294947533
u56,TLT,2010,0.990509837634828,0.13214291543687123,9.919786862979162
u56,TLT,2011,5.309040738943398,0.1524817380491623,31.316701206576614
u56,TLT,2012,-0.2369004489176171,0.16096439106951899,3.379572215530613
u56,TLT,2013,-1.1604877403642282,0.04956994271250147,-13.497439060876449
u56,TLT,2014,3.566494046588088,0.16014405796870892,24.712112552567113
u56,TLT,2015,-0.18956070847957204,0.15490339442460851,-0.5902224628883124
u56,TLT,2016,1.8138349604099175,0.19576118129264977,1.9988551258261267
u56,TLT,2017,0.9509844438138775,0.11858500076631838,9.255261711080799
u56,TLT,2018,-0.9608628394262634,0.08024615734389419,-1.1987685495137401
u56,TLT,2019,3.318321105068571,0.18792105090839556,13.91944240845422
u56,TLT,2020,2.282814069288472,0.14056540798997,19.00369494746731
u56,TLT,2021,-0.7216089726445197,0.06354724344452899,-3.7521065461474934
u56,TLT,2022,-1.8588657340534862,0.01658322737601079,-35.36523751277365
u56,TLT,2023,-0.8030552946677473,0.03461964326944088,4.407015746402198
u56,TLT,2024,-1.0466593539240039,0.09816732190799168,-7.390151466948858
u56,TLT,2025,-0.589434289503675,0.11231542857905567,4.864750451200006
u56,TLT,2026,-1.1304526112071431,0.15261145279698027,-2.513296573526569
u56,GLD,2009,3.3226505404785183,0.18471774386147685,30.420074275896326
u56,GLD,2010,5.294278487940083,0.19751384827383206,27.067049695520808
u56,GLD,2011,3.9764501613289363,0.19369314965407564,11.234762572294322
u56,GLD,2012,0.3326401069228875,0.11075917722516786,7.528294055924933
u56,GLD,2013,-0.7108946124949974,0.019156589776380663,-30.948707903511043
u56,GLD,2014,-0.4244014863531511,0.03546390087487318,-1.1025181677241758
u56,GLD,2015,-1.4554963070008562,0.029114548137323004,-10.294201053130914
u56,GLD,2016,0.8970656734259383,0.13859870223509094,9.02748749969603
u56,GLD,2017,1.3901890895592586,0.12452907404601352,12.541405881060474
