panel,book,gross,cadence,kind,book_pass4b,book_Sharpe,book_OOS_Sharpe,book_MaxDD,book_turnover,null_turnover,name_turnover,null_base4b,n_unique,degenerate,base_L_H1,cert_L_H1,base_L_H2,cert_L_H2,base_L_OOS,cert_L_OOS,base_L_DD,cert_L_DD,base_L_CAGR,cert_L_CAGR,n_cert,survives,pct_OOS_Sharpe,pct_Sharpe,pct_CAGR,pct_MaxDD
B136,BAND03,0.75,M,ROT,False,1.0859915596886773,1.0844057926375004,-0.15687661157282973,1.3913444365713235,3.041201659992354,0.27391430016367757,0.0,200,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,True,1,True,93.5,71.0,73.5,100.0
B136,BAND03,0.75,M,MID,False,1.0859915596886773,1.0844057926375004,-0.15687661157282973,1.3913444365713235,2.5625052494820215,0.21283422835901483,0.0,200,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,True,1,True,78.0,56.00000000000001,61.0,100.0
B136,BAND03,0.75,M,FIX,False,1.0859915596886773,1.0844057926375004,-0.15687661157282973,1.3913444365713235,1.030784772525971,0.07596015843029348,0.0,200,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,True,1,True,44.0,10.5,11.5,100.0
B136,BAND03,0.75,Q,ROT,False,0.9420751709942093,0.8874250166805555,-0.21842850303993322,0.8998451443149827,1.2069035219424609,0.30952103249029866,0.0,200,False,1.0,False,0.0,True,0.435,True,0.0,True,0.0,True,4,True,75.0,56.99999999999999,81.5,89.0
B136,BAND03,0.75,Q,MID,False,0.9420751709942093,0.8874250166805555,-0.21842850303993322,0.8998451443149827,1.0403391356410951,0.24908277496143735,0.0,200,False,1.0,False,0.03,True,0.825,True,0.0,True,0.0,True,4,True,30.0,20.5,37.5,69.5
B136,BAND03,0.75,Q,FIX,False,0.9420751709942093,0.8874250166805555,-0.21842850303993322,0.8998451443149827,0.6485636448652745,0.13874459008530404,0.0,200,False,1.0,False,0.165,True,0.94,False,0.0,True,0.0,True,3,True,13.5,3.0,14.499999999999998,20.5
B136,BAND03,0.75,W,ROT,False,1.0992531359665725,1.1058878697278782,-0.12240985403190019,2.0109291095246453,11.164482036509579,0.24683197294446316,0.0,200,False,1.0,False,0.04,True,0.96,False,1.0,False,0.0,True,2,True,100.0,100.0,100.0,100.0
B136,BAND03,0.75,W,MID,False,1.0992531359665725,1.1058878697278782,-0.12240985403190019,2.0109291095246453,9.34831488658772,0.1912023162796416,0.0,200,False,1.0,False,0.745,True,1.0,False,1.0,False,0.0,True,2,True,100.0,100.0,100.0,100.0
B136,BAND03,0.75,W,FIX,False,1.0992531359665725,1.1058878697278782,-0.12240985403190019,2.0109291095246453,1.6689286948847077,0.028574337049373056,0.0,200,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,True,1,True,15.5,6.0,6.5,100.0
B136,BAND03,1.0,M,ROT,False,1.0875879364734806,1.0850147956378027,-0.20501364063176797,1.84926871673456,4.050691618454005,0.2733162531148262,0.0,200,False,1.0,False,1.0,False,1.0,False,0.0,True,0.98,False,1,True,92.5,70.5,74.0,100.0
B136,BAND03,1.0,M,MID,False,1.0875879364734806,1.0850147956378027,-0.20501364063176797,1.84926871673456,3.406966459600857,0.2125098544784385,0.0,200,False,1.0,False,1.0,False,1.0,False,0.0,True,0.985,False,1,True,78.0,61.0,57.99999999999999,100.0
