legset,leg,panel,a,b,start,end,days,ov_NONE,ov_COVID_TIGHT,ov_COVID_WIDE,ov_COVID_DD,ov_DD_2015,ov_PLACEBO_2017,ov_PLACEBO_PRE
ENDYEAR,..2013,U56,0,1251,2009-01-13,2013-12-31,1251,0,0,0,0,0,0,0
ENDYEAR,..2013,B136,0,1251,2009-01-13,2013-12-31,1251,0,0,0,0,0,0,0
ENDYEAR,..2013,SMALL663,0,746,2011-01-13,2013-12-31,746,0,0,0,0,0,0,0
ENDYEAR,..2014,U56,0,1503,2009-01-13,2014-12-31,1503,0,0,0,0,0,0,0
ENDYEAR,..2014,B136,0,1503,2009-01-13,2014-12-31,1503,0,0,0,0,0,0,0
ENDYEAR,..2014,SMALL663,0,998,2011-01-13,2014-12-31,998,0,0,0,0,0,0,0
ENDYEAR,..2015,U56,0,1755,2009-01-13,2015-12-31,1755,0,0,0,0,36,0,0
ENDYEAR,..2015,B136,0,1755,2009-01-13,2015-12-31,1755,0,0,0,0,36,0,0
ENDYEAR,..2015,SMALL663,0,1250,2011-01-13,2015-12-31,1250,0,0,0,0,36,0,0
ENDYEAR,..2016,U56,0,2007,2009-01-13,2016-12-30,2007,0,0,0,0,36,0,0
ENDYEAR,..2016,B136,0,2007,2009-01-13,2016-12-30,2007,0,0,0,0,36,0,0
ENDYEAR,..2016,SMALL663,0,1502,2011-01-13,2016-12-30,1502,0,0,0,0,36,0,0
ENDYEAR,..2017,U56,0,2258,2009-01-13,2017-12-29,2258,0,0,0,0,36,34,0
ENDYEAR,..2017,B136,0,2258,2009-01-13,2017-12-29,2258,0,0,0,0,36,34,0
ENDYEAR,..2017,SMALL663,0,1753,2011-01-13,2017-12-29,1753,0,0,0,0,36,34,0
ENDYEAR,..2018,U56,0,2509,2009-01-13,2018-12-31,2509,0,0,0,0,36,34,0
ENDYEAR,..2018,B136,0,2509,2009-01-13,2018-12-31,2509,0,0,0,0,36,34,0
ENDYEAR,..2018,SMALL663,0,2004,2011-01-13,2018-12-31,2004,0,0,0,0,36,34,0
