L,S,family,F_window,F_panel,n_windows,n_cells,rho_med,rho_min,rho_max,rho_B136~SMALL439,rho_B136~U56,rho_SMALL439~U56,R2_window_marginal,R2_panel_marginal,partialR2_window,partialR2_panel,sd_across_windows,sd_across_panels
2,6,QUANTILE,9.452151978616929,76.08437417621157,28,2268,0.1291735084838533,-0.06458675424192666,0.8199233716475095,-0.06458675424192666,0.8199233716475095,0.1291735084838533,0.09647325039962085,0.057522522074810345,0.1023613324023411,0.06366443727344154,0.022748132847466813,0.021125634220201056
2,6,MA-THRESH,34.50681948348812,2.627466808618111,28,2268,0.3869731800766283,0.2961138478379858,0.8390804597701149,0.3869731800766283,0.8390804597701149,0.2961138478379858,0.293449451641003,0.0016551289705003525,0.29393595355320085,0.0023425485612385,0.6785388390118456,0.06128758045311566
2,12,QUANTILE,8.21092819127804,39.13406068955502,14,1134,-0.024175824175824177,-0.12967032967032968,0.898901098901099,-0.12967032967032968,0.898901098901099,-0.024175824175824177,0.08191959470512966,0.06006715995621681,0.08715473192884009,0.06542690554094105,0.021918521658753614,0.022150788913334222
2,12,MA-THRESH,25.009402207937907,3.311759795106709,14,1134,0.34065934065934067,0.31868131868131866,0.7274725274725274,0.34065934065934067,0.7274725274725274,0.31868131868131866,0.22426155005863369,0.004568745656271744,0.22529084663559756,0.005889543900546268,0.5575457207369836,0.0939193018574935
3,6,QUANTILE,4.665772378898416,121.59409827721699,26,2106,-0.22940170940170937,-0.39350427350427336,0.8953846153846152,-0.39350427350427336,0.8953846153846152,-0.22940170940170937,0.04784754866632124,0.09975590855943417,0.05314952813492537,0.10476884076673401,0.013947583796076338,0.024186187034048654
3,6,MA-THRESH,23.52389807947311,16.805068625522036,26,2106,0.1829059829059829,0.09606837606837607,0.9329914529914529,0.1829059829059829,0.9329914529914529,0.09606837606837607,0.21783746296496032,0.012449547271351613,0.22058362928503084,0.015916828896644118,0.4722988897661558,0.13559896624896983
3,12,QUANTILE,5.024713106645986,62.42252057998822,13,1053,-0.30219780219780223,-0.4340659340659341,0.8571428571428572,-0.4340659340659341,0.8571428571428572,-0.30219780219780223,0.04929646523073661,0.10206916461612614,0.05490006945764597,0.10736171780501329,0.014626429844954231,0.02476522620505372
3,12,MA-THRESH,17.397725036251494,13.766282116577075,13,1053,-0.04945054945054945,-0.07692307692307693,0.8901098901098901,-0.04945054945054945,0.8901098901098901,-0.07692307692307693,0.16383256526008483,0.021605940896998188,0.16745049066455656,0.025839251804536705,0.39735388231806323,0.16979641369524448
4,6,QUANTILE,3.667478760434429,170.31703602331189,24,1944,-0.30347826086956514,-0.5730434782608694,0.8295652173913043,-0.5730434782608694,0.8295652173913043,-0.30347826086956514,0.03600192595368157,0.14538459039093143,0.04212646478039782,0.15081419175526908,0.010953982976081713,0.02639200043864621
4,6,MA-THRESH,16.36293728127358,33.24007372100676,24,1944,0.1782608695652174,0.043478260869565216,0.9226086956521738,0.1782608695652174,0.9226086956521738,0.043478260869565216,0.1594133941610245,0.028159677770517977,0.16403249640364456,0.03350003149575779,0.3329349927858169,0.16777019387753053
4,12,QUANTILE,2.204152616348295,86.08577427091869,12,972,-0.5874125874125875,-0.7202797202797204,0.8741258741258743,-0.7202797202797204,0.8741258741258743,-0.5874125874125875,0.021002526821331968,0.1491415274019149,0.024683925115302926,0.15234107491378227,0.008572629222231478,0.0267872979726108
4,12,MA-THRESH,11.069726403989549,23.489856898786975,12,972,0.006993006993006993,-0.14685314685314688,0.9510489510489513,0.006993006993006993,0.9510489510489513,-0.14685314685314688,0.10806953327266267,0.04169500884335986,0.11277154378819029,0.046746927477818466,0.26666167446073546,0.1942237558598215
5,6,QUANTILE,3.101601684134265,233.54801055297236,22,1782,-0.09542631281761718,-0.7120271033314514,0.6013551665725579,-0.7120271033314514,0.6013551665725579,-0.09542631281761718,0.028439783400208363,0.20395160799084644,0.03572619916790383,0.20992173671398814,0.009089885698684326,0.029127471320481026
5,6,MA-THRESH,10.72574369158703,59.39194014750781,22,1782,0.24788255223037833,0.0694522868435912,0.897233201581028,0.24788255223037833,0.897233201581028,0.0694522868435912,0.10715413533814755,0.05650927494817515,0.1135720071146023,0.06329118740957203,0.22790613003668095,0.19804110576697484
5,12,QUANTILE,2.6643235365403557,120.21431873446144,11,891,-0.35454545454545455,-0.7363636363636363,0.718181818181818,-0.7363636363636363,0.718181818181818,-0.35454545454545455,0.023267740652344715,0.20996816284885655,0.02945164936168656,0.2149700297490849,0.008437622099717816,0.029598450389570766
5,12,MA-THRESH,9.728054459416228,39.379266260771466,11,891,0.2272727272727273,0.06363636363636363,0.9090909090909092,0.2272727272727273,0.9090909090909092,0.06363636363636363,0.09229311010020858,0.07472069511602852,0.09974621675104066,0.08231808742167612,0.21234435816203026,0.22311348746980245
