L,claimset,agg_pass,percell_pass,flips,n,flip_rate
63,CS_STEPS,82,59,23,144,0.1597222222222222
21,CS_STEPS,80,55,25,144,0.1736111111111111
252,CS_STEPS,85,62,23,144,0.1597222222222222
