axis,rung,unit_count,run_count
N,20,1154,561
N,15,146,103
N,5,144,101
N,10,152,93
N,40,111,81
N,12,82,65
N,30,77,50
N,25,29,23
N,50,39,20
N,8,20,19
N,2,19,16
N,3,12,11
N,1,12,10
N,60,8,8
N,7,8,6
N,80,5,5
N,18,4,4
N,150,4,3
N,11,3,3
N,46,2,2
N,53,2,2
N,175,2,2
N,120,2,2
N,162,2,2
N,22,2,2
N,64,2,2
N,48,5,2
N,36,3,2
N,134,2,2
N,110,2,2
N,6,3,2
N,24,2,2
N,27,2,2
N,26,1,1
N,52,1,1
N,17,1,1
N,74,1,1
N,63,1,1
N,94,1,1
N,84,1,1
N,13,1,1
N,51,1,1
N,85,1,1
N,14,1,1
N,90,1,1
N,100,1,1
N,115,1,1
N,49,1,1
N,71,1,1
N,160,1,1
N,4,1,1
GROSS,0.75,1071,687
GROSS,1.0,666,392
GROSS,0.5,140,108
GROSS,0.6,89,67
GROSS,0.85,84,55
GROSS,0.65,64,45
GROSS,0.55,36,33
GROSS,0.2,29,25
GROSS,0.25,25,18
GROSS,0.9,18,15
GROSS,0.4,15,13
GROSS,0.3,14,12
GROSS,0.7,11,11
GROSS,0.95,13,10
GROSS,0.8,10,10
GROSS,0.45,13,10
GROSS,0.35,5,5
GROSS,0.1,7,5
GROSS,0.52,2,2
GROSS,0.05,2,2
GROSS,0.69,2,2
GROSS,0.57,1,1
GROSS,0.42,1,1
GROSS,0.63,1,1
GROSS,0.58,1,1
GROSS,0.94,1,1
GROSS,0.74,1,1
GROSS,0.61,1,1
GROSS,0.28,1,1
GROSS,0.83,1,1
GROSS,0.12,1,1
GROSS,0.72,1,1
COST,10.0,3282,1498
COST,25.0,1455,767
COST,0.0,730,434
COST,50.0,305,182
COST,5.0,94,67
COST,30.0,98,50
COST,15.0,59,42
COST,20.0,44,35
COST,100.0,44,27
COST,150.0,42,15
COST,200.0,23,14
COST,2.0,12,10
COST,60.0,15,10
COST,7.5,11,9
COST,3.0,9,8
COST,40.0,8,8
COST,11.0,11,8
COST,18.0,12,8
COST,10.5,7,7
COST,6.0,7,7
COST,16.0,8,7
COST,75.0,10,7
COST,9.0,10,7
COST,24.7,7,6
COST,12.0,7,6
COST,70.0,7,6
COST,21.5,6,5
COST,117.0,8,5
COST,118.0,7,5
COST,8.0,5,5
COST,81.0,4,4
COST,99.0,8,4
COST,104.0,5,4
COST,21.0,5,4
COST,1.0,4,4
COST,44.0,5,4
COST,4.0,4,4
COST,21.8,6,4
COST,76.0,8,4
COST,63.0,10,4
COST,14.0,5,4
COST,85.0,4,4
COST,1.3,7,3
COST,36.0,3,3
COST,11.5,3,3
COST,47.0,6,3
COST,24.0,3,3
COST,43.5,5,3
COST,67.0,3,3
COST,18.3,3,3
COST,39.0,3,3
COST,79.0,5,3
COST,48.0,3,3
COST,64.0,4,3
COST,31.0,3,3
COST,46.0,3,3
COST,7.0,3,3
COST,17.0,4,3
COST,13.1,2,2
COST,125.0,2,2
COST,0.9,2,2
COST,1.2,2,2
COST,26.0,2,2
COST,46.2,2,2
COST,3.2,3,2
COST,16.9,2,2
COST,28.0,3,2
COST,56.5,2,2
COST,68.6,2,2
COST,95.0,2,2
COST,61.0,2,2
COST,3.5,3,2
COST,42.9,2,2
COST,123.7,3,2
COST,86.0,2,2
COST,18.2,2,2
COST,189.0,2,2
COST,190.0,2,2
COST,6.7,3,2
COST,41.4,2,2
COST,109.0,2,2
COST,87.0,2,2
COST,33.7,2,2
COST,30.1,2,2
COST,97.7,2,2
COST,146.6,2,2
COST,7.9,2,2
COST,27.0,2,2
COST,23.8,2,2
COST,153.1,2,2
COST,13.3,2,2
COST,62.0,4,2
COST,35.0,3,2
COST,2.6,3,2
COST,1.9,3,2
COST,31.7,2,2
COST,4.1,3,2
COST,34.9,4,2
COST,6.1,3,2
COST,52.5,2,2
COST,22.5,2,2
COST,36.1,2,2
COST,33.0,3,2
COST,32.3,3,2
COST,71.0,3,2
COST,94.0,2,2
COST,80.0,2,2
COST,45.0,2,2
COST,107.0,4,2
COST,98.0,2,2
COST,73.0,3,2
COST,19.0,2,2
COST,0.5,2,2
COST,41.0,2,2
COST,7.7,3,2
COST,91.0,2,2
COST,43.0,2,2
COST,92.0,2,2
COST,13.5,1,1
COST,120.0,1,1
COST,23.9,1,1
COST,126.0,1,1
COST,1.7,1,1
COST,29.0,1,1
COST,140.0,1,1
COST,32.0,1,1
COST,36.5,2,1
COST,24.5,1,1
COST,135.0,1,1
COST,14.5,1,1
COST,77.0,1,1
COST,88.0,1,1
COST,6.5,1,1
COST,11.4,2,1
COST,11.6,1,1
COST,20.2,1,1
COST,22.0,1,1
COST,17.2,1,1
COST,13.9,1,1
COST,38.0,1,1
COST,78.0,1,1
COST,29.5,1,1
COST,174.0,1,1
COST,25.8,1,1
COST,26.5,1,1
COST,28.6,1,1
COST,39.6,1,1
COST,8.1,1,1
COST,15.1,1,1
COST,7.6,2,1
COST,105.0,1,1
COST,5.6,1,1
COST,16.4,1,1
COST,27.2,1,1
COST,121.0,1,1
COST,198.0,1,1
COST,8.2,1,1
COST,16.8,1,1
COST,40.3,1,1
COST,49.0,1,1
COST,150.1,1,1
COST,112.0,1,1
COST,68.0,1,1
COST,142.0,1,1
COST,82.0,1,1
COST,34.0,1,1
COST,46.9,1,1
COST,59.0,1,1
COST,31.3,1,1
COST,1.1,1,1
COST,128.0,1,1
COST,84.0,1,1
COST,90.0,1,1
CADENCE,W,1223,804
CADENCE,D,514,357
CADENCE,M,577,228
CADENCE,Q,167,80
