stratum,W,K,n_clauses,covered,coverage,with_native,gateable,unpassable,vacuous,proposed_binds,native_binds,med_native,med_proposed
SELF,0,1,520,105,0.20192307692307693,472,92,14,21,35,57,0.0,1.1102230246251565e-16
SELF,0,3,520,105,0.20192307692307693,472,92,14,21,32,60,0.0,3.3306690738754696e-16
SELF,0,10,520,105,0.20192307692307693,472,92,14,21,31,61,0.0,1.1102230246251565e-15
SELF,0,30,520,105,0.20192307692307693,472,92,14,21,23,69,0.0,3.3306690738754696e-15
SELF,0,100,520,105,0.20192307692307693,472,92,14,21,23,69,0.0,1.1102230246251565e-14
SELF,0,1000,520,105,0.20192307692307693,472,92,14,21,23,69,0.0,1.1102230246251565e-13
SELF,3,1,520,491,0.9442307692307692,472,444,87,187,289,155,1e-12,2.220446049250313e-16
SELF,3,3,520,491,0.9442307692307692,472,444,87,187,274,170,1e-12,6.661338147750939e-16
SELF,3,10,520,491,0.9442307692307692,472,444,87,187,271,173,1e-12,2.220446049250313e-15
SELF,3,30,520,491,0.9442307692307692,472,444,87,187,263,181,1e-12,6.661338147750939e-15
SELF,3,100,520,491,0.9442307692307692,472,444,87,187,263,181,1e-12,2.220446049250313e-14
SELF,3,1000,520,491,0.9442307692307692,472,444,87,187,263,181,1e-12,2.220446049250313e-13
SELF,6,1,520,516,0.9923076923076923,472,468,134,183,280,188,1e-12,3.7969627442180373e-16
SELF,6,3,520,516,0.9923076923076923,472,468,134,183,262,206,1e-12,1.1390888232654112e-15
SELF,6,10,520,516,0.9923076923076923,472,468,134,183,260,208,1e-12,3.796962744218037e-15
SELF,6,30,520,516,0.9923076923076923,472,468,134,183,252,216,1e-12,1.1390888232654112e-14
SELF,6,100,520,516,0.9923076923076923,472,468,134,183,251,217,1e-12,3.796962744218037e-14
SELF,6,1000,520,516,0.9923076923076923,472,468,134,183,251,217,1e-12,3.7969627442180374e-13
SELF,12,1,520,520,1.0,472,472,174,194,263,209,1e-12,3.7969627442180373e-16
SELF,12,3,520,520,1.0,472,472,174,194,246,226,1e-12,1.1390888232654112e-15
SELF,12,10,520,520,1.0,472,472,174,194,243,229,1e-12,3.796962744218037e-15
SELF,12,30,520,520,1.0,472,472,174,194,235,237,1e-12,1.1390888232654112e-14
SELF,12,100,520,520,1.0,472,472,174,194,235,237,1e-12,3.796962744218037e-14
SELF,12,1000,520,520,1.0,472,472,174,194,235,237,1e-12,3.7969627442180374e-13
SELF,25,1,520,520,1.0,472,472,197,224,264,208,1e-12,3.7969627442180373e-16
SELF,25,3,520,520,1.0,472,472,197,224,245,227,1e-12,1.1390888232654112e-15
SELF,25,10,520,520,1.0,472,472,197,224,244,228,1e-12,3.796962744218037e-15
SELF,25,30,520,520,1.0,472,472,197,224,238,234,1e-12,1.1390888232654112e-14
SELF,25,100,520,520,1.0,472,472,197,224,238,234,1e-12,3.796962744218037e-14
SELF,25,1000,520,520,1.0,472,472,197,224,238,234,1e-12,3.7969627442180374e-13
REPRO,0,1,520,105,0.20192307692307693,472,92,92,0,0,92,0.0,0.022971613839078187
REPRO,0,3,520,105,0.20192307692307693,472,92,92,0,0,92,0.0,0.06891484151723457
REPRO,0,10,520,105,0.20192307692307693,472,92,92,0,0,92,0.0,0.22971613839078187
REPRO,0,30,520,105,0.20192307692307693,472,92,92,0,0,92,0.0,0.6891484151723456
REPRO,0,100,520,105,0.20192307692307693,472,92,92,0,0,92,0.0,2.297161383907819
REPRO,0,1000,520,105,0.20192307692307693,472,92,92,0,0,92,0.0,22.971613839078188
REPRO,3,1,520,491,0.9442307692307692,472,444,365,1,54,390,1e-12,0.022971613839078187
REPRO,3,3,520,491,0.9442307692307692,472,444,365,1,53,391,1e-12,0.06891484151723457
REPRO,3,10,520,491,0.9442307692307692,472,444,365,1,53,391,1e-12,0.22971613839078187
REPRO,3,30,520,491,0.9442307692307692,472,444,365,1,53,391,1e-12,0.6891484151723456
REPRO,3,100,520,491,0.9442307692307692,472,444,365,1,53,391,1e-12,2.297161383907819
REPRO,3,1000,520,491,0.9442307692307692,472,444,365,1,53,391,1e-12,22.971613839078188
REPRO,6,1,520,516,0.9923076923076923,472,468,378,1,60,408,1e-12,0.022971613839078187
REPRO,6,3,520,516,0.9923076923076923,472,468,378,1,60,408,1e-12,0.06891484151723457
REPRO,6,10,520,516,0.9923076923076923,472,468,378,1,60,408,1e-12,0.22971613839078187
REPRO,6,30,520,516,0.9923076923076923,472,468,378,1,60,408,1e-12,0.6891484151723456
REPRO,6,100,520,516,0.9923076923076923,472,468,378,1,60,408,1e-12,2.297161383907819
REPRO,6,1000,520,516,0.9923076923076923,472,468,378,1,60,408,1e-12,22.971613839078188
REPRO,12,1,520,520,1.0,472,472,415,1,36,436,1e-12,0.022971613839078187
REPRO,12,3,520,520,1.0,472,472,415,1,36,436,1e-12,0.06891484151723457
REPRO,12,10,520,520,1.0,472,472,415,1,36,436,1e-12,0.22971613839078187
REPRO,12,30,520,520,1.0,472,472,415,1,36,436,1e-12,0.6891484151723456
REPRO,12,100,520,520,1.0,472,472,415,1,36,436,1e-12,2.297161383907819
REPRO,12,1000,520,520,1.0,472,472,415,1,36,436,1e-12,22.971613839078188
REPRO,25,1,520,520,1.0,472,472,449,1,12,460,1e-12,0.043237744293042404
REPRO,25,3,520,520,1.0,472,472,449,1,12,460,1e-12,0.12971323287912723
REPRO,25,10,520,520,1.0,472,472,449,1,12,460,1e-12,0.432377442930424
REPRO,25,30,520,520,1.0,472,472,449,1,12,460,1e-12,1.2971323287912722
REPRO,25,100,520,520,1.0,472,472,449,1,12,460,1e-12,4.32377442930424
REPRO,25,1000,520,520,1.0,472,472,449,1,12,460,1e-12,43.237744293042404
