panel,sha,date,rows,max_abs_diff
U56,c006b439,2026-09-04,30,0.018121285676458987
U56,50585c86,2026-09-04,30,0.014691214167743771
U56,f138ee9a,2026-09-07,30,0.014704173632340556
U56,9ee888f4,2026-09-08,30,0.00866593287999362
U56,7a93b075,2026-09-09,30,0.0060427050233642365
U56,60e8c36a,2026-09-10,30,0.003086674278774293
U56,56e08b10,2026-09-11,30,0.005013095557914404
U56,b2528b96,2026-09-14,30,0.0017946801565551507
U56,868b5c36,2026-09-15,30,2.220446049250313e-16
B136,0ede2282,2026-09-03,30,0.020446145593696063
B136,d434ebc4,2026-09-04,30,0.02044820313808038
B136,50585c86,2026-09-04,30,0.0172729488529465
B136,56e08b10,2026-09-11,30,2.220446049250313e-16
