panel,family,level,arm,cad,CAGR,Sharpe,MaxDD,H1,H2,CAGR0,keep4a,keep4b,fail4b
U56,CONTROL,,none,W,0.13268481135264665,1.1239825409867805,-0.22525886233200354,1.1961409076410752,1.0666323934855722,0.13362447005357247,False,False,DD
U56,MA200,-0.05,ABS,W,0.09491603847129615,1.1664873334959018,-0.1299922525012368,1.2114491474971352,1.1282175974887696,0.09752463333346739,False,False,CAGR
U56,MA200,-0.05,QTL,W,0.10902370187761856,1.1341098533097338,-0.18140541398760568,1.2293587055876611,1.053533873314805,0.1117577648480661,False,True,
U56,MA200,-0.02,ABS,W,0.08943942791933868,1.1959942976656348,-0.11928820373455318,1.2057292095327137,1.1895672575447949,0.09245949788133445,False,False,CAGR
U56,MA200,-0.02,QTL,W,0.10219796976904094,1.1463062014771215,-0.16822283980664754,1.2383595357568116,1.070028875332448,0.10537665771490357,False,False,CAGR
U56,MA200,0.0,ABS,W,0.08188115279324815,1.1693459527104735,-0.12011678946550985,1.186398472343846,1.1565728836758975,0.08527958368007504,False,False,CAGR
U56,MA200,0.0,QTL,W,0.09379523590247363,1.1411589708430547,-0.14862546110136865,1.2363018568987758,1.0622856309073059,0.09734211090590073,False,False,CAGR
U56,MA200,0.02,ABS,W,0.07238362124481013,1.117721069447064,-0.11253286477098845,1.1423294719213553,1.0984976414629,0.07607386531681382,False,False,CAGR
U56,MA200,0.02,QTL,W,0.08651539564321165,1.1862424114676269,-0.1299715000524232,1.2610785438746017,1.1277188524040231,0.09016814850334298,False,False,CAGR
U56,MA200,0.05,ABS,W,0.06061254081570144,1.0746663685607274,-0.09482460059006037,1.0504295008148505,1.099729097441074,0.06425007926949422,False,False,CAGR
U56,MA200,0.05,QTL,W,0.0694052053563885,1.1781859209397418,-0.10666614890813308,1.2758923213724023,1.1053727476779769,0.07325779695900536,False,False,CAGR
U56,BREADTH,0.2,ABS,W,0.11662461735610541,1.0556723148407776,-0.23674560141902667,1.1712485503075387,0.957618579333945,0.11811257781306006,False,False,DD
U56,BREADTH,0.2,QTL,W,0.12488868430923339,1.118839022346871,-0.23674560141902679,1.1961409076410752,1.0450481857249907,0.1262524091562367,False,False,DD
U56,BREADTH,0.3,ABS,W,0.11136021538243845,1.114199238797115,-0.17986591217980208,1.1462323691885787,1.0865902726570398,0.11334551492242384,False,True,
U56,BREADTH,0.3,QTL,W,0.1230909165884575,1.1742498303099624,-0.17986591217980208,1.170636581589942,1.1794967462432482,0.12506785370932838,False,True,
U56,BREADTH,0.4,ABS,W,0.10137130192681898,1.0911128304895124,-0.17986591217980208,1.08539025731061,1.101088670466107,0.10430582803396948,False,False,CAGR
U56,BREADTH,0.4,QTL,W,0.11877787160390296,1.244397301094741,-0.12568104798771695,1.1580694270834997,1.3726854118087566,0.12087080469177192,False,True,
U56,BREADTH,0.5,ABS,W,0.09331303221876253,1.0845387709919347,-0.18708562851221577,1.0646214485861851,1.1053769072673238,0.0965441403863685,False,False,CAGR
U56,BREADTH,0.5,QTL,W,0.10598130469835443,1.1500465715215102,-0.12568104798771695,1.1692268987880614,1.1495573818506495,0.10875465832507114,False,False,CAGR
U56,BREADTH,0.6,ABS,W,0.09102322632422144,1.1564338331858781,-0.1132880635617437,1.0620702432278266,1.247399655892118,0.0942827152901442,False,False,CAGR
U56,BREADTH,0.6,QTL,W,0.09530846809283733,1.0863583935630423,-0.12568104798771695,1.0956160656639522,1.1012255410813863,0.09911242244501395,False,False,CAGR
U56,CONTROL,,none,M,0.13261473237334265,1.1320807987911687,-0.2227698341888874,1.1924762720427555,1.084103262605484,0.13307338722300233,False,False,DD
U56,MA200,-0.05,ABS,M,0.10182757430705092,1.1814300205896406,-0.16043132247224678,1.2523549683516049,1.1226725797552926,0.10306506090762424,False,False,CAGR
U56,MA200,-0.05,QTL,M,0.11315238383686821,1.171713783953041,-0.17736706878140496,1.2737857544305846,1.0834298530761475,0.11437983879789648,False,True,
