stat,K,nominal_size,mean_band,median_band,mean_margin,clear_Sharpe,clear_MaxDD,n_clear_Sharpe
MAX,20,0.047619047619047616,0.16857084284984966,0.12910640580671257,-0.06943616518929999,0.15555555555555556,0.06111111111111111,28
MAX,50,0.0196078431372549,0.2100079324394934,0.15256273683620758,-0.11087325477894372,0.09444444444444444,0.027777777777777776,17
MAX,100,0.009900990099009901,0.24647815696105543,0.1929320008086559,-0.1473434793005057,0.03888888888888889,0.022222222222222223,7
MAX,200,0.004975124378109453,0.2796558371693864,0.21425321805722702,-0.18052115950883668,0.022222222222222223,0.016666666666666666,4
Q95,20,0.05,0.13742981079523098,0.11252978992997803,-0.03829513313468128,0.2388888888888889,0.18333333333333332,43
Q95,50,0.05,0.1420038689602049,0.11583249552936545,-0.042869191299655246,0.2111111111111111,0.17222222222222222,38
Q95,100,0.05,0.144938494384685,0.11160127274674733,-0.0458038167241353,0.22777777777777777,0.17222222222222222,41
Q95,200,0.05,0.14659853155314348,0.11270600366775783,-0.04746385389259376,0.23333333333333334,0.16666666666666666,42
