panel,book,gross,cost_bps,d,dCAGR,dSharpe,dMaxDD,dOOS_Sharpe,dOOS_CAGR,dTurn,dm_DD,dm_CAGR,one4b,d4b
U56,CAP2,0.75,0.0,2,-0.0035507751555745592,-0.0581125601868584,-0.025822044078445794,-0.07110035419520022,-0.004405819673946043,0.008371873094706439,-0.025822044078445794,-0.0035507751555745592,True,True
U56,CAP2,0.75,0.0,3,0.0011112941370547968,-0.01959221294380975,-0.024276324776212888,-0.03636997972745415,-0.00015531366907084454,0.008697317410245375,-0.024276324776212888,0.0011112941370547968,True,True
U56,CAP2,0.75,0.0,5,0.001416708229102781,-0.03602241224207359,-0.028834864635987834,-0.06302277603019646,-0.0006486900671240914,0.01858303810986084,-0.028834864635987834,0.001416708229102781,True,True
U56,CAP2,0.75,10.0,2,-0.0035682056004433527,-0.05730495324658835,-0.026486674038114,-0.07015774203225744,-0.004420873728344876,0.008371873094706439,-0.026486674038114,-0.0035682056004433527,True,True
U56,CAP2,0.75,10.0,3,0.001076052667829952,-0.01858684035457503,-0.024313115924979867,-0.03525666087327117,-0.00017836868276566165,0.008697317410245375,-0.024313115924979867,0.001076052667829952,True,True
U56,CAP2,0.75,10.0,5,0.001339987800300424,-0.034991537607804046,-0.028928816777420097,-0.061835568230150795,-0.0007132761088841644,0.01858303810986084,-0.028928816777420097,0.001339987800300424,True,True
U56,CAP2,0.75,25.0,2,-0.003594040663825515,-0.056127846621941924,-0.027482191481657536,-0.06877075512296393,-0.004443153589156257,0.008371873094706439,-0.027482191481657536,-0.003594040663825515,True,True
U56,CAP2,0.75,25.0,3,0.0010236117842534753,-0.017114638220997458,-0.02436822167957653,-0.03361320279318725,-0.00021265754647492585,0.008697317410245375,-0.02436822167957653,0.0010236117842534753,True,True
U56,CAP2,0.75,25.0,5,0.001225838855149819,-0.03345293320620857,-0.029069569804506812,-0.06005630404903339,-0.000809335117246679,0.01858303810986084,-0.029069569804506812,0.001225838855149819,True,True
U56,CAP2,0.75,50.0,2,-0.0036362782370529256,-0.05426108606255009,-0.02913758285596557,-0.06653490339954793,-0.004479490809784936,0.008371873094706439,-0.02913758285596557,-0.0036362782370529256,False,False
U56,CAP2,0.75,50.0,3,0.0009373249593729316,-0.014760582974246761,-0.024459848797632078,-0.030948892805373163,-0.00026902884348012357,0.008697317410245375,-0.024459848797632078,0.0009373249593729316,False,False
U56,CAP2,0.75,50.0,5,0.0010380554360687189,-0.030912875318795274,-0.029303691214677574,-0.05709897794959029,-0.0009672642000280174,0.01858303810986084,-0.029303691214677574,0.0010380554360687189,False,False
U56,CAP2,1.0,0.0,2,-0.0028881457254688048,-0.04677680120164118,-0.01756551928884076,-0.053536310748718785,-0.0033250190150198033,0.009519067343346288,-0.01756551928884076,-0.0028881457254688048,True,True
U56,CAP2,1.0,0.0,3,0.0028960109345992358,-0.005111644290928252,-0.020369690559079556,-0.02224671647933052,0.0013457353711907594,0.01185069155504248,-0.020369690559079556,0.0028960109345992358,True,True
U56,CAP2,1.0,0.0,5,0.0030267183596508485,-0.024274721579735203,-0.02355091390112396,-0.049983857458466785,0.0007542135434108754,0.024218538830642622,-0.02355091390112396,0.0030267183596508485,True,True
U56,CAP2,1.0,10.0,2,-0.002916736121809871,-0.04613494314699018,-0.018205252643437864,-0.052808023236449175,-0.0033521476809323936,0.009519067343346288,-0.018205252643437864,-0.002916736121809871,True,True
U56,CAP2,1.0,10.0,3,0.002833675644201339,-0.0043103235261858774,-0.020380771381661833,-0.021392317880669642,0.0012965698548450533,0.01185069155504248,-0.020380771381661833,0.002833675644201339,True,True
U56,CAP2,1.0,10.0,5,0.002906187639047708,-0.023447779840769956,-0.023616895414474648,-0.04900446335241804,0.0006478892492374211,0.024218538830642622,-0.023616895414474648,0.002906187639047708,True,True
U56,CAP2,1.0,25.0,2,-0.0029591103844230915,-0.0451952724937954,-0.019163087639087473,-0.051732538442754494,-0.003392323691868926,0.009519067343346288,-0.019163087639087473,-0.0029591103844230915,True,True
U56,CAP2,1.0,25.0,3,0.002740998279800344,-0.0031342590812801774,-0.020397316277061872,-0.020126371739439985,0.0012235141576861785,0.01185069155504248,-0.020397316277061872,0.002740998279800344,True,True
U56,CAP2,1.0,25.0,5,0.002727054211844937,-0.022207853383870102,-0.023715686806658476,-0.047532303924082475,0.0004899507907003553,0.024218538830642622,-0.023715686806658476,0.002727054211844937,True,True
U56,CAP2,1.0,50.0,2,-0.003028384166411602,-0.043693699755506854,-0.02075477554818672,-0.049988379885566925,-0.003457919265565712,0.009519067343346288,-0.02075477554818672,-0.003028384166411602,True,False
U56,CAP2,1.0,50.0,3,0.0025887176894079378,-0.0012466448120469487,-0.020424687657059626,-0.018061525207594853,0.001103584292166282,0.01185069155504248,-0.020424687657059626,0.0025887176894079378,True,True
U56,CAP2,1.0,50.0,5,0.0024328917486202695,-0.020145945139024457,-0.02387985698703321,-0.04507405767836903,0.00023080910451955816,0.024218538830642622,-0.02387985698703321,0.0024328917486202695,True,True
U56,CAND,0.75,0.0,2,0.0007378061459224483,-0.003252222378656411,-0.009374501684186964,7.745884097221101e-05,0.0014563515218639633,0.007715127505921071,-0.009374501684186964,0.0007378061459224483,True,True
U56,CAND,0.75,0.0,3,0.0042979844380917065,0.02254479735795556,-0.0070871896031539094,0.024009680389529553,0.004916067586403949,0.006810338407383432,-0.0070871896031539094,0.0042979844380917065,True,True
U56,CAND,0.75,0.0,5,0.002383139391066935,-0.0025443114453864712,-0.012070666496224014,-0.008921617673820714,0.002155424820085683,0.01375380484446831,-0.012070666496224014,0.002383139391066935,True,True
U56,CAND,0.75,10.0,2,0.0007055179726944694,-0.002355285044616462,-0.009326993308364062,0.0012500997754103516,0.0014331971496759355,0.007715127505921071,-0.009326993308364062,0.0007055179726944694,True,True
U56,CAND,0.75,10.0,3,0.00425164689994495,0.023363647111976693,-0.006391914221635875,0.025117942539997218,0.004886503428724431,0.006810338407383432,-0.006391914221635875,0.00425164689994495,True,True
U56,CAND,0.75,10.0,5,0.002306774339863038,-0.0020785222979127216,-0.011427822235948848,-0.008204859955247112,0.0020938091582001217,0.01375380484446831,-0.011427822235948848,0.002306774339863038,True,True
U56,CAND,0.75,25.0,2,0.000657596156628637,-0.0011240884197012413,-0.009255736061091091,0.002889133486026818,0.0013988204239916424,0.007715127505921071,-0.009255736061091091,0.000657596156628637,True,True
U56,CAND,0.75,25.0,3,0.004182728430837335,0.024510095682584554,-0.006065229236135394,0.02669005221980658,0.004842464451589201,0.006810338407383432,-0.006065229236135394,0.004182728430837335,True,True
U56,CAND,0.75,25.0,5,0.0021933489084504654,-0.0014051638197407623,-0.011139180379225344,-0.007159113208963008,0.0020022876992449312,0.01375380484446831,-0.011139180379225344,0.0021933489084504654,True,True
U56,CAND,0.75,50.0,2,0.0005790736908239946,0.0006187237509018839,-0.009136988602662988,0.005295371291456963,0.0013424622467579361,0.007715127505921071,-0.009136988602662988,0.0005790736908239946,False,True
U56,CAND,0.75,50.0,3,0.004069417401731057,0.02619901076815534,-0.006040139975470926,0.02906485758577082,0.00476987860523681,0.006810338407383432,-0.006040139975470926,0.004069417401731057,False,True
U56,CAND,0.75,50.0,5,0.0020072696884712027,-0.0003523780306375901,-0.011255056052497103,-0.005497608719124747,0.0018521338407508914,0.01375380484446831,-0.011255056052497103,0.0020072696884712027,False,True
U56,CAND,1.0,0.0,2,0.000743160845478652,-0.004448805992547822,-0.011471496969122086,7.39549604156231e-05,0.0018468807374567575,0.008616690002446914,-0.011471496969122086,0.000743160845478652,False,False
U56,CAND,1.0,0.0,3,0.006095321713353696,0.023273224365680356,-0.010294669403281054,0.025474795506569947,0.007147605899833653,0.010351195963025805,-0.010294669403281054,0.006095321713353696,False,False
U56,CAND,1.0,0.0,5,0.0032812137799436147,-0.0012118787372410456,-0.015758954667848935,-0.007254974080690646,0.0029228459697097087,0.017829299751737526,-0.015758954667848935,0.0032812137799436147,False,False
U56,CAND,1.0,10.0,2,0.0006996082169639095,-0.0035789076252239482,-0.011390892901789962,0.0011985934820775146,0.001813682878655909,0.008616690002446914,-0.011390892901789962,0.0006996082169639095,False,False
U56,CAND,1.0,10.0,3,0.0060039464203860415,0.02396646344733977,-0.009388556054967134,0.026415477531882114,0.007067610913322753,0.010351195963025805,-0.009388556054967134,0.0060039464203860415,False,False
U56,CAND,1.0,10.0,5,0.0031492335147043082,-0.0009090461065595079,-0.015499186341283222,-0.0067151668714382495,0.0028112360425216476,0.017829299751737526,-0.015499186341283222,0.0031492335147043082,False,False
U56,CAND,1.0,25.0,2,0.0006351877089787461,-0.002388550220667529,-0.01127006659343932,0.0027644197815575033,0.001764540352311883,0.008616690002446914,-0.01127006659343932,0.0006351877089787461,False,False
U56,CAND,1.0,25.0,3,0.005868420169102162,0.024926195336843593,-0.008031772718246066,0.02773701441178611,0.006948869647743994,0.010351195963025805,-0.008031772718246066,0.005868420169102162,False,False
U56,CAND,1.0,25.0,5,0.002953794884868799,-0.000481625449102685,-0.015471072418484333,-0.005935972747526996,0.002645963835162579,0.017829299751737526,-0.015471072418484333,0.002953794884868799,False,False
U56,CAND,1.0,50.0,2,0.0005302102746080894,-0.0007143170123146136,-0.011068902534536074,0.0050460028792198575,0.001684357441341433,0.008616690002446914,-0.011068902534536074,0.0005302102746080894,False,False
U56,CAND,1.0,50.0,3,0.00564659136574952,0.026308967694805174,-0.006943025830368987,0.029697127730351047,0.006754264950701527,0.010351195963025805,-0.006943025830368987,0.00564659136574952,False,False
U56,CAND,1.0,50.0,5,0.002634729423124371,0.00015765176002091597,-0.015423695297622442,-0.00472118563420354,0.002376151305262697,0.017829299751737526,-0.015423695297622442,0.002634729423124371,False,False
B136,CAP2,0.75,0.0,2,-0.001902139086912502,-0.03272608531637489,-0.02986133636352628,-0.06445243586084382,-0.004451410257046762,0.005550620875258039,-0.02986133636352628,-0.001902139086912502,True,True
B136,CAP2,0.75,0.0,3,0.0015882688105901543,-0.008487971443162046,-0.02982206559941125,-0.025886785060436512,0.0010401386077898422,0.004593813921146772,-0.02982206559941125,0.0015882688105901543,True,True
B136,CAP2,0.75,0.0,5,-0.0005606375408704345,-0.038086379795727376,-0.037325007057629866,-0.04774767700445248,0.000326017672876322,0.011540345172728061,-0.037325007057629866,-0.0005606375408704345,True,False
B136,CAP2,0.75,10.0,2,-0.0019149782194269882,-0.03162794349314457,-0.026325837765066584,-0.0627837684955983,-0.004451738398062011,0.005550620875258039,-0.026325837765066584,-0.0019149782194269882,True,True
