selector,target,lookback,IS_Sharpe,IS_CAGR,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_H1,OOS_H2,pass4b_oos,pass4b_full,pass4a_full
S1 highest IS Sharpe,0.1,126.0,1.1234991777109025,0.09762154541739876,0.11201990961331965,1.2113194038310153,-0.1535711205302399,1.2988364949324163,1.1197482480110974,True,False,False
S2 highest IS Sharpe clearing IS CAGR floor,0.15,126.0,1.1074990978536996,0.10183723945021717,0.12652052420570303,1.2734755031793088,-0.15910990855024065,1.4008386753281217,1.134022482722777,True,True,False
REFERENCE RULES v2 live,,,1.1042568982946726,0.07609419114593785,0.09447597045404743,1.2746660728287855,-0.12054945176473153,1.4038182080757844,1.133256219884737,False,False,False
REFERENCE constant gross 1.00,,,1.1047287296204842,0.10162942839526656,0.1265835231142587,1.273957588508626,-0.15910990855024065,1.4017410180325858,1.134022482722777,True,True,False
REFERENCE idea 795 band 0.08 gross 1.00,,,1.1226081240349866,0.10609268530102445,0.11996718309904564,1.161615279891426,-0.19050604786112602,1.2413133814248465,1.075899166394041,True,True,False
