panel,series,tail,q,inst,nominal,armed,rate,ratio
U56,BREADTH,LOW,0.07,QEXP,0.07,1.0,0.0022527596305474207,0.03218228043639172
U56,BREADTH,LOW,0.07,QROLL252,0.07,1.0,0.11106104978598784,1.5865864255141118
U56,BREADTH,LOW,0.07,QROLL504,0.07,0.9452579409776977,0.11224976167778837,1.6035680239684051
U56,BREADTH,LOW,0.07,QROLL1008,0.07,0.8317188555981077,0.07150595882990249,1.0215136975700354
U56,BREADTH,LOW,0.07,QROLL2016,0.07,0.6046406848389276,0.0741430700447094,1.0591867149244198
U56,BREADTH,LOW,0.1,QEXP,0.1,1.0,0.0198242847488173,0.198242847488173
U56,BREADTH,LOW,0.1,QROLL252,0.1,1.0,0.14417661635503493,1.4417661635503491
U56,BREADTH,LOW,0.1,QROLL504,0.1,0.9452579409776977,0.13489037178265015,1.3489037178265013
U56,BREADTH,LOW,0.1,QROLL1008,0.1,0.8317188555981077,0.09886240520043336,0.9886240520043336
U56,BREADTH,LOW,0.1,QROLL2016,0.1,0.6046406848389276,0.09724292101341282,0.9724292101341282
U56,BREADTH,LOW,0.12,QEXP,0.12,1.0,0.032439738679882854,0.27033115566569044
U56,BREADTH,LOW,0.12,QROLL252,0.12,1.0,0.16107231358414056,1.3422692798678382
U56,BREADTH,LOW,0.12,QROLL504,0.12,0.9452579409776977,0.14966634890371783,1.2472195741976486
U56,BREADTH,LOW,0.12,QROLL1008,0.12,0.8317188555981077,0.11511375947995667,0.9592813289996389
U56,BREADTH,LOW,0.12,QROLL2016,0.12,0.6046406848389276,0.11102831594634874,0.9252359662195728
U56,BREADTH,LOW,0.17,QEXP,0.17,1.0,0.052038747465645414,0.30611027920967887
U56,BREADTH,LOW,0.17,QROLL252,0.17,1.0,0.19734174363595405,1.1608337860938474
U56,BREADTH,LOW,0.17,QROLL504,0.17,0.9452579409776977,0.1842230695900858,1.0836651152357988
U56,BREADTH,LOW,0.17,QROLL1008,0.17,0.8317188555981077,0.1470747562296858,0.8651456248805046
U56,BREADTH,LOW,0.17,QROLL2016,0.17,0.6046406848389276,0.1497764530551416,0.8810379591478916
U56,BREADTH,LOW,0.2,QEXP,0.2,1.0,0.07794548321694075,0.38972741608470374
U56,BREADTH,LOW,0.2,QROLL252,0.2,1.0,0.21829240820004506,1.0914620410002251
U56,BREADTH,LOW,0.2,QROLL504,0.2,0.9452579409776977,0.20829361296472831,1.0414680648236414
U56,BREADTH,LOW,0.2,QROLL1008,0.2,0.8317188555981077,0.16413867822318526,0.8206933911159262
U56,BREADTH,LOW,0.2,QROLL2016,0.2,0.6046406848389276,0.1717585692995529,0.8587928464977646
U56,BREADTH,LOW,0.3,QEXP,0.3,1.0,0.14395134039198018,0.47983780130660064
U56,BREADTH,LOW,0.3,QROLL252,0.3,1.0,0.2849740932642487,0.9499136442141625
