corpus,w,depth,days,no_thr_days,on_share,mean_gross,CAGR,Sharpe,MaxDD,twin_CAGR,twin_Sharpe,twin_MaxDD,d_Sharpe,d_CAGR,d_MaxDD,works,sharpe_leg,dd_leg,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,p4b,p4a,fail4b
FULL,63,0.1,4443,0,0.2151699302273239,0.9784830069772675,0.13739781038059196,1.0233532283732127,-0.21198115578746968,0.1389216299739009,1.0211419074492891,-0.22636284547508445,0.002211320923923621,-0.0015238195933089393,0.014381689687614774,True,True,True,1.0137230415928649,-0.1516121852905018,0.13724891297298103,1.0313661914097978,-0.21198115578747057,False,False,DD
EX2020T,63,0.1,4381,0,0.20908468386213194,0.9790915316137867,0.14954993818369133,1.135221381185342,-0.2119811557874718,0.15242768234215553,1.1457283400723215,-0.2122660119693769,-0.0105069588869795,-0.0028777441584642016,0.0002848561819051021,False,False,True,1.0137230415928649,-0.1516121852905018,0.15976886353863695,1.24917594980289,-0.21198115578747012,False,False,DD
ONLY2020T,63,0.1,62,0,0.6451612903225806,0.9354838709677419,-0.46324214042470846,-1.7995320705245215,-0.20950173874504574,-0.4853560340418278,-1.865859108902442,-0.21720321465545456,0.06632703837792064,0.02211389361711935,0.007701475910408817,True,True,True,,,-0.46324214042470846,-1.7995320705245215,-0.20950173874504574,False,False,"H1,H2,DD,CAGR,OOS"
EX2020Y,63,0.1,4190,0,0.21479713603818615,0.9785202863961814,0.13893476784908998,1.0742534567993696,-0.2119811557874709,0.1417272366300968,1.0843032829167,-0.212151713583545,-0.010049826117330518,-0.002792468781006807,0.00017055779607411115,False,False,True,1.0137230415928649,-0.1516121852905018,0.14018305969546963,1.1399806949425528,-0.21198115578746957,False,False,DD
ONLY2020Y,63,0.1,253,0,0.22134387351778656,0.9778656126482215,0.1122433587468965,0.6133111922163803,-0.20950173874504596,0.0934936352998812,0.5199304548273226,-0.22623339894341177,0.09338073738905772,0.01874972344701531,0.016731660198365805,True,True,True,,,0.1122433587468965,0.6133111922163803,-0.20950173874504596,False,False,"H1,DD,CAGR,OOS"
ONLY2022,63,0.1,251,0,0.30278884462151395,0.9697211155378487,-0.11244101145082341,-0.6564564322986076,-0.20995354589240867,-0.1099837391024635,-0.6344491135446549,-0.20849125707302973,-0.022007318753952676,-0.002457272348359907,-0.0014622888193789318,False,False,False,,,-0.11244101145082341,-0.6564564322986076,-0.20995354589240867,False,False,"H2,DD"
NOCRASH,63,0.1,3939,0,0.2091901497842092,0.9790809850215791,0.1571776059428216,1.2181389207916495,-0.15742751788354348,0.1601723111793727,1.2282919957597014,-0.16329772567106215,-0.010153074968051845,-0.0029947052365510984,0.0058702077875186776,False,False,True,1.0137230415928649,-0.1516121852905018,0.17789514623366176,1.4786152826681485,-0.15742751788354392,False,False,DD
FULL,63,0.25,4443,0,0.2151699302273239,0.946207517443169,0.13043485920265585,1.021492943219015,-0.20535592640505806,0.13436055256758594,1.021146504231304,-0.21949546206115622,0.00034643898771102855,-0.003925693364930094,0.014139535656098157,True,True,True,0.9749347419966963,-0.15315618830220956,0.13359755501877668,1.0617788030476258,-0.20535592640505784,False,False,DD
EX2020T,63,0.25,4381,0,0.20908468386213194,0.947728829034467,0.1402380065804567,1.1128161995068713,-0.20535592640505818,0.14749127917208482,1.1456385584747562,-0.2059614830348261,-0.03282235896788488,-0.007253272591628113,0.0006055566297679116,False,False,True,0.9749347419966963,-0.15315618830220956,0.15188949752043612,1.2426981759190603,-0.2053559264050565,False,False,DD
ONLY2020T,63,0.25,62,0,0.6451612903225806,0.8387096774193549,-0.3858595304471306,-1.6852414771406998,-0.1767065728569499,-0.4463901631241908,-1.8797003381900588,-0.19633116807791073,0.19445886104935894,0.06053063267706016,0.019624595220960828,True,True,True,,,-0.3858595304471306,-1.6852414771406998,-0.1767065728569499,False,False,"H1,H2,CAGR,OOS"
