panel,chooser,pick_control,pick_ladder,n,oos_CAGR,oos_Sharpe,oos_MaxDD,oos_failDD,oos_pass4b
U56,C_ISDD (shallowest IS median MaxDD),DRIFT,COARSE3,890,0.16800540132522068,1.0759143361989325,-0.2499099016236367,0.802247191011236,0.12921348314606743
U56,C_ISSHARPE (max IS median Sharpe),DRIFT,COARSE3,890,0.16800540132522068,1.0759143361989325,-0.2499099016236367,0.802247191011236,0.12921348314606743
U56,"C_LIVE (zero-parameter: DRIFT, CORE4)",DRIFT,CORE4,900,0.1676257084044287,1.0755423984270325,-0.2489187816852076,0.7988888888888889,0.1288888888888889
U56,SPY (OOS),,,0,0.15286966214114894,0.8752553821643039,-0.33717256724185307,,
U56,RULES v2 (OOS),,,0,0.09455896847608769,1.2769738262132813,-0.12054941914043871,,
B136,C_ISDD (shallowest IS median MaxDD),NODRIFT_G,COARSE3,890,0.16077069812885458,0.9309819879624381,-0.2809654306767344,0.9224719101123595,0.028089887640449437
B136,C_ISSHARPE (max IS median Sharpe),NODRIFT_W,COARSE3,890,0.1609079954155619,0.9288278681961613,-0.28028973394277146,0.9213483146067416,0.029213483146067417
B136,"C_LIVE (zero-parameter: DRIFT, CORE4)",DRIFT,CORE4,900,0.15813705153379332,0.9345863031890058,-0.2789802127178615,0.9177777777777778,0.027777777777777776
B136,SPY (OOS),,,0,0.15257181383948715,0.8738511437360154,-0.3371595330739301,,
B136,RULES v2 (OOS),,,0,0.0784728360555127,1.1019125044197382,-0.12241069123223403,,
SMALL,C_ISDD (shallowest IS median MaxDD),NODRIFT_W,COARSE3,890,0.059192042605578865,0.45762850618065554,-0.43051088479084354,0.9573033707865168,0.0
SMALL,C_ISSHARPE (max IS median Sharpe),NODRIFT_G,COARSE3,890,0.059070050798132434,0.44996237599499467,-0.4274563028848617,0.9539325842696629,0.0
SMALL,"C_LIVE (zero-parameter: DRIFT, CORE4)",DRIFT,CORE4,900,0.058084739550756215,0.4553503906592441,-0.4253576884316643,0.9466666666666667,0.0
SMALL,SPY (OOS),,,0,0.15286966214114894,0.8752553821643039,-0.33717256724185307,,
SMALL,RULES v2 (OOS),,,0,0.036354056040183824,0.5458664490122526,-0.14158634495022804,,
