pickset,bar,n,decisions_OOSspread,share_OOSspread,decisions_ISspread,share_ISspread,agree,agree_share,mean_cost_decisions,mean_cost_coinflips
CORE5,0.01,15,12,0.8,12,0.8,15,1.0,0.15840499841929231,0.0
CORE5,0.02,15,12,0.8,12,0.8,15,1.0,0.15840499841929231,0.0
CORE5,0.05,15,11,0.7333333333333333,12,0.8,14,0.9333333333333333,0.172448551617955,0.000981478308500705
CORE5,0.1,15,11,0.7333333333333333,7,0.4666666666666667,9,0.6,0.172448551617955,0.000981478308500705
CORE5,0.2,15,5,0.3333333333333333,6,0.4,8,0.5333333333333333,0.3186078167631591,0.030782089721571215
CORE5,0.3,15,4,0.26666666666666666,3,0.2,12,0.8,0.34364405769211825,0.047843977296639514
CORE5,0.5,15,1,0.06666666666666667,2,0.13333333333333333,12,0.8,0.3461347204275447,0.11105180432885449
EXT9,0.01,27,24,0.8888888888888888,24,0.8888888888888888,27,1.0,0.1256866545946462,0.0
EXT9,0.02,27,24,0.8888888888888888,23,0.8518518518518519,26,0.9629629629629629,0.1256866545946462,0.0
EXT9,0.05,27,21,0.7777777777777778,22,0.8148148148148148,24,0.8888888888888888,0.1434549427160717,0.0006543188723338034
EXT9,0.1,27,18,0.6666666666666666,17,0.6296296296296297,18,0.6666666666666666,0.16400136753296488,0.00716167718646009
EXT9,0.2,27,11,0.4074074074074074,13,0.48148148148148145,15,0.5555555555555556,0.23296784283320635,0.028364589944139935
EXT9,0.3,27,6,0.2222222222222222,6,0.2222222222222222,21,0.7777777777777778,0.3392372572786618,0.0467169603142637
EXT9,0.5,27,2,0.07407407407407407,2,0.07407407407407407,23,0.8518518518518519,0.405572014678499,0.08821342723658042
