cost,split,rec_passes,destroyed,created,after,destroyed_share,net
0.0,DISJ,21,4,2,19,0.19047619047619047,-2
0.0,TWOLEG,21,0,2,23,0.0,2
5.0,DISJ,17,4,0,13,0.23529411764705882,-4
5.0,TWOLEG,17,0,2,19,0.0,2
10.0,DISJ,12,2,2,12,0.16666666666666666,0
10.0,TWOLEG,12,0,2,14,0.0,2
25.0,DISJ,7,1,0,6,0.14285714285714285,-1
25.0,TWOLEG,7,1,0,6,0.14285714285714285,-1
50.0,DISJ,3,2,0,1,0.6666666666666666,-2
50.0,TWOLEG,3,0,0,3,0.0,0
