panel,book,cadence,cap,CANON_OOS_MaxDD,FPORT_OOS_MaxDD,CANON_L4,FPORT_L4,L4_FLIP,CANON_pass4b,FPORT_pass4b,CANON_fail,FPORT_fail,CANON_pass4a,FPORT_pass4a
B136,BAND03,M,-0.20229571984435818,-0.15687661157282995,-0.1711395995173347,True,True,False,False,False,L5_CAGR,L5_CAGR,False,False
B136,BAND03,Q,-0.20229571984435818,-0.21842850303993344,-0.2030320750612562,False,False,False,False,False,"L2_H2,L4_DD,L5_CAGR","L4_DD,L5_CAGR",False,False
B136,BAND03,W,-0.20229571984435818,-0.12240985403190019,-0.11428185768247223,True,True,False,False,False,L5_CAGR,L5_CAGR,False,True
B136,BAND06,M,-0.20229571984435818,-0.18835977814939264,-0.18653844240556405,True,True,False,False,False,L5_CAGR,L5_CAGR,False,False
B136,BAND06,Q,-0.20229571984435818,-0.22612973398250125,-0.21006570160342375,False,False,False,False,False,"L2_H2,L4_DD,L5_CAGR","L4_DD,L5_CAGR",False,False
B136,BAND06,W,-0.20229571984435818,-0.1368925858239768,-0.13388044677405608,True,True,False,False,False,L5_CAGR,L5_CAGR,False,False
B136,EWELIG,M,-0.20229571984435818,-0.21662223241008782,-0.20963603295412836,False,False,False,False,False,L4_DD,L4_DD,False,False
B136,EWELIG,Q,-0.20229571984435818,-0.24436024823827207,-0.23099891196467504,False,False,False,False,False,L4_DD,L4_DD,False,False
B136,EWELIG,W,-0.20229571984435818,-0.1768808521297457,-0.17265270618685602,True,True,False,False,True,L5_CAGR,-,False,False
B136,TOP10,M,-0.20229571984435818,-0.278411730958104,-0.24654195582899596,False,False,False,False,False,L4_DD,"L2_H2,L4_DD",False,False
B136,TOP10,Q,-0.20229571984435818,-0.2861259748354531,-0.2669822308120495,False,False,False,False,False,"L2_H2,L3_OOS,L4_DD",L4_DD,False,False
B136,TOP10,W,-0.20229571984435818,-0.2144576382341874,-0.2109049805522749,False,False,False,False,False,"L2_H2,L3_OOS,L4_DD","L2_H2,L3_OOS,L4_DD",False,False
B136,TOP20,M,-0.20229571984435818,-0.2610525610883291,-0.2384720256148103,False,False,False,False,False,L4_DD,L4_DD,False,False
B136,TOP20,Q,-0.20229571984435818,-0.27066003473973965,-0.26026923518537604,False,False,False,False,False,"L2_H2,L3_OOS,L4_DD",L4_DD,False,False
B136,TOP20,W,-0.20229571984435818,-0.2005239339604492,-0.1989927584950434,True,True,False,False,False,L2_H2,"L2_H2,L3_OOS",False,False
B136,TOP30,M,-0.20229571984435818,-0.2514592398623362,-0.23376767115743646,False,False,False,False,False,L4_DD,L4_DD,False,False
B136,TOP30,Q,-0.20229571984435818,-0.27779644445134244,-0.26187629041205407,False,False,False,False,False,"L2_H2,L3_OOS,L4_DD",L4_DD,False,False
B136,TOP30,W,-0.20229571984435818,-0.20296854671322273,-0.18850915577282512,False,True,True,False,True,"L2_H2,L4_DD",-,False,False
B136,TOP40,M,-0.20229571984435818,-0.23727394575310634,-0.22888969672425963,False,False,False,False,False,L4_DD,L4_DD,False,False
B136,TOP40,Q,-0.20229571984435818,-0.2815956599245789,-0.26117092296151967,False,False,False,False,False,"L2_H2,L4_DD",L4_DD,False,False
B136,TOP40,W,-0.20229571984435818,-0.19113622335983527,-0.17677994913979422,True,True,False,True,True,-,-,False,False
B136,TOP5,M,-0.20229571984435818,-0.31250710871244725,-0.25587125178860404,False,False,False,False,False,L4_DD,L4_DD,False,False
B136,TOP5,Q,-0.20229571984435818,-0.28627132368997754,-0.2730341364191905,False,False,False,False,False,"L2_H2,L3_OOS,L4_DD",L4_DD,False,False
B136,TOP5,W,-0.20229571984435818,-0.23360402627654586,-0.23086164812514542,False,False,False,False,False,"L2_H2,L3_OOS,L4_DD","L2_H2,L3_OOS,L4_DD",False,False
B136,TOP60,M,-0.20229571984435818,-0.19393938861401738,-0.21734881514323956,True,False,False,True,False,-,L4_DD,False,False
B136,TOP60,Q,-0.20229571984435818,-0.27293116020738517,-0.24954115781941466,False,False,False,False,False,"L2_H2,L4_DD",L4_DD,False,False
B136,TOP60,W,-0.20229571984435818,-0.19014278879854163,-0.1644702833684919,True,True,False,True,True,-,-,False,False
U56,BAND03,M,-0.20230354065372144,-0.14381683197937534,-0.15685525423409408,True,True,False,False,False,L5_CAGR,L5_CAGR,False,False
U56,BAND03,Q,-0.20230354065372144,-0.1990158754159994,-0.18407596885484412,True,True,False,False,False,L5_CAGR,L5_CAGR,False,False
U56,BAND03,W,-0.20230354065372144,-0.12054949323437081,-0.11372071477894219,True,True,False,False,False,L5_CAGR,L5_CAGR,False,False
U56,BAND06,M,-0.20230354065372144,-0.17397458493951412,-0.16991932374755847,True,True,False,False,False,L5_CAGR,L5_CAGR,False,False
U56,BAND06,Q,-0.20230354065372144,-0.20015623041033037,-0.18619559239786831,True,True,False,False,False,L5_CAGR,L5_CAGR,False,False
U56,BAND06,W,-0.20230354065372144,-0.13472544315147283,-0.13432666911379743,True,True,False,False,False,L5_CAGR,L5_CAGR,False,False
U56,EWELIG,M,-0.20230354065372144,-0.1701240003603841,-0.17634925264877477,True,True,False,True,True,-,-,False,False
U56,EWELIG,Q,-0.20230354065372144,-0.2220595606403195,-0.201424124250017,False,True,True,False,True,L4_DD,-,False,False
U56,EWELIG,W,-0.20230354065372144,-0.15874706658130866,-0.15755836471247042,True,True,False,True,True,-,-,False,False
U56,TOP10,M,-0.20230354065372144,-0.23215158924479462,-0.2144156774587317,False,False,False,False,False,L4_DD,L4_DD,False,False
U56,TOP10,Q,-0.20230354065372144,-0.24461287519528285,-0.24014484682641557,False,False,False,False,False,"L2_H2,L3_OOS,L4_DD",L4_DD,False,False
U56,TOP10,W,-0.20230354065372144,-0.17538208761120821,-0.18069060304284523,True,True,False,False,False,L1_H1,L1_H1,False,False
U56,TOP20,M,-0.20230354065372144,-0.19506866657348376,-0.20054490726202034,True,True,False,True,True,-,-,False,False
U56,TOP20,Q,-0.20230354065372144,-0.2712234865349641,-0.24235541653573867,False,False,False,False,False,L4_DD,L4_DD,False,False
U56,TOP20,W,-0.20230354065372144,-0.183083519022036,-0.16338893574809166,True,True,False,True,True,-,-,False,False
U56,TOP30,M,-0.20230354065372144,-0.16336541421888306,-0.18983215858788804,True,True,False,True,True,-,-,False,False
U56,TOP30,Q,-0.20230354065372144,-0.270173781440754,-0.23461099197725954,False,False,False,False,False,L4_DD,L4_DD,False,False
U56,TOP30,W,-0.20230354065372144,-0.16562322955622377,-0.14411191737949225,True,True,False,True,True,-,-,False,False
