chooser,panel,cadence,N,H,mechanism_survives_here,retention_O_SHARPE_realrand,IS_Sharpe,ann_turnover,cstar,FULL_CAGR,FULL_Sharpe,FULL_MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,SPY_Sharpe,SPY_H1,SPY_H2,SPY_CAGR,SPY_MaxDD,SPY_OOS_Sharpe,SPY_OOS_CAGR,SPY_OOS_MaxDD,LIVE_Sharpe,LIVE_OOS_Sharpe,pass_4b,pass_4b_oos,pass_4a,leg_L_H1,leg_L_H2,leg_L_OOS,leg_L_DD,leg_L_CAGR,legO_O_S,legO_O_DD,legO_O_CAGR
CH_ISSHARPE,U56,W,12,21,True,0.5556004852405985,1.1986787696147367,6.832166887130939,63.32273483276367,0.1675882268480955,1.1603154950668024,-0.1947756323213694,1.2464960628002033,1.0988026627685472,0.17499450645220782,1.1388834292542345,-0.1947756323213694,0.8813847249453147,0.9597999995398193,0.816962418380113,0.15064126359634944,-0.33717235283398306,0.8684062229066973,0.15150873781069918,-0.33717235283398317,1.1980493437933688,1.2714387324337506,True,True,False,True,True,True,True,True,True,True,True
CH_NSMALL,U56,W,5,63,True,0.5556004852405985,1.196723402549628,4.475905214334814,0.0,0.18977511597180818,1.0083089004227344,-0.2626459628371727,1.2188907331391385,0.8621484937065437,0.1789496103291821,0.8948042461568647,-0.2626459628371731,0.8813847249453147,0.9597999995398193,0.816962418380113,0.15064126359634944,-0.33717235283398306,0.8684062229066973,0.15150873781069918,-0.33717235283398317,1.1980493437933688,1.2714387324337506,False,False,False,True,True,True,False,True,True,False,True
CH_NMECH,U56,W,5,63,True,0.5556004852405985,1.196723402549628,4.475905214334814,0.0,0.18977511597180818,1.0083089004227344,-0.2626459628371727,1.2188907331391385,0.8621484937065437,0.1789496103291821,0.8948042461568647,-0.2626459628371731,0.8813847249453147,0.9597999995398193,0.816962418380113,0.15064126359634944,-0.33717235283398306,0.8684062229066973,0.15150873781069918,-0.33717235283398317,1.1980493437933688,1.2714387324337506,False,False,False,True,True,True,False,True,True,False,True
CH_NBIG,U56,W,40,63,True,0.5556004852405985,1.140803448502923,2.8748206719660914,0.0,0.12794397335795704,1.1080684071925715,-0.22146829339436336,1.2434064777940756,1.0093741443319848,0.1333765161032654,1.0894435385342645,-0.22146829339436336,0.8813847249453147,0.9597999995398193,0.816962418380113,0.15064126359634944,-0.33717235283398306,0.8684062229066973,0.15150873781069918,-0.33717235283398317,1.1980493437933688,1.2714387324337506,False,False,False,True,True,True,False,True,True,False,True
CH_ISSHARPE,U56,M,5,21,True,0.5556004852405985,1.4140378366531343,6.0490308100919945,0.0,0.20803431363699643,1.092683822265654,-0.2872795019153648,1.4166262930978653,0.833513277991296,0.168666759475123,0.8723148443208242,-0.2872795019153649,0.8813847249453147,0.9597999995398193,0.816962418380113,0.15064126359634944,-0.33717235283398306,0.8684062229066973,0.15150873781069918,-0.33717235283398317,1.1980493437933688,1.2714387324337506,False,False,False,True,True,True,False,True,True,False,True
CH_NSMALL,U56,M,5,21,True,0.5556004852405985,1.4140378366531343,6.0490308100919945,0.0,0.20803431363699643,1.092683822265654,-0.2872795019153648,1.4166262930978653,0.833513277991296,0.168666759475123,0.8723148443208242,-0.2872795019153649,0.8813847249453147,0.9597999995398193,0.816962418380113,0.15064126359634944,-0.33717235283398306,0.8684062229066973,0.15150873781069918,-0.33717235283398317,1.1980493437933688,1.2714387324337506,False,False,False,True,True,True,False,True,True,False,True
CH_NMECH,U56,M,5,21,True,0.5556004852405985,1.4140378366531343,6.0490308100919945,0.0,0.20803431363699643,1.092683822265654,-0.2872795019153648,1.4166262930978653,0.833513277991296,0.168666759475123,0.8723148443208242,-0.2872795019153649,0.8813847249453147,0.9597999995398193,0.816962418380113,0.15064126359634944,-0.33717235283398306,0.8684062229066973,0.15150873781069918,-0.33717235283398317,1.1980493437933688,1.2714387324337506,False,False,False,True,True,True,False,True,True,False,True
CH_NBIG,U56,M,8,21,True,0.5556004852405985,1.3034951134154569,5.5583645624633515,0.0,0.18315547474625227,1.106402939222016,-0.2693258340619519,1.3295470943465266,0.9363782206943249,0.16946039763441978,0.9764876838419481,-0.2693258340619519,0.8813847249453147,0.9597999995398193,0.816962418380113,0.15064126359634944,-0.33717235283398306,0.8684062229066973,0.15150873781069918,-0.33717235283398317,1.1980493437933688,1.2714387324337506,False,False,False,True,True,True,False,True,True,False,True
CH_ISSHARPE,B136,W,5,63,False,0.35219780219780217,1.4240583789769876,5.287853222636589,0.0,0.2365986271857763,1.107985062534156,-0.28623535174686976,1.4481458124281585,0.866394398415701,0.20461088515896764,0.9156496419388593,-0.28623535174686987,0.8860757549112315,0.9595622658772724,0.8259431438686403,0.15163389387763448,-0.3371595330739303,0.8767278433896203,0.15331427255204866,-0.3371595330739301,1.0992531359665725,1.105887869727878,False,False,False,True,True,True,False,True,True,False,True
CH_NSMALL,B136,W,5,63,False,0.35219780219780217,1.4240583789769876,5.287853222636589,0.0,0.2365986271857763,1.107985062534156,-0.28623535174686976,1.4481458124281585,0.866394398415701,0.20461088515896764,0.9156496419388593,-0.28623535174686987,0.8860757549112315,0.9595622658772724,0.8259431438686403,0.15163389387763448,-0.3371595330739303,0.8767278433896203,0.15331427255204866,-0.3371595330739301,1.0992531359665725,1.105887869727878,False,False,False,True,True,True,False,True,True,False,True
