basis,k,n,n_move,n_effective_move,move_rate
SE_BLOCK,0.0,72,72,59,1.0
SE_BLOCK,0.25,72,60,47,0.8333333333333334
SE_BLOCK,0.5,72,54,41,0.75
SE_BLOCK,1.0,72,41,28,0.5694444444444444
SE_BLOCK,1.5,72,32,19,0.4444444444444444
SE_BLOCK,2.0,72,22,9,0.3055555555555556
SE_IID,0.0,72,72,59,1.0
SE_IID,0.25,72,60,47,0.8333333333333334
SE_IID,0.5,72,51,38,0.7083333333333334
SE_IID,1.0,72,36,23,0.5
SE_IID,1.5,72,27,14,0.375
SE_IID,2.0,72,22,9,0.3055555555555556
SE_FOLD,0.0,72,72,59,1.0
SE_FOLD,0.25,72,66,53,0.9166666666666666
SE_FOLD,0.5,72,57,44,0.7916666666666666
SE_FOLD,1.0,72,50,37,0.6944444444444444
SE_FOLD,1.5,72,40,27,0.5555555555555556
SE_FOLD,2.0,72,37,24,0.5138888888888888
