sha,role,book,cadence,draw,OOS_Sharpe,OOS_MaxDD,pass4b,fail4b
c006b439,LADDER-REF,EWELIG,W,0,0.8645242583128729,-0.21783890468406053,False,"L1_H1,L2_H2,L3_OOS,L4_DD"
c006b439,LADDER-REF,EWELIG,W,1,0.9051322537890154,-0.25109780790680714,False,"L1_H1,L2_H2,L4_DD"
c006b439,LADDER-REF,EWELIG,W,2,0.9585084380213524,-0.24104861731642424,False,L4_DD
c006b439,LADDER-REF,EWELIG,W,3,0.8477190639374539,-0.2619328022215337,False,"L2_H2,L3_OOS,L4_DD,L5_CAGR"
c006b439,LADDER-REF,EWELIG,W,4,0.9892621168461588,-0.24524556721280633,False,L4_DD
c006b439,LADDER-REF,EWELIG,W,5,0.8302889892065392,-0.25697031848146545,False,"L1_H1,L2_H2,L3_OOS,L4_DD,L5_CAGR"
c006b439,LADDER-REF,EWELIG,W,6,0.8698415236396841,-0.24798964913571087,False,"L1_H1,L2_H2,L3_OOS,L4_DD,L5_CAGR"
c006b439,LADDER-REF,EWELIG,W,7,0.8532057022804469,-0.21943403841925202,False,"L1_H1,L2_H2,L3_OOS,L4_DD,L5_CAGR"
c006b439,LADDER-REF,EWELIG,W,8,0.8156683374370682,-0.23343000275378156,False,"L2_H2,L3_OOS,L4_DD,L5_CAGR"
c006b439,LADDER-REF,EWELIG,W,9,0.8239097021383308,-0.26888671192209057,False,"L2_H2,L3_OOS,L4_DD,L5_CAGR"
c006b439,LADDER-REF,EWELIG,W,10,0.8163067909269921,-0.2633894957166746,False,"L1_H1,L2_H2,L3_OOS,L4_DD,L5_CAGR"
c006b439,LADDER-REF,EWELIG,W,11,0.811144967324274,-0.2421552326766201,False,"L1_H1,L2_H2,L3_OOS,L4_DD,L5_CAGR"
c006b439,LADDER-REF,EWELIG,W,12,0.860451936889598,-0.2619712283292175,False,"L1_H1,L2_H2,L3_OOS,L4_DD,L5_CAGR"
c006b439,LADDER-REF,EWELIG,W,13,0.8957760130728255,-0.252163597504819,False,"L1_H1,L2_H2,L4_DD"
c006b439,LADDER-REF,EWELIG,W,14,0.8917301231022904,-0.2733757379810263,False,"L1_H1,L2_H2,L4_DD"
c006b439,LADDER-REF,EWELIG,W,15,0.9819205479091005,-0.26017120678884376,False,"L1_H1,L4_DD"
c006b439,LADDER-REF,EWELIG,W,16,0.9448145564407013,-0.19674912451099313,False,L1_H1
c006b439,LADDER-REF,EWELIG,W,17,0.7971318218841614,-0.2658830211567669,False,"L2_H2,L3_OOS,L4_DD,L5_CAGR"
c006b439,LADDER-REF,EWELIG,W,18,0.9264079470076507,-0.22784144084306257,False,"L1_H1,L4_DD"
c006b439,LADDER-REF,EWELIG,W,19,0.9086086949091055,-0.23639123100954174,False,"L1_H1,L4_DD"
c006b439,LADDER-REF,EWELIG,W,20,0.8429644456143005,-0.2517953219283008,False,"L1_H1,L2_H2,L3_OOS,L4_DD,L5_CAGR"
c006b439,LADDER-REF,EWELIG,W,21,1.0566702715910679,-0.21560195506569335,False,L4_DD
c006b439,LADDER-REF,EWELIG,W,22,0.8792469137429999,-0.23265720830027725,False,"L1_H1,L2_H2,L3_OOS,L4_DD"
c006b439,LADDER-REF,EWELIG,W,23,0.9237744065435515,-0.23086037762922929,False,L4_DD
c006b439,LADDER-REF,EWELIG,W,24,0.8800301901271429,-0.2508735604062642,False,"L2_H2,L3_OOS,L4_DD"
c006b439,LADDER-REF,EWELIG,W,25,0.8293872674114422,-0.26122094604356905,False,"L2_H2,L3_OOS,L4_DD,L5_CAGR"
c006b439,LADDER-REF,EWELIG,W,26,0.7710682576408183,-0.2793617819451033,False,"L1_H1,L2_H2,L3_OOS,L4_DD,L5_CAGR"
c006b439,LADDER-REF,EWELIG,W,27,0.9857117255931386,-0.2346457230492779,False,L4_DD
