base,rung_set,panel,ladder,k,inf_count,inf_S_FULL,inf_S_OOS,inf_CAGR,inf_DD
11171117,CORE,U56,N,9,0,False,False,False,False
11171117,CORE,U56,H,4,4,True,True,True,True
11171117,CORE,U56,GROSS,10,1,False,True,False,False
11171117,CORE,U56,CADENCE,4,4,True,True,True,True
11171117,CORE,B136,N,9,2,True,False,True,False
11171117,CORE,B136,H,4,4,True,True,True,True
11171117,CORE,B136,GROSS,10,0,False,False,False,False
11171117,CORE,B136,CADENCE,4,3,True,True,False,True
11171117,EXT,U56,N,9,0,False,False,False,False
11171117,EXT,U56,H,9,3,True,True,False,True
11171117,EXT,U56,GROSS,10,1,False,True,False,False
11171117,EXT,U56,CADENCE,9,1,False,False,False,True
11171117,EXT,B136,N,9,2,True,False,True,False
11171117,EXT,B136,H,9,2,True,False,False,True
11171117,EXT,B136,GROSS,10,0,False,False,False,False
11171117,EXT,B136,CADENCE,9,1,False,False,False,True
11161116,CORE,U56,N,9,0,False,False,False,False
11161116,CORE,U56,H,4,3,True,True,False,True
11161116,CORE,U56,GROSS,10,1,False,True,False,False
11161116,CORE,U56,CADENCE,4,4,True,True,True,True
11161116,CORE,B136,N,9,2,True,False,True,False
11161116,CORE,B136,H,4,4,True,True,True,True
11161116,CORE,B136,GROSS,10,0,False,False,False,False
11161116,CORE,B136,CADENCE,4,4,True,True,True,True
11161116,EXT,U56,N,9,0,False,False,False,False
11161116,EXT,U56,H,9,2,True,False,False,True
11161116,EXT,U56,GROSS,10,1,False,True,False,False
11161116,EXT,U56,CADENCE,9,1,False,False,False,True
11161116,EXT,B136,N,9,2,True,False,True,False
11161116,EXT,B136,H,9,2,True,False,False,True
11161116,EXT,B136,GROSS,10,0,False,False,False,False
11161116,EXT,B136,CADENCE,9,1,False,False,False,True
11181118,CORE,U56,N,9,1,False,False,True,False
11181118,CORE,U56,H,4,3,True,True,False,True
11181118,CORE,U56,GROSS,10,1,False,True,False,False
11181118,CORE,U56,CADENCE,4,4,True,True,True,True
11181118,CORE,B136,N,9,2,True,False,True,False
11181118,CORE,B136,H,4,4,True,True,True,True
11181118,CORE,B136,GROSS,10,0,False,False,False,False
11181118,CORE,B136,CADENCE,4,4,True,True,True,True
11181118,EXT,U56,N,9,1,False,False,True,False
11181118,EXT,U56,H,9,2,True,False,False,True
11181118,EXT,U56,GROSS,10,1,False,True,False,False
11181118,EXT,U56,CADENCE,9,1,False,False,False,True
11181118,EXT,B136,N,9,2,True,False,True,False
11181118,EXT,B136,H,9,2,True,False,False,True
11181118,EXT,B136,GROSS,10,0,False,False,False,False
11181118,EXT,B136,CADENCE,9,1,False,False,False,True
