scope,schema,files,pass_rows,identified,share_identified,unidentified,share_unidentified
ALL,BOOK_ONLY,814,149126,63120,0.4232662312406958,86006,0.5767337687593042
ALL,BOOK_PLUS_PANEL,814,149126,61617,0.4131875058675214,87509,0.5868124941324786
ALL,CELL_KEY,814,149126,3456,0.023175033193406917,145670,0.976824966806593
MQ,BOOK_ONLY,86,10035,6063,0.6041853512705531,3972,0.39581464872944694
MQ,BOOK_PLUS_PANEL,86,10035,6062,0.6040857000498256,3973,0.39591429995017435
MQ,CELL_KEY,86,10035,2940,0.2929745889387145,7095,0.7070254110612855
NONNULL,BOOK_ONLY,744,136460,57744,0.42315696907518685,78716,0.5768430309248131
NONNULL,BOOK_PLUS_PANEL,744,136460,56241,0.41214275245493187,80219,0.5878572475450681
NONNULL,CELL_KEY,744,136460,2705,0.019822658654550785,133755,0.9801773413454492
