panel,cost_bps,gstar_point,gstar_boot_median,lo,hi,halfwidth,share_no_handover,rungs_in_interval
U56,0.0,0.6,0.55,0.45,0.625,0.0875,0.0,8
U56,10.0,0.6,0.55,0.45,0.625,0.0875,0.0,8
U56,50.0,0.625,0.575,0.475,0.65,0.08750000000000002,0.0,8
B136,0.0,0.525,0.5,0.4,0.575,0.08749999999999997,0.001,8
B136,10.0,0.525,0.5,0.4,0.575,0.08749999999999997,0.001,8
B136,50.0,0.525,0.5,0.4,0.6,0.09999999999999998,0.002,9
