panel,chooser,pick_H,pick_c,oos_CAGR,oos_Sharpe,oos_MaxDD,oos_keep4a,oos_keep4b
SMALL,C_ISSHARPE (argmax IS Sharpe),252.0,1.0,0.11049990508826157,0.7204038141838307,-0.3148568342576442,False,False
SMALL,C_ISPREM (argmax IS CAGR premium over same-H anchor),21.0,1.0,0.10733587743104867,0.664921523610374,-0.3797429611839549,False,False
SMALL,"C_ANCHOR (zero-parameter, c=0 H=126)",126.0,0.0,0.06698806653983369,0.43984693026555094,-0.3651051671527563,False,False
SMALL,SPY (OOS),,,0.15286966214114894,0.8752553821643039,-0.33717256724185307,False,False
SMALL,RULES v2 (OOS),,,0.09455896847608769,1.2769738262132813,-0.12054941914043871,False,False
U56,C_ISSHARPE (argmax IS Sharpe),378.0,0.5,0.14004982065060534,1.045512645952834,-0.20297131169253624,False,False
U56,C_ISPREM (argmax IS CAGR premium over same-H anchor),21.0,0.0,0.15173958626383688,1.1087988554092496,-0.20192296994288617,False,True
U56,"C_ANCHOR (zero-parameter, c=0 H=126)",126.0,0.0,0.17323373462732872,1.1856780687316728,-0.19127563702223604,False,True
U56,SPY (OOS),,,0.15286966214114894,0.8752553821643039,-0.33717256724185307,False,False
U56,RULES v2 (OOS),,,0.09455896847608769,1.2769738262132813,-0.12054941914043871,False,False
