panel,cap,n_pass,lowest_pass_gross,highest_pass_gross,rungs_vs_uncapped,affordable_at_or_below_075,pass_at_065,pass_at_075,bestJ,bestJ_gross
U56,2,2,0.65,0.7,2.0,True,True,False,0.570742510932841,0.65
U56,3,1,0.65,0.65,2.0,True,True,False,0.6870785492434237,0.65
U56,5,3,0.55,0.65,0.0,True,True,False,2.087693271944789,0.6
U56,8,5,0.55,0.75,0.0,True,True,True,2.4213462377541726,0.65
U56,20,5,0.55,0.75,0.0,True,True,True,3.0703650204222264,0.65
B136,2,3,0.6,0.7,2.0,True,True,False,1.2783647221235621,0.65
B136,3,3,0.55,0.65,1.0,True,True,False,1.4421952313170476,0.6
B136,5,5,0.5,0.7,0.0,True,True,False,2.3869647806535137,0.6
B136,8,5,0.5,0.7,0.0,True,True,False,2.1926092917000566,0.6
B136,20,5,0.5,0.7,0.0,True,True,False,2.330133458906283,0.6
SMALL,2,0,,,,False,False,False,-4.305256503138974,0.45
SMALL,3,0,,,,False,False,False,-4.958757711586934,0.45
SMALL,5,0,,,,False,False,False,-5.00720451836478,0.45
SMALL,8,0,,,,False,False,False,-4.777171604673877,0.45
SMALL,20,0,,,,False,False,False,-4.778466900537912,0.45
