family,panel,exclusion,IS,OOS,drift,base_drift,shrink
MA-THRESH,B136,2020,-0.28641194432312383,-0.16192198602415148,0.12448995829897236,-0.242315903028769,0.48624932683765176
MA-THRESH,B136,2020+2022,-0.28641194432312383,-0.38532487021104833,-0.0989129258879245,-0.242315903028769,0.5918017569148937
MA-THRESH,B136,2022,-0.28641194432312383,-0.7763886131193746,-0.48997666879625074,-0.242315903028769,-1.0220574162566547
MA-THRESH,B136,none,-0.28641194432312383,-0.5287278473518928,-0.242315903028769,-0.242315903028769,0.0
MA-THRESH,B136,placebo 2008-09,-0.6255533517329729,-0.5287278473518928,0.09682550438108006,-0.242315903028769,0.6004162204344283
MA-THRESH,SMALL439,2020,-0.020087613597061547,-0.31242620090503614,-0.2923385873079746,-0.5716635440395689,0.48861775364891946
MA-THRESH,SMALL439,2020+2022,-0.020087613597061547,-0.57086951704544,-0.5507819034483784,-0.5716635440395689,0.036527850706787546
MA-THRESH,SMALL439,2022,-0.020087613597061547,-0.8868584681154018,-0.8667708545183402,-0.5716635440395689,-0.5162255203356905
MA-THRESH,SMALL439,none,-0.020087613597061547,-0.5917511576366304,-0.5716635440395689,-0.5716635440395689,0.0
MA-THRESH,SMALL439,placebo 2008-09,-0.020087613597061547,-0.5917511576366304,-0.5716635440395689,-0.5716635440395689,0.0
MA-THRESH,U56,2020,-0.316161786617123,0.0051573335861732645,0.3213191202032963,-0.02216478210474937,-13.49683189686965
MA-THRESH,U56,2020+2022,-0.316161786617123,-0.33511450835294415,-0.018952721735821132,-0.02216478210474937,0.1449172996038599
MA-THRESH,U56,2022,-0.316161786617123,-0.7123454118787212,-0.3961836252615982,-0.02216478210474937,-16.87446514877788
MA-THRESH,U56,none,-0.316161786617123,-0.3383265687218724,-0.02216478210474937,-0.02216478210474937,0.0
MA-THRESH,U56,placebo 2008-09,-0.5592037095498318,-0.3383265687218724,0.2208771408279594,-0.02216478210474937,-8.965229515188009
QUANTILE,B136,2020,-0.04014187616843286,-0.027982939459806205,0.012158936708626653,-0.0052988562934484645,-1.2946341691998762
QUANTILE,B136,2020+2022,-0.04014187616843286,-0.036941836479388535,0.0032000396890443233,-0.0052988562934484645,0.39608860632795984
QUANTILE,B136,2022,-0.04014187616843286,-0.05630115136143599,-0.016159275193003135,-0.0052988562934484645,-2.049577927407194
QUANTILE,B136,none,-0.04014187616843286,-0.04544073246188132,-0.0052988562934484645,-0.0052988562934484645,0.0
QUANTILE,B136,placebo 2008-09,-0.03581812430926149,-0.04544073246188132,-0.009622608152619831,-0.0052988562934484645,-0.8159783205514137
QUANTILE,SMALL439,2020,-0.031636009408010084,-0.023027409575670243,0.008608599832339841,0.03922154443116218,0.780513491827207
QUANTILE,SMALL439,2020+2022,-0.031636009408010084,-0.02474615248717622,0.006889856920833864,0.03922154443116218,0.8243348898989363
QUANTILE,SMALL439,2022,-0.031636009408010084,0.008735141910622326,0.040371151318632406,0.03922154443116218,-0.029310597125717486
QUANTILE,SMALL439,none,-0.031636009408010084,0.007585535023152097,0.03922154443116218,0.03922154443116218,0.0
QUANTILE,SMALL439,placebo 2008-09,-0.031636009408010084,0.007585535023152097,0.03922154443116218,0.03922154443116218,0.0
QUANTILE,U56,2020,-0.0319867366770406,-0.03154448409258232,0.00044225258445827753,-0.010970667916993623,0.959687724776244
QUANTILE,U56,2020+2022,-0.0319867366770406,-0.04362344887902326,-0.01163671220198266,-0.010970667916993623,-0.06071137054083375
QUANTILE,U56,2022,-0.0319867366770406,-0.05703219417842358,-0.025045457501382984,-0.010970667916993623,-1.2829473730206926
QUANTILE,U56,none,-0.0319867366770406,-0.04295740459403422,-0.010970667916993623,-0.010970667916993623,0.0
QUANTILE,U56,placebo 2008-09,-0.026648466702285392,-0.04295740459403422,-0.01630893789174883,-0.010970667916993623,-0.48659480125965704
