panel,mode,bps,arm,pick,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,dOOS,spy_OOS_Sharpe
U56,skip,10,S0 do-nothing,-,0.14486780221909457,1.1774914098378444,-0.1820705506780067,0.0,0.8820109845896832
U56,skip,10,S1 IS-argmax,tau=0.5 os=0%,0.13948547785571264,1.102572058035907,-0.20899347242016297,-0.07491935180193732,0.8820109845896832
U56,skip,10,S2 ROT,tau=0.3,0.1429236946061201,1.1245503674251152,-0.20761918795424694,-0.05294104241272923,0.8820109845896832
U56,skip,10,S2 RS1,tau=0.3,0.1429236946061201,1.1245503674251152,-0.20761918795424694,-0.05294104241272923,0.8820109845896832
U56,skip,10,S2 RS2,tau=0.5,0.13948547785571264,1.102572058035907,-0.20899347242016297,-0.07491935180193732,0.8820109845896832
U56,skip,10,S2 RS4,tau=0.3,0.1429236946061201,1.1245503674251152,-0.20761918795424694,-0.05294104241272923,0.8820109845896832
U56,skip,10,S2 RS8,tau=0.05,0.11606860334843638,0.8600062958366635,-0.20121666801752502,-0.31748511400118085,0.8820109845896832
U56,skip,10,S2 RS16,tau=0.5,0.13948547785571264,1.102572058035907,-0.20899347242016297,-0.07491935180193732,0.8820109845896832
U56,skip,10,ORACLE-OOS,tau=0.3,0.1429236946061201,1.1245503674251152,-0.20761918795424694,-0.05294104241272923,0.8820109845896832
U56,skip,25,S0 do-nothing,-,0.1289245657348439,1.0617576564122284,-0.18334964014435562,0.0,0.8820109845896832
U56,skip,25,S1 IS-argmax,tau=0.5 os=0%,0.12379134866508035,0.9920574324394549,-0.21123989817912603,-0.06970022397277353,0.8820109845896832
U56,skip,25,S2 ROT,tau=0.05,0.11365070903713925,0.8440887265792496,-0.2012166680175247,-0.2176689298329788,0.8820109845896832
U56,skip,25,S2 RS1,tau=0.3,0.12793819019879904,1.0197206902884306,-0.20932153135807863,-0.042036966123797814,0.8820109845896832
U56,skip,25,S2 RS2,tau=0.5,0.12379134866508035,0.9920574324394549,-0.21123989817912603,-0.06970022397277353,0.8820109845896832
U56,skip,25,S2 RS4,tau=0.3,0.12793819019879904,1.0197206902884306,-0.20932153135807863,-0.042036966123797814,0.8820109845896832
U56,skip,25,S2 RS8,tau=0.05,0.11365070903713925,0.8440887265792496,-0.2012166680175247,-0.2176689298329788,0.8820109845896832
U56,skip,25,S2 RS16,tau=0.5,0.12379134866508035,0.9920574324394549,-0.21123989817912603,-0.06970022397277353,0.8820109845896832
U56,skip,25,ORACLE-OOS,tau=0.3,0.12793819019879904,1.0197206902884306,-0.20932153135807863,-0.042036966123797814,0.8820109845896832
U56,half,10,S0 do-nothing,-,0.14486780221909457,1.1774914098378444,-0.1820705506780067,0.0,0.8820109845896832
U56,half,10,S1 IS-argmax,tau=0.5 os=0%,0.14233445935247357,1.1464313452558323,-0.1818217776995421,-0.031060064582012048,0.8820109845896832
U56,half,10,S2 ROT,tau=0.3,0.14363914537157063,1.1555479502516033,-0.1818217776995421,-0.02194345958624111,0.8820109845896832
U56,half,10,S2 RS1,tau=0.5,0.14233445935247357,1.1464313452558323,-0.1818217776995421,-0.031060064582012048,0.8820109845896832
U56,half,10,S2 RS2,tau=0.3,0.14363914537157063,1.1555479502516033,-0.1818217776995421,-0.02194345958624111,0.8820109845896832
U56,half,10,S2 RS4,tau=0.3,0.14363914537157063,1.1555479502516033,-0.1818217776995421,-0.02194345958624111,0.8820109845896832
U56,half,10,S2 RS8,ABSTAIN,0.14486780221909457,1.1774914098378444,-0.1820705506780067,0.0,0.8820109845896832
U56,half,10,S2 RS16,tau=0.5,0.14233445935247357,1.1464313452558323,-0.1818217776995421,-0.031060064582012048,0.8820109845896832
U56,half,10,ORACLE-OOS,tau=0.05,0.15184105916609858,1.2057250646223874,-0.18173759790414423,0.028233654784542983,0.8820109845896832
U56,half,25,S0 do-nothing,-,0.1289245657348439,1.0617576564122284,-0.18334964014435562,0.0,0.8820109845896832
U56,half,25,S1 IS-argmax,tau=0.05 os=88%,0.1411602147254718,1.1302916378294015,-0.1825033809272213,0.06853398141717304,0.8820109845896832
U56,half,25,S2 ROT,tau=0.2,0.13346027499518098,1.077793225620695,-0.18176616653447886,0.016035569208466605,0.8820109845896832
U56,half,25,S2 RS1,tau=0.5,0.1265155563223399,1.0326341769795033,-0.1828388649591255,-0.029123479432725086,0.8820109845896832
U56,half,25,S2 RS2,tau=0.3,0.12816694363618986,1.0444833451487507,-0.18282132057413825,-0.01727431126347767,0.8820109845896832
U56,half,25,S2 RS4,tau=0.3,0.12816694363618986,1.0444833451487507,-0.18282132057413825,-0.01727431126347767,0.8820109845896832
U56,half,25,S2 RS8,ABSTAIN,0.1289245657348439,1.0617576564122284,-0.18334964014435562,0.0,0.8820109845896832
U56,half,25,S2 RS16,tau=0.1,0.13741752212745828,1.103433580416348,-0.18251217059766278,0.04167592400411957,0.8820109845896832
U56,half,25,ORACLE-OOS,tau=0.05,0.1411602147254718,1.1302916378294015,-0.1825033809272213,0.06853398141717304,0.8820109845896832
BROAD136,skip,10,S0 do-nothing,-,0.12397539681393677,0.8757653518480898,-0.21570287649607056,0.0,0.8820239235972316
BROAD136,skip,10,S1 IS-argmax,tau=0.2 os=64%,0.10422568167652835,0.6985632186076824,-0.277871321094844,-0.17720213324040734,0.8820239235972316
BROAD136,skip,10,S2 ROT,tau=0.2,0.10422568167652835,0.6985632186076824,-0.277871321094844,-0.17720213324040734,0.8820239235972316
BROAD136,skip,10,S2 RS1,tau=0.5,0.11085781079591772,0.7714043980223994,-0.25624729378573197,-0.10436095382569044,0.8820239235972316
BROAD136,skip,10,S2 RS2,tau=0.05,0.15431585426676997,0.9020274847728665,-0.27794198758253685,0.02626213292477675,0.8820239235972316
BROAD136,skip,10,S2 RS4,tau=0.2,0.10422568167652835,0.6985632186076824,-0.277871321094844,-0.17720213324040734,0.8820239235972316
BROAD136,skip,10,S2 RS8,tau=0.2,0.10422568167652835,0.6985632186076824,-0.277871321094844,-0.17720213324040734,0.8820239235972316
BROAD136,skip,10,S2 RS16,tau=0.2,0.10422568167652835,0.6985632186076824,-0.277871321094844,-0.17720213324040734,0.8820239235972316
BROAD136,skip,10,ORACLE-OOS,tau=0.05,0.15431585426676997,0.9020274847728665,-0.27794198758253685,0.02626213292477675,0.8820239235972316
BROAD136,skip,25,S0 do-nothing,-,0.10056721799550972,0.7310232139337223,-0.21680281437912718,0.0,0.8820239235972316
BROAD136,skip,25,S1 IS-argmax,tau=0.2 os=64%,0.09471793062604994,0.6446662817622812,-0.2796670341693569,-0.08635693217144103,0.8820239235972316
BROAD136,skip,25,S2 ROT,tau=0.2,0.09471793062604994,0.6446662817622812,-0.2796670341693569,-0.08635693217144103,0.8820239235972316
BROAD136,skip,25,S2 RS1,tau=0.5,0.0886992386906158,0.6380974113593185,-0.2581944196770942,-0.09292580257440375,0.8820239235972316
BROAD136,skip,25,S2 RS2,tau=0.5,0.0886992386906158,0.6380974113593185,-0.2581944196770942,-0.09292580257440375,0.8820239235972316
BROAD136,skip,25,S2 RS4,tau=0.2,0.09471793062604994,0.6446662817622812,-0.2796670341693569,-0.08635693217144103,0.8820239235972316
BROAD136,skip,25,S2 RS8,tau=0.2,0.09471793062604994,0.6446662817622812,-0.2796670341693569,-0.08635693217144103,0.8820239235972316
BROAD136,skip,25,S2 RS16,tau=0.2,0.09471793062604994,0.6446662817622812,-0.2796670341693569,-0.08635693217144103,0.8820239235972316
BROAD136,skip,25,ORACLE-OOS,tau=0.05,0.15356213925262585,0.8982050152565592,-0.2779419875825361,0.1671818013228369,0.8820239235972316
BROAD136,half,10,S0 do-nothing,-,0.12397539681393677,0.8757653518480898,-0.21570287649607056,0.0,0.8820239235972316
BROAD136,half,10,S1 IS-argmax,tau=0.05 os=94%,0.12883165949532294,0.8913498988226737,-0.2182347327119114,0.01558454697458389,0.8820239235972316
BROAD136,half,10,S2 ROT,tau=0.5,0.11681159865990742,0.8239743239853635,-0.22276937116193285,-0.05179102786272627,0.8820239235972316
BROAD136,half,10,S2 RS1,tau=0.5,0.11681159865990742,0.8239743239853635,-0.22276937116193285,-0.05179102786272627,0.8820239235972316
BROAD136,half,10,S2 RS2,tau=0.5,0.11681159865990742,0.8239743239853635,-0.22276937116193285,-0.05179102786272627,0.8820239235972316
BROAD136,half,10,S2 RS4,ABSTAIN,0.12397539681393677,0.8757653518480898,-0.21570287649607056,0.0,0.8820239235972316
BROAD136,half,10,S2 RS8,tau=0.5,0.11681159865990742,0.8239743239853635,-0.22276937116193285,-0.05179102786272627,0.8820239235972316
BROAD136,half,10,S2 RS16,tau=0.3,0.11966117282878819,0.83959840536519,-0.22072444920229184,-0.03616694648289975,0.8820239235972316
BROAD136,half,10,ORACLE-OOS,tau=0.05,0.12883165949532294,0.8913498988226737,-0.2182347327119114,0.01558454697458389,0.8820239235972316
BROAD136,half,25,S0 do-nothing,-,0.10056721799550972,0.7310232139337223,-0.21680281437912718,0.0,0.8820239235972316
BROAD136,half,25,S1 IS-argmax,tau=0.05 os=94%,0.11340426849053187,0.7984480519825063,-0.21963142564997473,0.06742483804878407,0.8820239235972316
BROAD136,half,25,S2 ROT,tau=0.5,0.0940438421881582,0.6839712739620927,-0.2256226642903767,-0.0470519399716296,0.8820239235972316
BROAD136,half,25,S2 RS1,tau=0.05,0.11340426849053187,0.7984480519825063,-0.21963142564997473,0.06742483804878407,0.8820239235972316
BROAD136,half,25,S2 RS2,tau=0.5,0.0940438421881582,0.6839712739620927,-0.2256226642903767,-0.0470519399716296,0.8820239235972316
BROAD136,half,25,S2 RS4,ABSTAIN,0.10056721799550972,0.7310232139337223,-0.21680281437912718,0.0,0.8820239235972316
BROAD136,half,25,S2 RS8,tau=0.5,0.0940438421881582,0.6839712739620927,-0.2256226642903767,-0.0470519399716296,0.8820239235972316
BROAD136,half,25,S2 RS16,tau=0.3,0.09871081565157769,0.7115144274947797,-0.22351452308117525,-0.019508786438942605,0.8820239235972316
BROAD136,half,25,ORACLE-OOS,tau=0.05,0.11340426849053187,0.7984480519825063,-0.21963142564997473,0.06742483804878407,0.8820239235972316
SMALL439,skip,10,S0 do-nothing,-,0.07462803543701835,0.4997458748747829,-0.26835374821130753,0.0,0.8820109845896832
SMALL439,skip,10,S1 IS-argmax,tau=0.3 os=53%,0.023413554235963696,0.21761253782725634,-0.4364756110335324,-0.2821333370475265,0.8820109845896832
SMALL439,skip,10,S2 ROT,ABSTAIN,0.07462803543701835,0.4997458748747829,-0.26835374821130753,0.0,0.8820109845896832
SMALL439,skip,10,S2 RS1,ABSTAIN,0.07462803543701835,0.4997458748747829,-0.26835374821130753,0.0,0.8820109845896832
SMALL439,skip,10,S2 RS2,ABSTAIN,0.07462803543701835,0.4997458748747829,-0.26835374821130753,0.0,0.8820109845896832
SMALL439,skip,10,S2 RS4,ABSTAIN,0.07462803543701835,0.4997458748747829,-0.26835374821130753,0.0,0.8820109845896832
