cadence,fallback,floor,n_declined,RC_CONV_med,RC_CONV_mean,RC_CONV_dd
D,FB_CASH,0.0,0,0.0,0.0,0.0
D,FB_CASH,0.1,9,,,
D,FB_CASH,0.25,9,,,
D,FB_CASH,0.4,9,,,
D,FB_CASH,0.5,9,,,
D,FB_CASH,0.75,9,,,
D,FB_CASH,0.9,9,,,
D,FB_SPY,0.0,0,0.0,0.0,0.0
D,FB_SPY,0.1,9,,,
D,FB_SPY,0.25,9,,,
D,FB_SPY,0.4,9,,,
D,FB_SPY,0.5,9,,,
D,FB_SPY,0.75,9,,,
D,FB_SPY,0.9,9,,,
D,FB_LIVE,0.0,0,0.0,0.0,0.0
D,FB_LIVE,0.1,9,,,
D,FB_LIVE,0.25,9,,,
D,FB_LIVE,0.4,9,,,
D,FB_LIVE,0.5,9,,,
D,FB_LIVE,0.75,9,,,
D,FB_LIVE,0.9,9,,,
W,FB_CASH,0.0,0,0.0,0.0,0.0
W,FB_CASH,0.1,3,0.0,0.35,-0.0472
W,FB_CASH,0.25,6,1.105,0.7157,-0.1616
W,FB_CASH,0.4,6,1.105,0.7157,-0.1616
W,FB_CASH,0.5,6,1.105,0.7157,-0.1616
W,FB_CASH,0.75,6,1.105,0.7157,-0.1616
W,FB_CASH,0.9,9,,,
W,FB_SPY,0.0,0,0.0,0.0,0.0
W,FB_SPY,0.1,3,0.0,0.0577,0.0
W,FB_SPY,0.25,6,0.2281,0.133,0.1756
W,FB_SPY,0.4,6,0.2281,0.133,0.1756
W,FB_SPY,0.5,6,0.2281,0.133,0.1756
W,FB_SPY,0.75,6,0.2281,0.133,0.1756
W,FB_SPY,0.9,9,,,
W,FB_LIVE,0.0,0,0.0,0.0,0.0
W,FB_LIVE,0.1,3,0.0,0.1633,-0.0472
W,FB_LIVE,0.25,6,0.0,0.1035,-0.0227
W,FB_LIVE,0.4,6,0.0,0.1035,-0.0227
W,FB_LIVE,0.5,6,0.0,0.1035,-0.0227
W,FB_LIVE,0.75,6,0.0,0.1035,-0.0227
W,FB_LIVE,0.9,9,,,
M,FB_CASH,0.0,0,0.0,0.0,0.0
M,FB_CASH,0.1,3,0.0502,0.3502,-0.0144
M,FB_CASH,0.25,3,0.0502,0.3502,-0.0144
M,FB_CASH,0.4,3,0.0697,0.3882,-0.0119
M,FB_CASH,0.5,3,0.0697,0.3882,-0.0119
M,FB_CASH,0.75,6,1.0852,0.7235,-0.205
M,FB_CASH,0.9,9,,,
M,FB_SPY,0.0,0,0.0,0.0,0.0
M,FB_SPY,0.1,3,0.0502,0.0579,0.0145
M,FB_SPY,0.25,3,0.0502,0.0579,0.0145
M,FB_SPY,0.4,3,0.0697,0.0959,0.005
M,FB_SPY,0.5,3,0.0697,0.0959,0.005
M,FB_SPY,0.75,6,0.2083,0.1407,0.1322
M,FB_SPY,0.9,9,,,
M,FB_LIVE,0.0,0,0.0,0.0,0.0
M,FB_LIVE,0.1,3,0.0502,0.1635,-0.0144
M,FB_LIVE,0.25,3,0.0502,0.1635,-0.0144
M,FB_LIVE,0.4,3,0.0697,0.2015,-0.0119
M,FB_LIVE,0.5,3,0.0697,0.2015,-0.0119
M,FB_LIVE,0.75,6,0.0,0.1112,-0.0661
M,FB_LIVE,0.9,9,,,
Q,FB_CASH,0.0,0,0.0,0.0,0.0
Q,FB_CASH,0.1,3,0.2521,0.3093,-0.0111
Q,FB_CASH,0.25,3,0.0316,0.3337,-0.0111
Q,FB_CASH,0.4,3,0.0316,0.3337,-0.0111
Q,FB_CASH,0.5,3,0.0316,0.3337,-0.0111
Q,FB_CASH,0.75,6,0.9695,0.6463,-0.2444
Q,FB_CASH,0.9,9,,,
Q,FB_SPY,0.0,0,0.0,0.0,0.0
Q,FB_SPY,0.1,3,0.1242,0.017,0.0375
Q,FB_SPY,0.25,3,0.0316,0.0414,0.0112
Q,FB_SPY,0.4,3,0.0316,0.0414,0.0112
Q,FB_SPY,0.5,3,0.0316,0.0414,0.0112
Q,FB_SPY,0.75,6,0.0926,0.0636,0.0928
Q,FB_SPY,0.9,9,,,
Q,FB_LIVE,0.0,0,0.0,0.0,0.0
Q,FB_LIVE,0.1,3,0.2521,0.1225,-0.0111
Q,FB_LIVE,0.25,3,0.0316,0.147,-0.0111
Q,FB_LIVE,0.4,3,0.0316,0.147,-0.0111
Q,FB_LIVE,0.5,3,0.0316,0.147,-0.0111
Q,FB_LIVE,0.75,6,0.0,0.0341,-0.1055
Q,FB_LIVE,0.9,9,,,
