gate,cost,n_admitted,pick,pick_key,pick_family,pick_term_dated,pick_scale_leak,Sharpe_IS,CAGR_OOS,Sharpe_OOS,MaxDD_OOS,CAGR_F,Sharpe_F,MaxDD_F,spy_CAGR_OOS,spy_Sharpe_OOS,spy_MaxDD_OOS,v2_CAGR_OOS,v2_Sharpe_OOS,v2_MaxDD_OOS,v1_Sharpe_OOS,ctrl_Sharpe_OOS,beats_spy_OOS,beats_v2_OOS,pass4a,pass4b
NONE,0.0,20,FWDRET/POS/m=1.00,FWDRET,termonly,True,False,1.1037711830070063,0.4147208171055905,2.3100212597271494,-0.26510259826563887,0.2985493398389041,1.9081208591012377,-0.26510259826563887,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.04071767778766544,0.5986058896033055,-0.14197782457483266,0.717554072141457,0.5586952001802371,True,True,False,False
NONE,10.0,20,FWDRET/POS/m=1.00,FWDRET,termonly,True,False,0.9739796849699832,0.39027673783471784,2.198119358577242,-0.2669570693306128,0.2772319132790704,1.7915696074625023,-0.2669570693306129,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.03772640350305423,0.5580284349691186,-0.14575813304602148,0.49869155068789994,0.4341506687342858,True,True,False,False
NONE,25.0,20,FWDRET/POS/m=1.00,FWDRET,termonly,True,False,0.779231794595953,0.35438291370528185,2.0293175945882953,-0.26973230319672836,0.24589568768572634,1.6160108866924598,-0.26973230319672836,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.03325526369416254,0.49712270304068673,-0.1513978281668662,0.17030011357365474,0.24719708055875728,True,True,False,False
T1,0.0,13,FWDRET/POS/m=1.00,FWDRET,termonly,True,False,1.1037711830070063,0.4147208171055905,2.3100212597271494,-0.26510259826563887,0.2985493398389041,1.9081208591012377,-0.26510259826563887,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.04071767778766544,0.5986058896033055,-0.14197782457483266,0.717554072141457,0.5586952001802371,True,True,False,False
T1,10.0,13,FWDRET/POS/m=1.00,FWDRET,termonly,True,False,0.9739796849699832,0.39027673783471784,2.198119358577242,-0.2669570693306128,0.2772319132790704,1.7915696074625023,-0.2669570693306129,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.03772640350305423,0.5580284349691186,-0.14575813304602148,0.49869155068789994,0.4341506687342858,True,True,False,False
T1,25.0,13,FWDRET/POS/m=1.00,FWDRET,termonly,True,False,0.779231794595953,0.35438291370528185,2.0293175945882953,-0.26973230319672836,0.24589568768572634,1.6160108866924598,-0.26973230319672836,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.03325526369416254,0.49712270304068673,-0.1513978281668662,0.17030011357365474,0.24719708055875728,True,True,False,False
T2,0.0,10,PXDVOL/NEG/m=1.00,PXDVOL,level,False,True,0.9903091718164854,0.26819034798747965,1.7207630503193125,-0.2423023104915104,0.2032084372312999,1.4766159067898,-0.24230231049151074,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.04071767778766544,0.5986058896033055,-0.14197782457483266,0.717554072141457,0.5586952001802371,True,True,False,False
T2,10.0,10,PXDVOL/NEG/m=1.00,PXDVOL,level,False,True,0.8382940522412748,0.2441126224386707,1.5876018648222747,-0.24376762210436287,0.18173584523171904,1.3389365637495159,-0.24376762210436276,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.03772640350305423,0.5580284349691186,-0.14575813304602148,0.49869155068789994,0.4341506687342858,True,True,False,False
T2,25.0,10,PRICE/NEG/m=1.00,PRICE,level,False,True,0.6301029607411551,0.15914758674174156,0.9542224720152657,-0.2832861466458867,0.12722933194795338,0.8431911486121507,-0.2832861466458867,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.03325526369416254,0.49712270304068673,-0.1513978281668662,0.17030011357365474,0.24719708055875728,True,True,False,False
T1&T2,0.0,6,VOL20/NEG/m=0.50,VOL20,causal,False,False,0.9731648631963644,0.08419311232325044,0.6401700910498501,-0.2414279787248237,0.09834587294484054,0.7569761094632592,-0.2414279787248228,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.04071767778766544,0.5986058896033055,-0.14197782457483266,0.717554072141457,0.5586952001802371,False,True,False,False
T1&T2,10.0,6,VOL20/NEG/m=0.50,VOL20,causal,False,False,0.7961920589261182,0.05790760933840722,0.46725498866492865,-0.2687631803059177,0.07264196609178897,0.5828888914476265,-0.2687631803059167,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.03772640350305423,0.5580284349691186,-0.14575813304602148,0.49869155068789994,0.4341506687342858,False,False,False,False
T1&T2,25.0,6,VOL20/NEG/m=0.50,VOL20,causal,False,False,0.5305252294396403,0.019645311960232892,0.2079673087337815,-0.31060164471857143,0.03518678008342513,0.3217440784706723,-0.3106016447185702,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.03325526369416254,0.49712270304068673,-0.1513978281668662,0.17030011357365474,0.24719708055875728,False,False,False,False
