pickset,rule,panel,days,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,KEEP_4a,KEEP_4b,KEEP_4b_OOS,rowcheck
P_1214,S_NONE,U56,3447,0.15907729545178517,1.0919638593634382,-0.2245551801328194,1.0903203550637566,1.1176935633756522,0.15907729545178517,1.0919638593634382,-0.2245551801328194,False,False,False,3447
P_1214,S_NONE,B136,3444,0.1529580191060238,0.9497189824019856,-0.28694818362899366,1.224008573575541,0.7350570378597958,0.1529580191060238,0.9497189824019856,-0.28694818362899366,False,False,False,3444
P_1214,S_NONE,SMALL,3444,0.06786934587229698,0.4564441174172304,-0.36312592694285306,0.7470416997520783,0.2737524477264003,0.06786934587229698,0.4564441174172304,-0.36312592694285306,False,False,False,3444
P_1214,S_ALL,U56,3447,0.16890194301828143,1.219918122108594,-0.19127561830465023,1.2635422378766217,1.204336900166008,0.16890194301828143,1.219918122108594,-0.19127561830465023,False,True,True,3447
P_1214,S_ALL,B136,3444,0.1636366333867525,1.077649394639459,-0.2074030226784952,1.3055401033243341,0.9100590020303296,0.1636366333867525,1.077649394639459,-0.2074030226784952,False,False,False,3444
P_1214,S_ALL,SMALL,3444,0.07447405618000791,0.48888467814412,-0.3581405418032817,0.6925498264947522,0.36249768073989097,0.07447405618000791,0.48888467814412,-0.3581405418032817,False,False,False,3444
P_1214,S_SE1,U56,3447,0.16975283392153218,1.225952899712698,-0.19127561830465023,1.2635422378766217,1.214964494770501,0.16975283392153218,1.225952899712698,-0.19127561830465023,False,True,True,3447
P_1214,S_SE1,B136,3444,0.1636366333867525,1.077649394639459,-0.2074030226784952,1.3055401033243341,0.9100590020303296,0.1636366333867525,1.077649394639459,-0.2074030226784952,False,False,False,3444
P_1214,S_SE1,SMALL,3444,0.07447405618000791,0.48888467814412,-0.3581405418032817,0.6925498264947522,0.36249768073989097,0.07447405618000791,0.48888467814412,-0.3581405418032817,False,False,False,3444
P_1214,S_SE2,U56,3447,0.16890194301828143,1.219918122108594,-0.19127561830465023,1.2635422378766217,1.204336900166008,0.16890194301828143,1.219918122108594,-0.19127561830465023,False,True,True,3447
