panel,cost,band,stat,up,down,argmax_gross,span
B136,0,0.0,IS_Sharpe,True,False,1.0,0.00151908645841492
B136,0,0.0,OOS_Sharpe,False,True,0.5,0.002784492608998601
B136,0,0.0,OOS_CAGR,True,False,1.0,0.054425699003548544
B136,0,0.0,FULL_Sharpe,False,True,0.5,0.0007528551305704401
B136,0,0.02,IS_Sharpe,True,False,1.0,0.0014371633349214985
B136,0,0.02,OOS_Sharpe,False,True,0.5,0.0024888992287794842
B136,0,0.02,OOS_CAGR,True,False,1.0,0.0550445502059298
B136,0,0.02,FULL_Sharpe,False,True,0.5,0.0006407322850170427
B136,0,0.03,IS_Sharpe,True,False,1.0,0.0017133531388655587
B136,0,0.03,OOS_Sharpe,False,True,0.5,0.0024621678789924495
B136,0,0.03,OOS_CAGR,True,False,1.0,0.054088705750665156
B136,0,0.03,FULL_Sharpe,False,True,0.5,0.000512524690874594
B136,0,0.05,IS_Sharpe,True,False,1.0,0.0020291316829603723
B136,0,0.05,OOS_Sharpe,False,True,0.5,0.0026577927889421815
B136,0,0.05,OOS_CAGR,True,False,1.0,0.05346650896415839
B136,0,0.05,FULL_Sharpe,False,True,0.5,0.0004720781348512837
B136,0,0.08,IS_Sharpe,True,False,1.0,0.0015802696176121511
B136,0,0.08,OOS_Sharpe,False,True,0.5,0.0030773537735000467
B136,0,0.08,OOS_CAGR,True,False,1.0,0.05604866676480613
B136,0,0.08,FULL_Sharpe,False,True,0.5,0.0009614499724455161
B136,10,0.0,IS_Sharpe,True,False,1.0,0.0019527839875566055
B136,10,0.0,OOS_Sharpe,False,True,0.5,0.0023516685281332883
B136,10,0.0,OOS_CAGR,True,False,1.0,0.05179598438063304
B136,10,0.0,FULL_Sharpe,False,True,0.5,0.00032283259564525046
B136,10,0.02,IS_Sharpe,True,False,1.0,0.0019190462623175364
B136,10,0.02,OOS_Sharpe,False,True,0.5,0.002035322159690711
B136,10,0.02,OOS_CAGR,True,False,1.0,0.053148330047031234
B136,10,0.02,FULL_Sharpe,False,False,0.6,0.00018399523495649106
B136,10,0.03,IS_Sharpe,True,False,1.0,0.0022071645787937744
B136,10,0.03,OOS_Sharpe,False,True,0.5,0.002002423424907196
B136,10,0.03,OOS_CAGR,True,False,1.0,0.05249147816961641
B136,10,0.03,FULL_Sharpe,False,False,0.75,8.99132324245766e-05
B136,10,0.05,IS_Sharpe,True,False,1.0,0.0025623846341571443
B136,10,0.05,OOS_Sharpe,False,True,0.5,0.0021657075603880305
B136,10,0.05,OOS_CAGR,True,False,1.0,0.05219835723870769
B136,10,0.05,FULL_Sharpe,False,False,0.75,9.157796538428187e-05
B136,10,0.08,IS_Sharpe,True,False,1.0,0.0021408415508927803
B136,10,0.08,OOS_Sharpe,False,True,0.5,0.0025671782527865172
B136,10,0.08,OOS_CAGR,True,False,1.0,0.055064610447302265
B136,10,0.08,FULL_Sharpe,False,True,0.5,0.0004307044783125047
B136,25,0.0,IS_Sharpe,True,False,1.0,0.0026050954152933015
B136,25,0.0,OOS_Sharpe,False,True,0.5,0.0017013390341824586
B136,25,0.0,OOS_CAGR,True,False,1.0,0.0478832902997548
B136,25,0.0,FULL_Sharpe,False,False,0.85,0.000361265355139917
B136,25,0.02,IS_Sharpe,True,False,1.0,0.0026432994398355447
B136,25,0.02,OOS_Sharpe,False,True,0.5,0.0013537406162855703
B136,25,0.02,OOS_CAGR,True,False,1.0,0.0503205971647247
B136,25,0.02,FULL_Sharpe,True,False,1.0,0.0005206552544561038
B136,25,0.03,IS_Sharpe,True,False,1.0,0.00294915962587905
B136,25,0.03,OOS_Sharpe,False,True,0.5,0.0013115798219955899
B136,25,0.03,OOS_CAGR,True,False,1.0,0.050107462532022584
B136,25,0.03,FULL_Sharpe,True,False,1.0,0.0006721031188070548
B136,25,0.05,IS_Sharpe,True,False,1.0,0.0033632973033501656
B136,25,0.05,OOS_Sharpe,False,True,0.5,0.001426349816571193
B136,25,0.05,OOS_CAGR,True,False,1.0,0.05030361904852887
B136,25,0.05,FULL_Sharpe,True,False,1.0,0.0008009985959325228
B136,25,0.08,IS_Sharpe,True,False,1.0,0.0029824781255374244
B136,25,0.08,OOS_Sharpe,False,True,0.5,0.0018007004309215091
B136,25,0.08,OOS_CAGR,True,False,1.0,0.05359301429694052
B136,25,0.08,FULL_Sharpe,False,False,0.85,0.00040713667186431657
B136,50,0.0,IS_Sharpe,True,False,1.0,0.00369579927812258
B136,50,0.0,OOS_Sharpe,False,False,0.6,0.0006718343381612035
