panel,base,cap,brake_S,conv_S,brake_C,conv_C
U56,1,0.05,4.189241663166143e-05,0.04754031804473535,-0.6004390230455847,4.088552525611178
U56,1,0.1,0.03315682018329502,0.07261824344657919,0.15885155818260444,2.275309569803463
U56,1,0.15,-0.018194417532237495,0.02924979345552381,-0.1663058694290065,0.7814735479262813
U56,1,0.2,-0.024510715589252108,0.015479164921739397,-0.1330926879834049,0.374463669383851
U56,1,0.25,-0.0174078712484127,0.01030621974138679,-0.028425343864091346,0.17149166940042537
U56,126,0.05,-0.026615193109620572,0.0304411632378907,-0.19528266680293171,0.7615591793393772
U56,126,0.1,-0.01200091468318032,0.014493832169759635,-0.03502216272361913,0.2874460947543511
U56,126,0.15,-0.012104046196422136,-0.0014218075756047277,-0.054002433154543006,-0.02540046927197448
U56,126,0.2,-0.009225343041429745,0.0037758552883655483,-0.04685509026529644,0.04133200700249251
U56,126,0.25,-0.006909913403067458,-0.00022805911023726644,-0.03972892717967191,-0.02899414241561704
B136,1,0.05,0.013048578285328016,0.03454889544383821,-0.4789396310103333,4.291897325001015
B136,1,0.1,-0.043179659612438304,0.05643564612794383,-1.4010420258689926,3.116514913369217
B136,1,0.15,-0.06333391120752152,0.04252837853595115,-1.4215865058353927,1.8026892356433954
B136,1,0.2,-0.0624706192370299,0.009438837483839224,-1.0649075290191101,0.6681674721679132
B136,1,0.25,-0.047117392738479036,-3.0472334005104962e-05,-0.6489029124550294,0.15342190838723013
B136,126,0.05,-0.05066945026610381,-0.01046438899769142,-0.780268162834985,0.869913617179563
B136,126,0.1,-0.02509159121379967,-0.002305511300730867,-0.6244892459002171,0.3246926050081145
B136,126,0.15,-0.043369274561625204,-0.0035118040551862517,-0.5974581867794981,0.14121699017777267
B136,126,0.2,-0.04006103547778905,-0.0037949521358922045,-0.46314925294423936,0.0760006379070921
B136,126,0.25,-0.037972369407248685,0.007359627679579539,-0.42487689235994885,0.2079398973691582
SMALL,1,0.05,0.028926382594016697,0.04883195201686952,-0.1255640745577491,3.9782709094960955
SMALL,1,0.1,0.07706637473753697,0.07753843609923317,0.9651321370296895,3.5717568289876267
SMALL,1,0.15,-0.018096404690533863,0.05503963750813823,-0.7002398505041363,2.640477054584811
SMALL,1,0.2,0.0011150895713993858,0.05675674307971712,-0.3463609835644199,2.2319923995630653
SMALL,1,0.25,0.011849023653754842,0.06086987765155771,-0.08367363378021242,1.9302246800760203
SMALL,126,0.05,0.05493835677984804,-0.08914766923812945,0.7445375368400509,-1.1753634473086416
SMALL,126,0.1,-0.08945390628257388,-0.05148361411518115,-1.641503054363147,-0.5448739869276631
SMALL,126,0.15,-0.08273915666137355,-0.017316420564471358,-1.2572859416803972,0.09001655779059536
SMALL,126,0.2,-0.07225450353522678,-0.004894372835565264,-1.057541429659259,0.3408649818028131
SMALL,126,0.25,-0.050919726839628976,-0.0026723030711197637,-0.6827349617878786,0.312012096868175
