gate,value,bar,passed,leg,char,this_run,idea796,n_rungs_here,n_rungs_796
G1_contiguity_dropped,1.0,0.0,True,,,,,,
G2_estimator,3.6637359812630166e-15,1e-12,True,,,,,,
G0_determinism,0.0,0.0,True,,,,,,
G3_engine,1.3877787807814457e-17,1e-09,True,,,,,,
,,,,G4_anchor,momac,0.005587794563952919,0.004952749842122057,4.0,14.0
,,,,G4_anchor,tpers,0.0013817095661366279,0.0012570460882211333,3.0,6.0
