selector,n,mean_lift,t_lift,wins_lift,sign_p,mean_d_vs_ctl,t_d_vs_ctl,wins_vs_ctl,n_nonzero_vs_ctl,mean_d_vs_v2,mean_d_vs_spy,mean_OOS_Sharpe,mean_OOS_CAGR,mean_OOS_MaxDD,share_dialmid,share_control,pass4b_oos,pass4a_v2
K_Q0.00,36,-0.06881622709326865,-4.776871748245588,6,6.960169412195683e-05,-0.136336030484067,-4.893307753933125,3,36,-0.14308027023750053,-0.04034509416988837,0.8416702034223111,0.07368706460254132,-0.1493906068537333,0.027777777777777776,0.0,3,0
K_Q0.25,36,-0.018300617343859973,-1.6158684687069866,20,0.617719317029696,-0.08582042073465834,-4.0479480783611566,7,35,-0.09256466048809187,0.010170515579520296,0.8921858131717195,0.07845827532374405,-0.14976500685577224,0.1388888888888889,0.027777777777777776,3,3
K_Q0.50,36,0.0232388845813044,2.19975204664328,26,0.011330984183587134,-0.04428091880949397,-2.3184822670581244,10,31,-0.05102515856292748,0.05171001750468469,0.9337253150968841,0.08374891772408372,-0.15111346429267486,0.1388888888888889,0.1388888888888889,5,0
K_Q0.75,36,0.026233098184243537,2.7151800583533827,25,0.028816719655878842,-0.041286705206554836,-3.2153598428361017,5,22,-0.04803094495998836,0.054704231107623805,0.936719528699823,0.08475838233108178,-0.16538033596019674,0.3611111111111111,0.3888888888888889,3,2
K_Q1.00,36,0.016299135825118122,1.0222242899541762,17,0.8679394004284404,-0.05122066756568025,-2.555715685780745,7,27,-0.05796490731911376,0.04477026874849838,0.9267855663406979,0.08783873155250671,-0.1541218554943024,0.08333333333333333,0.25,5,0
K_MED204,36,0.03200534513895434,2.3894553925957522,27,0.00393317302223295,-0.03551445825184404,-1.6396910233697193,10,25,-0.042258698005277553,0.06047647806233461,0.942491775654534,0.08469786286911647,-0.1506568292129037,0.3611111111111111,0.3055555555555556,5,0
K_DIALMID,36,0.03707643639568438,4.767018229313284,30,6.960169412195683e-05,-0.030443366995113994,-2.0572029204256297,0,9,-0.0371876067485475,0.06554756931906465,0.9475628669112641,0.08814473068172922,-0.15259533334054876,1.0,0.75,3,0
K_M0.00,36,0.016299135825118122,1.0222242899541762,17,0.8679394004284404,-0.05122066756568025,-2.555715685780745,7,27,-0.05796490731911376,0.04477026874849838,0.9267855663406979,0.08783873155250671,-0.1541218554943024,0.08333333333333333,0.25,5,0
K_M0.05,36,0.059078209359523376,3.7215356522411667,31,1.2913485988974571e-05,-0.008441594031275007,-0.624464828011517,3,5,-0.015185833784708518,0.08754934228290365,0.9695646398751029,0.09105363074327223,-0.1545433204814249,0.6388888888888888,0.8611111111111112,3,0
K_M0.10,36,0.06751980339079838,4.126226263811164,30,6.960169412195683e-05,0.0,,0,0,-0.006744239753433507,0.09599093631417865,0.978006233906378,0.0915965927951511,-0.15611411077908527,0.75,1.0,3,0
K_M0.15,36,0.06751980339079838,4.126226263811164,30,6.960169412195683e-05,0.0,,0,0,-0.006744239753433507,0.09599093631417865,0.978006233906378,0.0915965927951511,-0.15611411077908527,0.75,1.0,3,0
K_M0.25,36,0.06751980339079838,4.126226263811164,30,6.960169412195683e-05,0.0,,0,0,-0.006744239753433507,0.09599093631417865,0.978006233906378,0.0915965927951511,-0.15611411077908527,0.75,1.0,3,0
K_M0.50,36,0.06751980339079838,4.126226263811164,30,6.960169412195683e-05,0.0,,0,0,-0.006744239753433507,0.09599093631417865,0.978006233906378,0.0915965927951511,-0.15611411077908527,0.75,1.0,3,0
K_Minf,36,0.06751980339079838,4.126226263811164,30,6.960169412195683e-05,0.0,,0,0,-0.006744239753433507,0.09599093631417865,0.978006233906378,0.0915965927951511,-0.15611411077908527,0.75,1.0,3,0
