panel,ladder,k,inf_count,snr
U56,N,9,1,3.6751842994569084
U56,H,9,2,3.001523845823377
U56,GROSS,10,1,2.853329208284214
U56,CADENCE,9,1,3.3835382297402044
B136,N,9,2,2.595461618325497
B136,H,9,2,3.2395619979193895
B136,GROSS,10,0,2.921931720055785
B136,CADENCE,9,1,3.1638129930532335
