panel,ladder,stat,spread,floor_1102,floor_boot_1108,floor_analytic_1108,boot_gap_frac,analytic_gap_frac,tie_1102,tie_1108
U56,N,S_FULL,0.18322104889544333,0.1761523806496179,0.18322104889544333,0.1761523806496179,0.03858000097935916,0.0,True,True
U56,N,S_OOS,0.2902903436047862,0.275560278667147,0.27556027866714705,0.27556027866714705,1.9122630998305993e-16,1.9122630998305993e-16,True,True
U56,N,CAGR,4.3700319617852035,4.247390553434547,4.247390553434547,4.3700319617852035,0.0,0.02806419024463059,True,True
U56,N,DD,6.726027403333877,5.684363419230408,5.684363419230408,,0.0,,True,True
U56,H,S_FULL,0.06337993535645858,0.06337993535645858,0.06337993535645858,0.06337993535645858,0.0,0.0,True,True
U56,H,S_OOS,0.08847533187304535,0.08847533187304535,0.08847533187304535,0.08847533187304535,0.0,0.0,True,True
U56,H,CAGR,1.5304197924899796,1.5304197924899796,1.5304197924899796,1.5304197924899796,0.0,0.0,True,True
U56,H,DD,6.564551170891317,6.564551170891317,6.564551170891317,,0.0,,True,True
U56,GROSS,S_FULL,0.0017882751492677151,0.0017882751492677151,0.0013947738091630857,0.0016326111824835898,0.22004518726649264,0.08704698874100471,True,True
U56,GROSS,S_OOS,0.0021154912506546886,0.0021154912506546886,0.0021154912506546886,0.0021154912506546886,0.0,0.0,True,True
U56,GROSS,CAGR,9.401691141620727,1.0380692471477992,1.0380692471477992,1.0380692471477992,0.0,0.0,False,False
U56,GROSS,DD,11.137235203817976,1.1938432556992673,1.1938432556992673,,0.0,,False,False
U56,CADENCE,S_FULL,0.058865156398083096,0.058865156398083096,0.058865156398083096,0.058865156398083096,0.0,0.0,True,True
U56,CADENCE,S_OOS,0.09704441230057848,0.09704441230057848,0.09704441230057848,0.09704441230057848,0.0,0.0,True,True
U56,CADENCE,CAGR,0.906597672704823,0.906597672704823,0.906597672704823,0.906597672704823,0.0,0.0,True,True
U56,CADENCE,DD,4.003291955027809,4.003291955027809,4.003291955027809,,0.0,,True,True
B136,N,S_FULL,0.12053112976248326,0.12053112976248326,0.12053112976248326,0.12053112976248326,0.0,0.0,True,True
B136,N,S_OOS,0.3008648592605092,0.2233879243107311,0.22338792431073118,0.22338792431073118,2.767579007117902e-16,2.767579007117902e-16,True,True
B136,N,CAGR,3.5944231255558456,3.5944231255558456,3.5944231255558456,3.5944231255558456,0.0,0.0,True,True
B136,N,DD,8.464152973446904,6.509181522842699,6.509181522842699,,0.0,,True,True
B136,H,S_FULL,0.021394727541090397,0.021394727541090397,0.021394727541090397,0.021394727541090397,0.0,0.0,True,True
B136,H,S_OOS,0.05154960186986668,0.05154960186986668,0.05154960186986668,0.05154960186986668,0.0,0.0,True,True
B136,H,CAGR,0.9107027373571412,0.9107027373571412,0.9107027373571412,0.9107027373571412,0.0,0.0,True,True
B136,H,DD,7.954516095049858,7.954516095049858,7.954516095049858,,0.0,,True,True
B136,GROSS,S_FULL,0.003989077477571934,0.000399667073659,0.00039966707365901577,0.00039966707365901577,3.954583910279447e-15,3.954583910279447e-15,False,False
B136,GROSS,S_OOS,0.004535882691720783,0.0004619946290818,0.00046199462908180777,0.00046199462908180777,1.7090489459572983e-15,1.7090489459572983e-15,False,False
B136,GROSS,CAGR,9.652220143086685,1.0702988360427712,1.0702988360427712,1.0702988360427712,0.0,0.0,False,False
B136,GROSS,DD,12.06820564370834,1.2864280606593717,1.2864280606593717,,0.0,,False,False
B136,CADENCE,S_FULL,0.07115495315410092,0.07115495315410092,0.07115495315410092,0.07115495315410092,0.0,0.0,True,True
B136,CADENCE,S_OOS,0.11325529524020728,0.11325529524020728,0.11325529524020728,0.11325529524020728,0.0,0.0,True,True
B136,CADENCE,CAGR,1.8463253895186096,1.8463253895186096,1.8463253895186096,1.8463253895186096,0.0,0.0,True,True
B136,CADENCE,DD,7.623470897118423,7.623470897118423,7.623470897118423,,0.0,,True,True
